title,extended_title,img_link,gsmarena_link
Soul X7 Pro,"Allview Soul X7 Pro Android smartphone. Announced May 2020. Features 6.53″  display, Snapdragon 630 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x7-pro.jpg,https://www.gsmarena.com/allview_soul_x7_pro-10302.php
Soul X7 Style,"Allview Soul X7 Style Android smartphone. Announced May 2020. Features 6.21″  display, MT6763 Helio P23 chipset, 3400 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x7-style.jpg,https://www.gsmarena.com/allview_soul_x7_style-10301.php
Viva 803G,"Allview Viva 803G Android tablet. Announced Apr 2020. Features 8.0″  display, MT8321 chipset, 3600 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/allview-viva-803g.jpg,https://www.gsmarena.com/allview_viva_803g-10303.php
V4 Viper Pro,"Allview V4 Viper Pro Android smartphone. Announced Jan 2020. Features 6.8″  display, MT6739 chipset, 3500 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/allview-v4-viper-pro.jpg,https://www.gsmarena.com/allview_v4_viper_pro-10039.php
Viva C703,"Allview Viva C703 Android tablet. Announced Oct 2019. Features 7.0″  display, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/allview-vivac703.jpg,https://www.gsmarena.com/allview_viva_c703-9939.php
Viva Home,"Allview Viva Home Android tablet. Announced Jul 2019. Features 17.3″  display, MT8163 chipset, 5000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/allview-vivahome.jpg,https://www.gsmarena.com/allview_viva_home-9911.php
Viva 1003G,"Allview Viva 1003G Android tablet. Announced Aug 2019. Features 10.1″  display, MT8321A chipset, 4000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/allview-viva1003g.jpg,https://www.gsmarena.com/allview_viva_1003g-9910.php
Viva 1003G Lite,"Allview Viva 1003G Lite Android tablet. Announced Sep 2019. Features 10.1″  display, MT8321A chipset, 4000 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/allview-viva1003g-lite.jpg,https://www.gsmarena.com/allview_viva_1003g_lite-9909.php
V4 Viper,"Allview V4 Viper Android smartphone. Announced Sep 2019. Features 5.7″  display, MT6761 Helio A22 chipset, 2700 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/allview-v4-viper.jpg,https://www.gsmarena.com/allview_v4_viper-9908.php
Soul X6 Mini,"Allview Soul X6 Mini Android smartphone. Announced May 2019. Features 6.2″  display, MT6762 Helio P22 chipset, 4000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x6-mini.jpg,https://www.gsmarena.com/allview_soul_x6_mini-9709.php
