title,extended_title,img_link,gsmarena_link
E860,"Amoi E860 Windows Mobile smartphone. Announced  2007. Features 2.8″  display, 2 MP primary camera, 1150 mAh battery, 50 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/amoi-e860.gif,https://www.gsmarena.com/amoi_e860-2038.php
E78,"Amoi E78 Windows Mobile smartphone. Announced  2007. Features 2.46″  display, 2 MP primary camera, 1100 mAh battery, 64 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/amoi-e78.gif,https://www.gsmarena.com/amoi_e78-2037.php
E76,"Amoi E76 Windows Mobile smartphone. Announced  2007. Features 2.2″  display, 2 MP primary camera, 1100 mAh battery, 64 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/amoi-e76.gif,https://www.gsmarena.com/amoi_e76-2036.php
E72,"Amoi E72 Windows Mobile smartphone. Announced  2007. Features 2.0″  display, 1.3 MP primary camera, 1100 mAh battery, 64 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/amoi-e72.gif,https://www.gsmarena.com/amoi_e72-2032.php
WMA8701A,"Amoi WMA8701A phone. Announced  2007. Features 2.2″  display, 2 MP primary camera, 820 mAh battery, 200 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/amoi-8701a.gif,https://www.gsmarena.com/amoi_wma8701a-2031.php
WMA8703,"Amoi WMA8703 phone. Announced  2007. Features 2.2″  display, 3.15 MP primary camera, 920 mAh battery, 200 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/amoi-8703.gif,https://www.gsmarena.com/amoi_wma8703-2029.php
WMA8508,"Amoi WMA8508 phone. Announced Aug 2007. Features 2.0″  display, 1.3 MP primary camera, 780 mAh battery, 16 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/amoi-8508.gif,https://www.gsmarena.com/amoi_wma8508-2028.php
CMA8170,"Amoi CMA8170 phone. Announced  2007. Features 2.0″  display, 1.3 MP primary camera, 860 mAh battery, 90 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/amoi-8170.gif,https://www.gsmarena.com/amoi_cma8170-2027.php
M33,"Amoi M33 phone. Announced Q3 2007. Features 1.8″  display, 700 mAh battery, 30 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/amoi-m33.gif,https://www.gsmarena.com/amoi_m33-2026.php
A203,"Amoi A203 phone. Announced  2007. Features 1.5″  display, 750 mAh battery, 5 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/amoi-a203.gif,https://www.gsmarena.com/amoi_a203-2022.php
A200,"Amoi A200 phone. Announced  2007. Features 1.5″  display, 750 mAh battery, 3 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/amoi-a200.gif,https://www.gsmarena.com/amoi_a200-2021.php
A102,"Amoi A102 phone. Announced  2007. Features 1.5″  display, 750 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/amoi-a102.gif,https://www.gsmarena.com/amoi_a102-2020.php
A100,"Amoi A100 phone. Announced  2007. Features 1.5″  display, 750 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/amoi-a100.gif,https://www.gsmarena.com/amoi_a100-2019.php
A10,"Amoi A10 phone. Announced  2007. Features 1.5″  display, 1100 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/amoi-a10.gif,https://www.gsmarena.com/amoi_a10-2018.php
E850,"Amoi E850 Windows Mobile smartphone. Announced Q2 2006. Features 2.4″  display, 2 MP primary camera, 1100 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/amoi-e850.gif,https://www.gsmarena.com/amoi_e850-1821.php
V810,"Amoi V810 phone. Announced Q2 2006. Features 2.0″  display, 1.3 MP primary camera, 720 mAh battery, 35 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/amoi-v810.gif,https://www.gsmarena.com/amoi_v810-1673.php
H815,"Amoi H815 phone. Announced Q2 2006. Features 2.0″  display, 1.3 MP primary camera, 720 mAh battery, 36 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/amoi-h815.gif,https://www.gsmarena.com/amoi_h815-1672.php
H812,"Amoi H812 phone. Announced Q2 2006. Features 2.0″  display, 1.3 MP primary camera, 720 mAh battery, 36 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/amoi-h812.gif,https://www.gsmarena.com/amoi_h812-1671.php
