title,extended_title,img_link,gsmarena_link
Diamond,"Archos Diamond Android smartphone. Announced Feb 2019. Features 6.39″  display, MT6771 Helio P70 chipset, 3400 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-2019.jpg,https://www.gsmarena.com/archos_diamond-9593.php
Oxygen 68XL,"Archos Oxygen 68XL Android smartphone. Announced Feb 2019. Features 6.85″  display, MT6762 Helio P22 chipset, 5000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-68xl.jpg,https://www.gsmarena.com/archos_oxygen_68xl-9594.php
Oxygen 63,"Archos Oxygen 63 Android smartphone. Announced Feb 2019. Features 6.26″  display, Unisoc SC9863 chipset, 3000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-63.jpg,https://www.gsmarena.com/archos_oxygen_63-9595.php
Oxygen 57,"Archos Oxygen 57 Android smartphone. Announced Feb 2019. Features 5.71″  display, Unisoc SC9863 chipset, 2800 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/archos-oxygen-57.jpg,https://www.gsmarena.com/archos_oxygen_57-9596.php
Saphir 50X,"Archos Saphir 50X Android smartphone. Announced Apr 2018. Features 5.0″  display, MT6737VWT chipset, 8 MP primary camera, 2 MP front camera, 4000 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass 4.",https://fdn2.gsmarena.com/vv/bigpic/archos-saphir-50x.jpg,https://www.gsmarena.com/archos_saphir_50x-9151.php
Diamond Omega,"Archos Diamond Omega Android smartphone. Announced Oct 2017. Features 5.73″  display, Snapdragon 835 chipset, Dual: 12 MP (f/1.8, 1/2.55″, 1.4µm, dual pixel PDAF) + 23 MP primary camera, Dual: 5 MP front camera, 3100 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass (unspecified version).",https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-omega.jpg,https://www.gsmarena.com/archos_diamond_omega-8903.php
Diamond Alpha +,"Archos Diamond Alpha + Android smartphone. Announced Aug 2017. Features 5.2″  display, Snapdragon 653 chipset, Dual: 13 MP (1/2.9″, 1.25µm, AF) + 13 MP primary camera, 16 MP front camera, 3000 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass (unspecified version).",https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-alpha-plus.jpg,https://www.gsmarena.com/archos_diamond_alpha_+-8836.php
Diamond Tab,"Archos Diamond Tab Android tablet. Announced Aug 2017. Features 10.1″  display, Rockchip RK3399 chipset, 13 MP primary camera, 5 MP front camera, 6600 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-tab-.jpg,https://www.gsmarena.com/archos_diamond_tab-8837.php
Diamond Alpha,"Archos Diamond Alpha Android smartphone. Announced Jun 2017. Features 5.2″  display, Snapdragon 652 chipset, Dual: 13 MP (1/2.9″, 1.25µm, AF) + 13 MP primary camera, 16 MP front camera, 2950 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-alpha.jpg,https://www.gsmarena.com/archos_diamond_alpha-8737.php
Sense 55s,"Archos Sense 55s Android smartphone. Announced Jun 2017. Features 5.2″  display, Dual: 8 MP primary camera, 3000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/archos-sense-55s.jpg,https://www.gsmarena.com/archos_sense_55s-8739.php
Diamond Gamma,"Archos Diamond Gamma Android smartphone. Announced Jun 2017. Features 5.5″  display, Snapdragon 435 chipset, 13 MP primary camera, 5 MP front camera, 3000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/archos-diamond-gamma.jpg,https://www.gsmarena.com/archos_diamond_gamma-8738.php
Sense 50x,"Archos Sense 50x Android smartphone. Announced Jun 2017. Features 5.0″  display, MT6737T chipset, 8 MP primary camera, 3 MP front camera, 3500 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/archos-sense-50x.jpg,https://www.gsmarena.com/archos_sense_50x-8740.php
