title,extended_title,img_link,gsmarena_link
Zenfone 11 Ultra,"Asus Zenfone 11 Ultra Android smartphone. Announced Mar 2024. Features 6.78″  display, Snapdragon 8 Gen 3 chipset, 5500 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass Victus 2.",https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-11-ultra.jpg,https://www.gsmarena.com/asus_zenfone_11_ultra-12820.php
ROG Phone 8 Pro,"Asus ROG Phone 8 Pro Android smartphone. Announced Jan 2024. Features 6.78″  display, Snapdragon 8 Gen 3 chipset, 5500 mAh battery, 1024 GB storage, 24 GB RAM, Corning Gorilla Glass Victus 2.",https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-8-pro.jpg,https://www.gsmarena.com/asus_rog_phone_8_pro-12746.php
ROG Phone 8,"Asus ROG Phone 8 Android smartphone. Announced Jan 2024. Features 6.78″  display, Snapdragon 8 Gen 3 chipset, 5500 mAh battery, 256 GB storage, 16 GB RAM, Corning Gorilla Glass Victus 2.",https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-8.jpg,https://www.gsmarena.com/asus_rog_phone_8-12780.php
Zenfone 10,"Asus Zenfone 10 Android smartphone. Announced Jun 2023. Features 5.92″  display, Snapdragon 8 Gen 2 chipset, 4300 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone10.jpg,https://www.gsmarena.com/asus_zenfone_10-12380.php
ROG Phone 7 Ultimate,"Asus ROG Phone 7 Ultimate Android smartphone. Announced Apr 2023. Features 6.78″  display, Snapdragon 8 Gen 2 chipset, 6000 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-7-ultimate.jpg,https://www.gsmarena.com/asus_rog_phone_7_ultimate-12224.php
ROG Phone 7,"Asus ROG Phone 7 Android smartphone. Announced Apr 2023. Features 6.78″  display, Snapdragon 8 Gen 2 chipset, 6000 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-7.jpg,https://www.gsmarena.com/asus_rog_phone_7-12223.php
ROG Phone 6D Ultimate,"Asus ROG Phone 6D Ultimate Android smartphone. Announced Sep 2022. Features 6.78″  display, Dimensity 9000+ chipset, 6000 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-6d-ultimate.jpg,https://www.gsmarena.com/asus_rog_phone_6d_ultimate-11880.php
ROG Phone 6D,"Asus ROG Phone 6D Android smartphone. Announced Sep 2022. Features 6.78″  display, Dimensity 9000+ chipset, 6000 mAh battery, 256 GB storage, 16 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-6d.jpg,https://www.gsmarena.com/asus_rog_phone_6d-11881.php
ROG Phone 6 Diablo Immortal Edition,"Asus ROG Phone 6 Diablo Immortal Edition Android smartphone. Announced Nov 2022. Features 6.78″  display, Snapdragon 8+ Gen 1 chipset, 6000 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-6-diablo-immortal-edition.jpg,https://www.gsmarena.com/asus_rog_phone_6_diablo_immortal_edition-11986.php
ROG Phone 6 Batman Edition,"Asus ROG Phone 6 Batman Edition Android smartphone. Announced Sep 2022. Features 6.78″  display, Snapdragon 8+ Gen 1 chipset, 6000 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-6-batman.jpg,https://www.gsmarena.com/asus_rog_phone_6_batman_edition-11882.php
Zenfone 9,"Asus Zenfone 9 Android smartphone. Announced Jul 2022. Features 5.9″  display, Snapdragon 8+ Gen 1 chipset, 4300 mAh battery, 256 GB storage, 16 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-9-new.jpg,https://www.gsmarena.com/asus_zenfone_9-11656.php
ROG Phone 6 Pro,"Asus ROG Phone 6 Pro Android smartphone. Announced Jul 2022. Features 6.78″  display, Snapdragon 8+ Gen 1 chipset, 6000 mAh battery, 512 GB storage, 18 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone6-pro.jpg,https://www.gsmarena.com/asus_rog_phone_6_pro-11648.php
ROG Phone 6,"Asus ROG Phone 6 Android smartphone. Announced Jul 2022. Features 6.78″  display, Snapdragon 8+ Gen 1 chipset, 6000 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone6.jpg,https://www.gsmarena.com/asus_rog_phone_6-11647.php
ROG Phone 5s Pro,"Asus ROG Phone 5s Pro Android smartphone. Announced Aug 2021. Features 6.78″  display, Snapdragon 888+ 5G chipset, 6000 mAh battery, 512 GB storage, 18 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-5s-pro.jpg,https://www.gsmarena.com/asus_rog_phone_5s_pro-11053.php
ROG Phone 5s,"Asus ROG Phone 5s Android smartphone. Announced Aug 2021. Features 6.78″  display, Snapdragon 888+ 5G chipset, 6000 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-5s-new.jpg,https://www.gsmarena.com/asus_rog_phone_5s-11054.php
Smartphone for Snapdragon Insiders,"Asus Smartphone for Snapdragon Insiders Android smartphone. Announced Jul 2021. Features 6.78″  display, Snapdragon 888 5G chipset, 4000 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/asus-smartphone-for-snapdragon-insiders.jpg,https://www.gsmarena.com/asus_smartphone_for_snapdragon_insiders-11006.php
Zenfone 8 Flip,"Asus Zenfone 8 Flip Android smartphone. Announced May 2021. Features 6.67″  display, Snapdragon 888 5G chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-8-flip.jpg,https://www.gsmarena.com/asus_zenfone_8_flip-10892.php
Zenfone 8,"Asus Zenfone 8 Android smartphone. Announced May 2021. Features 5.9″  display, Snapdragon 888 5G chipset, 4000 mAh battery, 256 GB storage, 16 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-8.jpg,https://www.gsmarena.com/asus_zenfone_8-10893.php
ROG Phone 5 Ultimate,"Asus ROG Phone 5 Ultimate Android smartphone. Announced Mar 2021. Features 6.78″  display, Snapdragon 888 5G chipset, 6000 mAh battery, 512 GB storage, 18 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-5-ultimate.jpg,https://www.gsmarena.com/asus_rog_phone_5_ultimate-10785.php
ROG Phone 5 Pro,"Asus ROG Phone 5 Pro Android smartphone. Announced Mar 2021. Features 6.78″  display, Snapdragon 888 5G chipset, 6000 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-5-pro.jpg,https://www.gsmarena.com/asus_rog_phone_5_pro-10784.php
ROG Phone 5,"Asus ROG Phone 5 Android smartphone. Announced Mar 2021. Features 6.78″  display, Snapdragon 888 5G chipset, 6000 mAh battery, 256 GB storage, 16 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-5.jpg,https://www.gsmarena.com/asus_rog_phone_5-10715.php
Zenfone 7 Pro,"Asus Zenfone 7 Pro Android smartphone. Announced Aug 2020. Features 6.67″  display, Snapdragon 865 5G+ chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone7-pro-zs670ks-zs671ks-b.jpg,https://www.gsmarena.com/asus_zenfone_7_pro-10393.php
Zenfone 7,"Asus Zenfone 7 Android smartphone. Announced Aug 2020. Features 6.67″  display, Snapdragon 865 5G chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone7-pro-zs670ks-zs671ks.jpg,https://www.gsmarena.com/asus_zenfone_7-10379.php
ROG Phone 3,"Asus ROG Phone 3 Android smartphone. Announced Jul 2020. Features 6.59″  display, Snapdragon 865 5G+ chipset, 6000 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-3-zs661ks.jpg,https://www.gsmarena.com/asus_rog_phone_3-10296.php
ROG Phone 3 Strix,"Asus ROG Phone 3 Strix Android smartphone. Announced Jul 2020. Features 6.59″  display, Snapdragon 865 5G chipset, 6000 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone3-strix.jpg,https://www.gsmarena.com/asus_rog_phone_3_strix-10328.php
ROG Phone II ZS660KL,"Asus ROG Phone II ZS660KL Android smartphone. Announced Jul 2019. Features 6.59″  display, Snapdragon 855+ chipset, 6000 mAh battery, 1024 GB storage, 12 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone2.jpg,https://www.gsmarena.com/asus_rog_phone_ii_zs660kl-9770.php
Zenfone 6 ZS630KL,"Asus Zenfone 6 ZS630KL Android smartphone. Announced May 2019. Features 6.4″  display, Snapdragon 855 chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-6-zs630kl.jpg,https://www.gsmarena.com/asus_zenfone_6_zs630kl-9698.php
