title,extended_title,img_link,gsmarena_link
SF71,"BenQ-Siemens SF71 phone. Announced Mar 2007. Features 2.0″  display, 2 MP primary camera, 920 mAh battery, 45 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-sf71.gif,https://www.gsmarena.com/benq_siemens_sf71-2075.php
E52,"BenQ-Siemens E52 phone. Announced Jun 2007. Features 1.8″  display, 1.3 MP primary camera, 920 mAh battery, 20 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e52.gif,https://www.gsmarena.com/benq_siemens_e52-2000.php
C32,"BenQ-Siemens C32 phone. Announced Jul 2007. Features 2.0″  display, 2 MP primary camera, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-c32.gif,https://www.gsmarena.com/benq_siemens_c32-2110.php
C31,"BenQ-Siemens C31 phone. Announced Jun 2007. Features 1.8″  display, 1.3 MP primary camera, 920 mAh battery, 20 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-c31.gif,https://www.gsmarena.com/benq_siemens_c31-2001.php
SL80,"BenQ-Siemens SL80 phone. Announced Aug 2006. Features 1.8″  display, 1.3 MP primary camera, 750 mAh battery, 52 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-sl80.gif,https://www.gsmarena.com/benq_siemens_sl80-1668.php
AL26,"BenQ-Siemens AL26 phone. Announced Aug 2006. Features TFT, 65K colors display, 600 mAh battery, 2 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-al26.gif,https://www.gsmarena.com/benq_siemens_al26-1666.php
A53,"BenQ-Siemens A53 phone. Announced Apr 2007. Features TFT, 256K colors display, 1.3 MP primary camera, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-a53.jpg,https://www.gsmarena.com/benq_siemens_a53-2511.php
SL91,"BenQ-Siemens SL91 phone. Announced Jul 2006. Features 2.0″  display, 3.15 MP primary camera, 950 mAh battery, 64 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-sl91.gif,https://www.gsmarena.com/benq_siemens_sl91-1652.php
E81,"BenQ-Siemens E81 phone. Announced Jul 2006. Features 1.8″  display, 1.3 MP primary camera, 900 mAh battery, 16 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e81.gif,https://www.gsmarena.com/benq_siemens_e81-1651.php
E71,"BenQ-Siemens E71 phone. Announced Jul 2006. Features 2.1″  display, 1.3 MP primary camera, 730 mAh battery, 16 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-e71.gif,https://www.gsmarena.com/benq_siemens_e71-1650.php
EF61,"BenQ-Siemens EF61 phone. Announced Jul 2006. Features TFT, 256K colors display, 1.3 MP primary camera, 750 mAh battery, 2 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-ef61.gif,https://www.gsmarena.com/benq_siemens_ef61-1640.php
M81,"BenQ-Siemens M81 phone. Announced Jun 2006. Features 1.8″  display, 1.3 MP primary camera, 820 mAh battery, 27 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/benqsiemens-m81.gif,https://www.gsmarena.com/benq_siemens_m81-1593.php
