title,extended_title,img_link,gsmarena_link
F52,"BenQ F52 Android smartphone. Announced May 2015. Features 5.2″  display, Snapdragon 615 chipset, 13 MP primary camera, 8 MP front camera, 2500 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/benq-f52.jpg,https://www.gsmarena.com/benq_f52-7043.php
B502,"BenQ B502 Android smartphone. Announced Oct 2014. Features 5.0″  display, MT6582 chipset, 13 MP primary camera, 5 MP front camera, 1800 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/benq-b502.jpg,https://www.gsmarena.com/benq_b502-7048.php
T3,"BenQ T3 Android smartphone. Announced Sep 2014. Features 4.5″  display, Snapdragon 400 chipset, 8 MP primary camera, 1840 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/benq-t3.jpg,https://www.gsmarena.com/benq_t3-6694.php
F5,"BenQ F5 Android smartphone. Announced Sep 2014. Features 5.0″  display, Snapdragon 400 chipset, 13 MP primary camera, 2 MP front camera, 2520 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/benq-f5.jpg,https://www.gsmarena.com/benq_f5-6693.php
F3,"BenQ F3 Android smartphone. Announced Nov 2013. Features 4.5″  display, MT6589 chipset, 13 MP primary camera, 2 MP front camera, 2100 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/benq-f3.jpg,https://www.gsmarena.com/benq_f3-5878.php
A3,"BenQ A3 Android smartphone. Announced Nov 2013. Features 4.5″  display, Snapdragon S4 Play chipset, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/benq-a3.jpg,https://www.gsmarena.com/benq_a3-5847.php
E55,"BenQ E55 phone. Announced Jul 2008. Features 2.0″  display, 2 MP primary camera, 900 mAh battery, 45 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/benq-e55.jpg,https://www.gsmarena.com/benq_e55-2464.php
C36,"BenQ C36 phone. Announced Apr 2008. Features 2.0″  display, 1.3 MP primary camera, 640 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/benq-c36.jpg,https://www.gsmarena.com/benq_c36-2361.php
E53,"BenQ E53 phone. Announced Mar 2008. Features 2.0″  display, 1.3 MP primary camera, 900 mAh battery, 45 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/benq-e53.jpg,https://www.gsmarena.com/benq_e53-2362.php
T60,"BenQ T60 phone. Announced Mar 2008. Features 2.2″  display, 3.15 MP primary camera, 750 mAh battery, 24 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/benq-t60.jpg,https://www.gsmarena.com/benq_t60-2333.php
