title,extended_title,img_link,gsmarena_link
M32,"Bird M32 phone. Announced  2007. Features 1.8″  display, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/bird-m32.gif,https://www.gsmarena.com/bird_m32-1966.php
D636,"Bird D636 phone. Announced  2007. Features 1.9″  display, 1.3 MP primary camera, 600 mAh battery, 60 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/bird-d636.gif,https://www.gsmarena.com/bird_d636-1965.php
D706,"Bird D706 phone. Announced  2007. Features 1.9″  display, 1.3 MP primary camera, 600 mAh battery, 60 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/bird-d706.gif,https://www.gsmarena.com/bird_d706-1964.php
D615,"Bird D615 phone. Announced  2007. Features 1.8″  display, 1.3 MP primary camera, 650 mAh battery, 60 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/bird-d615.gif,https://www.gsmarena.com/bird_d615-1963.php
S768,"Bird S768 phone. Announced  2007. Features 1.8″  display, 700 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/bird-s768.gif,https://www.gsmarena.com/bird_s768-1962.php
S758,"Bird S758 phone. Announced  2007. Features 1.8″  display, 700 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/bird-s758.gif,https://www.gsmarena.com/bird_s758-1961.php
S618,"Bird S618 phone. Announced  2007. Features 1.7″  display, 700 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/bird-s618.gif,https://www.gsmarena.com/bird_s618-1960.php
D736,"Bird D736 phone. Announced  2007. Features 1.9″  display, 2 MP primary camera, 600 mAh battery, 60 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/bird-d736.gif,https://www.gsmarena.com/bird_d736-1959.php
D716,"Bird D716 phone. Announced  2007. Features 1.9″  display, 2 MP primary camera, 600 mAh battery, 60 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/bird-d716.gif,https://www.gsmarena.com/bird_d716-1955.php
D720,"Bird D720 phone. Announced  2007. Features 1.9″  display, 2 MP primary camera, 700 mAh battery, 60 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/bird-d720.gif,https://www.gsmarena.com/bird_d720-1952.php
D611,"Bird D611 phone. Announced  2007. Features 1.8″  display, 1.3 MP primary camera, 650 mAh battery, 60 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/bird-d611.gif,https://www.gsmarena.com/bird_d611-1951.php
D515,"Bird D515 phone. Announced  2007. Features 1.8″  display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/bird-d515.gif,https://www.gsmarena.com/bird_d515-1950.php
