title,extended_title,img_link,gsmarena_link
KEY2 LE,"BlackBerry KEY2 LE Android smartphone. Announced Aug 2018. Features 4.5″  display, Snapdragon 636 chipset, Dual: 13 MP (PDAF) + 5 MP primary camera, 5 MP front camera, 3000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass (unspecified version).",https://fdn2.gsmarena.com/vv/bigpic/blackberry-key2-le-.jpg,https://www.gsmarena.com/blackberry_key2_le-9292.php
Evolve X,"BlackBerry Evolve X Android smartphone. Announced Aug 2018. Features 5.99″  display, Snapdragon 660 chipset, Dual: 12 MP (f/1.8, 1/2.8″, 1.29 μm, PDAF) + 13 MP primary camera, 16 MP front camera, 4000 mAh battery, 64 GB storage, 6 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/blackberry-exolve-x-5.jpg,https://www.gsmarena.com/blackberry_evolve_x-9282.php
Evolve,"BlackBerry Evolve Android smartphone. Announced Aug 2018. Features 5.99″  display, Snapdragon 450 chipset, Dual: 13 MP, 1/3.1″, 1.12µm, PDAF + 13 MP primary camera, 16 MP front camera, 4000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/blackberry-exolve-6.jpg,https://www.gsmarena.com/blackberry_evolve-9281.php
KEY2,"BlackBerry KEY2 Android smartphone. Announced Jun 2018. Features 4.5″  display, Snapdragon 660 chipset, Dual: 12 MP (f/1.8, 1/2.3″, 1.28µm, dual pixel PDAF) + 12 MP primary camera, 8 MP front camera, 3500 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/blackberry-key2-new.jpg,https://www.gsmarena.com/blackberry_key2-9187.php
Motion,"BlackBerry Motion Android smartphone. Announced Oct 2017. Features 5.5″  display, Snapdragon 625 chipset, 12 MP primary camera, 8 MP front camera, 4000 mAh battery, 32 GB storage, 4 GB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/blackberry-motion.jpg,https://www.gsmarena.com/blackberry_motion-8891.php
Aurora,"BlackBerry Aurora Android smartphone. Announced Mar 2017. Features 5.5″  display, Snapdragon 425 chipset, 13 MP primary camera, 8 MP front camera, 3000 mAh battery, 32 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackberry-aurora.jpg,https://www.gsmarena.com/blackberry_aurora-8612.php
Keyone,"BlackBerry Keyone Android smartphone. Announced Feb 2017. Features 4.5″  display, Snapdragon 625 chipset, 12 MP primary camera, 8 MP front camera, 3500 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 4.",https://fdn2.gsmarena.com/vv/bigpic/blackberry-keyone-mercury.jpg,https://www.gsmarena.com/blackberry_keyone-8508.php
DTEK60,"BlackBerry DTEK60 Android smartphone. Announced Oct 2016. Features 5.5″  display, Snapdragon 820 chipset, 21 MP primary camera, 8 MP front camera, 3000 mAh battery, 32 GB storage, 4 GB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/bb-dtek-60r.jpg,https://www.gsmarena.com/blackberry_dtek60-8351.php
DTEK50,"BlackBerry DTEK50 Android smartphone. Announced Jul 2016. Features 5.2″  display, Snapdragon 617 chipset, 13 MP primary camera, 8 MP front camera, 2610 mAh battery, 16 GB storage, 3 GB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/bb-dtek.jpg,https://www.gsmarena.com/blackberry_dtek50-8229.php
Priv,"BlackBerry Priv Android smartphone. Announced Oct 2015. Features 5.4″  display, Snapdragon 808 chipset, 18 MP primary camera, 2 MP front camera, 3410 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass 4.",https://fdn2.gsmarena.com/vv/bigpic/blackberry-priv.jpg,https://www.gsmarena.com/blackberry_priv-7587.php
Leap,"BlackBerry Leap smartphone. Announced Mar 2015. Features 5.0″  display, Snapdragon S4 Plus chipset, 8 MP primary camera, 2 MP front camera, 2800 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackberry-leap1.jpg,https://www.gsmarena.com/blackberry_leap-7099.php
Classic Non Camera,"BlackBerry Classic Non Camera smartphone. Announced Feb 2015. Features 3.5″  display, 2515 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/blackberry-classic-no.jpg,https://www.gsmarena.com/blackberry_classic_non_camera-7066.php
