title,extended_title,img_link,gsmarena_link
Hero 10,"Blackview Hero 10 Android smartphone. Announced May 2024. Features 6.9″  display, Helio G99 chipset, 4000 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackview-hero-10.jpg,https://www.gsmarena.com/blackview_hero_10-13052.php
Tab 16 Pro,"Blackview Tab 16 Pro Android tablet. Announced May 2024. Features 11.0″  display, Unisoc Tiger T616 chipset, 7700 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab-16-pro.jpg,https://www.gsmarena.com/blackview_tab_16_pro-13054.php
BV8100,"Blackview BV8100 Android smartphone. Announced May 2024. Features 6.5″  display, Helio G99 chipset, 8800 mAh battery, 256 GB storage, 8 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/blackview-bv8100.jpg,https://www.gsmarena.com/blackview_bv8100-13055.php
BL9000 Pro,"Blackview BL9000 Pro Android smartphone. Announced Apr 2024. Features 6.78″  display, Dimensity 8020 chipset, 8800 mAh battery, 512 GB storage, 12 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/blackview-bl9000-pro.jpg,https://www.gsmarena.com/blackview_bl9000_pro-12965.php
Color 8,"Blackview Color 8 Android smartphone. Announced Jan 2024. Features 6.75″  display, Unisoc Tiger T616 chipset, 6000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackview-color8.jpg,https://www.gsmarena.com/blackview_color_8-12883.php
Mega 1,"Blackview Mega 1 Android tablet. Announced Mar 2024. Features 11.5″  display, Helio G99 chipset, 8800 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackview-mega1.jpg,https://www.gsmarena.com/blackview_mega_1-12884.php
BL9000,"Blackview BL9000 Android smartphone. Announced Jan 2024. Features 6.78″  display, Dimensity 8020 chipset, 8800 mAh battery, 512 GB storage, 12 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/blackview-bl9000.jpg,https://www.gsmarena.com/blackview_bl9000-12795.php
BL8000,"Blackview BL8000 Android smartphone. Announced Jan 2024. Features 6.78″  display, Dimensity 7050 chipset, 8800 mAh battery, 512 GB storage, 12 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/blackview-bl8000.jpg,https://www.gsmarena.com/blackview_bl8000-12794.php
Shark 8,"Blackview Shark 8 Android smartphone. Announced Nov 2023. Features 6.78″  display, Helio G99 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackview-shark8.jpg,https://www.gsmarena.com/blackview_shark_8-12680.php
Tab 18,"Blackview Tab 18 Android tablet. Announced Nov 2023. Features 12.0″  display, Helio G99 chipset, 8800 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackview-tab18.jpg,https://www.gsmarena.com/blackview_tab_18-12682.php
