title,extended_title,img_link,gsmarena_link
Bold N3,"BLU Bold N3 Android smartphone. Announced Jul 2023. Features 6.78″  display, Dimensity 7050 chipset, 4700 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-bold-n3.jpg,https://www.gsmarena.com/blu_bold_n3-12603.php
G93,"BLU G93 Android smartphone. Announced Jun 2023. Features 6.78″  display, Helio G99 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-g93.jpg,https://www.gsmarena.com/blu_g93-12460.php
G73,"BLU G73 Android smartphone. Announced Jun 2023. Features 6.8″  display, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-g73.jpg,https://www.gsmarena.com/blu_g73-12459.php
G63,"BLU G63 Android smartphone. Announced Jun 2023. Features 6.8″  display, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-g63.jpg,https://www.gsmarena.com/blu_g63-12458.php
G53,"BLU G53 Android smartphone. Announced Jun 2023. Features 6.5″  display, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-g53.jpg,https://www.gsmarena.com/blu_g53-12457.php
G33,"BLU G33 Android smartphone. Announced Jun 2023. Features 6.26″  display, 3000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-g33.jpg,https://www.gsmarena.com/blu_g33-12456.php
F92e,"BLU F92e Android smartphone. Announced Jan 2023. Features 6.5″  display, Dimensity 700 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-f92e-5g.jpg,https://www.gsmarena.com/blu_f92e-12153.php
G72 Max,"BLU G72 Max Android smartphone. Announced Feb 2023. Features 6.8″  display, MT6765 Helio G37 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-g72-max.jpg,https://www.gsmarena.com/blu_g72_max-12110.php
G52L,"BLU G52L Android smartphone. Announced Jan 2023. Features 6.5″  display, 5000 mAh battery, 64 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-g52l.jpg,https://www.gsmarena.com/blu_g52l-12102.php
Studio X5 Max,"BLU Studio X5 Max Android smartphone. Announced Jul 2022. Features 5.7″  display, 2700 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-studio-x5-max.jpg,https://www.gsmarena.com/blu_studio_x5_max-11830.php
Studio X5,"BLU Studio X5 Android smartphone. Announced Jul 2022. Features 5.0″  display, 2000 mAh battery, 32 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-studio-x5.jpg,https://www.gsmarena.com/blu_studio_x5-11829.php
G40,"BLU G40 Android smartphone. Announced Jun 2022. Features 6.0″  display, 3000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-g40.jpg,https://www.gsmarena.com/blu_g40-11828.php
Bold N2,"BLU Bold N2 Android smartphone. Announced Aug 2022. Features 6.6″  display, Dimensity 810 chipset, 4200 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/blu-bold-n2-new.jpg,https://www.gsmarena.com/blu_bold_n2-11757.php
Studio X10L 2022,"BLU Studio X10L 2022 Android smartphone. Announced Jul 2022. Features 5.0″  display, 2000 mAh battery, 32 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-studiox10l-2022.jpg,https://www.gsmarena.com/blu_studio_x10l_2022-11716.php
S91 Pro,"BLU S91 Pro Android smartphone. Announced Jul 2022. Features 6.5″  display, MT6765V chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-s91pro.jpg,https://www.gsmarena.com/blu_s91_pro-11715.php
J6S,"BLU J6S Android smartphone. Announced Jul 2022. Features 6.1″  display, 3000 mAh battery, 32 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-j6s.jpg,https://www.gsmarena.com/blu_j6s-11673.php
C7X,"BLU C7X Android smartphone. Announced Jul 2022. Features 6.5″  display, 4000 mAh battery, 32 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-c7x.jpg,https://www.gsmarena.com/blu_c7x-11672.php
S91,"BLU S91 Android smartphone. Announced Jun 2022. Features 6.5″  display, MT6762G Helio G25 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-s91.jpg,https://www.gsmarena.com/blu_s91-11643.php
G51,"BLU G51 Android smartphone. Announced Jun 2022. Features 6.1″  display, MT6761 Helio A22 chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-g51.jpg,https://www.gsmarena.com/blu_g51-11623.php
G61s,"BLU G61s Android smartphone. Announced Apr 2022. Features 6.5″  display, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-g61s.jpg,https://www.gsmarena.com/blu_g61s-11536.php
G50 Mega 2022,"BLU G50 Mega 2022 Android smartphone. Announced Apr 2022. Features 6.5″  display, 4000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/glu-g50-mega-2022.jpg,https://www.gsmarena.com/blu_g50_mega_2022-11509.php
F91,"BLU F91 Android smartphone. Announced Apr 2022. Features 6.8″  display, Dimensity 810 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-f91-5g.jpg,https://www.gsmarena.com/blu_f91-11483.php
G71L,"BLU G71L Android smartphone. Announced Jan 2022. Features 6.5″  display, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-g71l.jpg,https://www.gsmarena.com/blu_g71l-11398.php
G91 Max,"BLU G91 Max Android smartphone. Announced Feb 2022. Features 6.8″  display, MT6785V chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-g91-max.jpg,https://www.gsmarena.com/blu_g91_max-11376.php
G71+,"BLU G71+ Android smartphone. Announced Jan 2022. Features 6.5″  display, 4900 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blu-g71-plus.jpg,https://www.gsmarena.com/blu_g71+-11369.php
