title,extended_title,img_link,gsmarena_link
Aquaris X2 Pro,"BQ Aquaris X2 Pro Android smartphone. Announced May 2018. Features 5.65″  display, Snapdragon 660 chipset, Dual: 12 MP (f/1.8, 1/2.8″, 1.29µm, dual pixel PDAF) + 5 MP primary camera, 8 MP front camera, 3100 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass (unspecified version).",https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-x2-pro.jpg,https://www.gsmarena.com/bq_aquaris_x2_pro-9197.php
Aquaris X2,"BQ Aquaris X2 Android smartphone. Announced May 2018. Features 5.65″  display, Snapdragon 636 chipset, Dual: 12 MP (f/1.8, 1/2.8″, 1.29µm, dual pixel PDAF) + 5 MP primary camera, 8 MP front camera, 3100 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass (unspecified version).",https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-x2.jpg,https://www.gsmarena.com/bq_aquaris_x2-9198.php
Aquaris VS Plus,"BQ Aquaris VS Plus Android smartphone. Announced Feb 2018. Features 5.5″  display, Snapdragon 430 chipset, 12 MP primary camera, 8 MP front camera, 3400 mAh battery, 64 GB storage, 4 GB RAM, Dinorex glass.",https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-vs-plus.jpg,https://www.gsmarena.com/bq_aquaris_vs_plus-9078.php
Aquaris VS,"BQ Aquaris VS Android smartphone. Announced Feb 2018. Features 5.2″  display, Snapdragon 430 chipset, 12 MP primary camera, 8 MP front camera, 3100 mAh battery, 64 GB storage, 4 GB RAM, Dinorex glass.",https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-vs.jpg,https://www.gsmarena.com/bq_aquaris_vs-9077.php
Aquaris U2 Lite,"BQ Aquaris U2 Lite Android smartphone. Announced Sep 2017. Features 5.2″  display, Snapdragon 425 chipset, 8 MP primary camera, 5 MP front camera, 3100 mAh battery, 16 GB storage, 2 GB RAM, Dinorex glass.",https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-u2-lite.jpg,https://www.gsmarena.com/bq_aquaris_u2_lite-9037.php
Aquaris U2,"BQ Aquaris U2 Android smartphone. Announced Sep 2017. Features 5.2″  display, Snapdragon 435 chipset, 13 MP primary camera, 5 MP front camera, 3100 mAh battery, 32 GB storage, 3 GB RAM, Dinorex glass.",https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-u2.jpg,https://www.gsmarena.com/bq_aquaris_u2-9036.php
Aquaris V Plus,"BQ Aquaris V Plus Android smartphone. Announced Sep 2017. Features 5.5″  display, Snapdragon 435 chipset, 12 MP primary camera, 8 MP front camera, 3400 mAh battery, 64 GB storage, 4 GB RAM, Dinorex glass.",https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-v.jpg,https://www.gsmarena.com/bq_aquaris_v_plus-9035.php
Aquaris V,"BQ Aquaris V Android smartphone. Announced Sep 2017. Features 5.2″  display, Snapdragon 435 chipset, 12 MP primary camera, 8 MP front camera, 3100 mAh battery, 64 GB storage, 4 GB RAM, Dinorex glass.",https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-v.jpg,https://www.gsmarena.com/bq_aquaris_v-9034.php
Aquaris X Pro,"BQ Aquaris X Pro Android smartphone. Announced Apr 2017. Features 5.2″  display, Snapdragon 626 chipset, 12 MP primary camera, 8 MP front camera, 3100 mAh battery, 128 GB storage, 4 GB RAM, Dinorex glass.",https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris-xpro.jpg,https://www.gsmarena.com/bq_aquaris_x_pro-8641.php
Aquaris X,"BQ Aquaris X Android smartphone. Announced Apr 2017. Features 5.2″  display, Snapdragon 626 chipset, 16 MP primary camera, 8 MP front camera, 3100 mAh battery, 32 GB storage, 3 GB RAM, Dinorex glass.",https://fdn2.gsmarena.com/vv/bigpic/bq-aquaris.jpg,https://www.gsmarena.com/bq_aquaris_x-8642.php
