title,extended_title,img_link,gsmarena_link
S75,"Cat S75 Android smartphone. Announced Feb 2023. Features 6.6″  display, Dimensity 930 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/cat-s75.jpg,https://www.gsmarena.com/cat_s75-12140.php
S53,"Cat S53 Android smartphone. Announced Jul 2022. Features 6.5″  display, Snapdragon 480 5G chipset, 5500 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810H compliant.",https://fdn2.gsmarena.com/vv/bigpic/cat-s53.jpg,https://www.gsmarena.com/cat_s53-11766.php
S22 Flip,"Cat S22 Flip Android smartphone. Announced Sep 2021. Features 2.8″  display, Snapdragon 215 chipset, 2000 mAh battery, 16 GB storage, 2 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/cat-s22-flip.jpg,https://www.gsmarena.com/cat_s22_flip-11141.php
S62,"Cat S62 Android smartphone. Announced Jun 2021. Features 5.7″  display, Snapdragon 660 chipset, 4000 mAh battery, 128 GB storage, 4 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/cat-s62.jpg,https://www.gsmarena.com/cat_s62-11300.php
S42 H+,"Cat S42 H+ Android smartphone. Announced Apr 2021. Features 5.5″  display, MT6761D Helio A20 chipset, 4200 mAh battery, 32 GB storage, 3 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/cat-s42-plus.jpg,https://www.gsmarena.com/cat_s42_h+-10975.php
B40,"Cat B40 phone. Announced Apr 2021. Features 2.4″  display, Unisoc T117 chipset, 1800 mAh battery, MIL-STD-810H compliant.",https://fdn2.gsmarena.com/vv/bigpic/cat-b40.jpg,https://www.gsmarena.com/cat_b40-10976.php
S62 Pro,"Cat S62 Pro Android smartphone. Announced Jun 2020. Features 5.7″  display, Snapdragon 660 chipset, 4000 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/cat-s62-pro.jpg,https://www.gsmarena.com/cat_s62_pro-10358.php
S42,"Cat S42 Android smartphone. Announced Jan 2020. Features 5.5″  display, MT6761D Helio A20 chipset, 4200 mAh battery, 32 GB storage, 3 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/cat-s32.jpg,https://www.gsmarena.com/cat_s42-10029.php
S52,"Cat S52 Android smartphone. Announced Oct 2019. Features 5.65″  display, MT6765 Helio P35 chipset, 3100 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/cat-s52.jpg,https://www.gsmarena.com/cat_s52-9938.php
B35,"Cat B35 smartphone. Announced Sep 2018. Features 2.4″  display, Snapdragon 205 chipset, 2300 mAh battery, 4 GB storage, 512 MB RAM, MIL-STD-810G compliant, Scratch-proof glass.",https://fdn2.gsmarena.com/vv/bigpic/cat-b35.jpg,https://www.gsmarena.com/cat_b35-9348.php
