title,extended_title,img_link,gsmarena_link
A403,"Celkon A403 Android smartphone. Announced Aug 2015. Features 4.0″  display, Spreadtrum SC7715 chipset, 3.15 MP primary camera, 1.3 MP front camera, 1400 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-a403.jpg,https://www.gsmarena.com/celkon_a403-7618.php
Campus Prime,"Celkon Campus Prime Android smartphone. Announced Aug 2015. Features 4.5″  display, Spreadtrum SC7715 chipset, 3.15 MP primary camera, 1.3 MP front camera, 1600 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-prime.jpg,https://www.gsmarena.com/celkon_campus_prime-7617.php
Millennia Everest,"Celkon Millennia Everest Android smartphone. Announced Aug 2015. Features 5.5″  display, Spreadtrum SC7731 chipset, 5 MP primary camera, 3.2 MP front camera, 2500 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-everest.jpg,https://www.gsmarena.com/celkon_millennia_everest-7616.php
Millennia Hero,"Celkon Millennia Hero Android smartphone. Announced Aug 2015. Features 4.0″  display, 5 MP primary camera, 3.2 MP front camera, 1700 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-hero.jpg,https://www.gsmarena.com/celkon_millennia_hero-7615.php
Millennia Xplore,"Celkon Millennia Xplore Android smartphone. Announced Jul 2015. Features 5.0″  display, MT6582M chipset, 13 MP primary camera, 8 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-q58-xplore.jpg,https://www.gsmarena.com/celkon_millennia_xplore-7461.php
Q455L,"Celkon Q455L Android smartphone. Announced Jul 2015. Features 4.5″  display, 8 MP primary camera, 3.15 MP front camera, 1800 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-q455.jpg,https://www.gsmarena.com/celkon_q455l-7460.php
2GB Xpress,"Celkon 2GB Xpress Android smartphone. Announced Jul 2015. Features 4.5″  display, Spreadtrum 7731 chipset, 5 MP primary camera, 1.3 MP front camera, 1500 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-2gb-xpress.jpg,https://www.gsmarena.com/celkon_2gb_xpress-7459.php
A35k Remote,"Celkon A35k Remote Android smartphone. Announced Jun 2015. Features 3.5″  display, 3.15 MP primary camera, 1400 mAh battery, 512 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-a35k-remote.jpg,https://www.gsmarena.com/celkon_a35k_remote-7376.php
Q3K Power,"Celkon Q3K Power Android smartphone. Announced Jul 2015. Features 4.0″  display, Spreadtrum 7731G chipset, 3.15 MP primary camera, 1.3 MP front camera, 3000 mAh battery, 8 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-q3k-power.jpg,https://www.gsmarena.com/celkon_q3k_power-7375.php
Q5K Power,"Celkon Q5K Power Android smartphone. Announced Jun 2015. Features 5.0″  display, Spreadtrum 7731 chipset, 5 MP primary camera, 3.15 MP front camera, 5000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-q5k-power.jpg,https://www.gsmarena.com/celkon_q5k_power-7374.php
Q452,"Celkon Q452 Android smartphone. Announced May 2015. Features 4.5″  display, Spreadtrum 7731 chipset, 3.15 MP primary camera, 1.3 MP front camera, 1500 mAh battery, 8 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-q452.jpg,https://www.gsmarena.com/celkon_q452-7373.php
A402,"Celkon A402 Android smartphone. Announced Jun 2015. Features 4.0″  display, Spreadtrum 7715 chipset, 3.15 MP primary camera, 1.3 MP front camera, 2000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-a402.jpg,https://www.gsmarena.com/celkon_a402-7372.php
Q54+,"Celkon Q54+ Android smartphone. Announced Mar 2015. Features 5.0″  display, Spreadtrum 7731 chipset, 5 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-q54-plus.jpg,https://www.gsmarena.com/celkon_q54+-7287.php
Q519,"Celkon Q519 Android smartphone. Announced May 2015. Features 5.0″  display, Spreadtrum 7731 chipset, 5 MP primary camera, 2 MP front camera, 2000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-q519.jpg,https://www.gsmarena.com/celkon_q519-7286.php
Q450,"Celkon Q450 Android smartphone. Announced Apr 2015. Features 4.5″  display, Spreadtrum 7731 chipset, 5 MP primary camera, 2 MP front camera, 1800 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-q450.jpg,https://www.gsmarena.com/celkon_q450-7285.php
Q405,"Celkon Q405 Android smartphone. Announced May 2015. Features 4.0″  display, Spreadtrum 7731 chipset, 3.15 MP primary camera, 1.3 MP front camera, 1500 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-q405.jpg,https://www.gsmarena.com/celkon_q405-7284.php
A518,"Celkon A518 Android smartphone. Announced Apr 2015. Features 5.0″  display, Spreadtrum 7715 chipset, 3.15 MP primary camera, 1.3 MP front camera, 2000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-a518.jpg,https://www.gsmarena.com/celkon_a518-7283.php
A407,"Celkon A407 Android smartphone. Announced May 2015. Features 4.0″  display, RDA 8810P chipset, 2 MP primary camera, 1.3 MP front camera, 1400 mAh battery, 512 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-a407.jpg,https://www.gsmarena.com/celkon_a407-7282.php
A359,"Celkon A359 Android smartphone. Announced May 2015. Features 3.5″  display, Spreadtrum 7715 chipset, 2 MP primary camera, 1200 mAh battery, 512 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-a359.jpg,https://www.gsmarena.com/celkon_a359-7281.php
A355,"Celkon A355 Android smartphone. Announced May 2015. Features 3.5″  display, Spreadtrum 7715 chipset, 2 MP primary camera, 1200 mAh battery, 512 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-a355.jpg,https://www.gsmarena.com/celkon_a355-7280.php
Campus Buddy A404,"Celkon Campus Buddy A404 Android smartphone. Announced Jul 2014. Features 4.0″  display, 3.15 MP primary camera, 1.3 MP front camera, 1500 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-a404.jpg,https://www.gsmarena.com/celkon_campus_buddy_a404-7138.php
Millennia OCTA510,"Celkon Millennia OCTA510 Android smartphone. Announced Jan 2015. Features 5.0″  display, MT6592M chipset, 8 MP primary camera, 3.15 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-octa510.jpg,https://www.gsmarena.com/celkon_millennia_octa510-6922.php
Win 400,"Celkon Win 400 Windows Mobile smartphone. Announced Nov 2014. Features 4.0″  display, Snapdragon 200 chipset, 5 MP primary camera, 1.3 MP front camera, 1500 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-win400.jpg,https://www.gsmarena.com/celkon_win_400-6820.php
Campus Whizz Q42,"Celkon Campus Whizz Q42 Android smartphone. Announced Nov 2014. Features 4.0″  display, MT6582M chipset, 5 MP primary camera, 1.3 MP front camera, 1400 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-campus-whizz-q42.jpg,https://www.gsmarena.com/celkon_campus_whizz_q42-6798.php
Millennia Epic Q550,"Celkon Millennia Epic Q550 Android smartphone. Announced Nov 2014. Features 5.5″  display, MT6582 chipset, 8 MP primary camera, 2 MP front camera, 3500 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-q550.jpg,https://www.gsmarena.com/celkon_millennia_epic_q550-6783.php
Xion s CT695,"Celkon Xion s CT695 Android smartphone. Announced Oct 2014. Features 6.95″  display, MT8312 chipset, 5 MP primary camera, 2500 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/celkon-ct695.jpg,https://www.gsmarena.com/celkon_xion_s_ct695-6757.php
