title,extended_title,img_link,gsmarena_link
A90,"Chea A90 phone. Announced Q1 2004. Features CSTN, 4096 colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/cha90.gif,https://www.gsmarena.com/chea_a90-651.php
JMS-110,"Chea JMS-110 phone. Announced Q1 2004. Features CSTN, 256 colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/chjms110.gif,https://www.gsmarena.com/chea_jms_110-650.php
328,"Chea 328 phone. Announced Q3 2003. Features STN, 4096 colors display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ch328.gif,https://www.gsmarena.com/chea_328-505.php
318,"Chea 318 phone. Announced Q3 2003. Features STN, 4096 colors display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ch318.gif,https://www.gsmarena.com/chea_318-504.php
308,"Chea 308 phone. Announced Q3 2003. Features STN, 4096 colors display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ch308.gif,https://www.gsmarena.com/chea_308-503.php
228,"Chea 228 phone. Announced Q3 2003. Features TFT, 65K colors display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ch228.gif,https://www.gsmarena.com/chea_228-502.php
218,"Chea 218 phone. Announced Q3 2003. Features TFT, 65K colors display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ch218.gif,https://www.gsmarena.com/chea_218-501.php
208,"Chea 208 phone. Announced Q3 2003. Features TFT, 65K colors display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ch208.gif,https://www.gsmarena.com/chea_208-500.php
198,"Chea 198 phone. Announced Q2 2003. Features FSTN, monochrome graphics display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ch198.gif,https://www.gsmarena.com/chea_198-499.php
188,"Chea 188 phone. Announced Q2 2003. Features FSTN, monochrome graphics display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ch188.gif,https://www.gsmarena.com/chea_188-498.php
178,"Chea 178 phone. Announced Q2 2003. Features FSTN, monochrome graphics display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ch178.gif,https://www.gsmarena.com/chea_178-497.php
168,"Chea 168 phone. Announced Q2 2003. Features FSTN, monochrome graphics display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ch168.gif,https://www.gsmarena.com/chea_168-496.php
