title,extended_title,img_link,gsmarena_link
Cool 30 Play,"Coolpad Cool 30 Play Android smartphone. Announced Jul 2024. Features 6.79″  display, Helio G99 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-30-play.jpg,https://www.gsmarena.com/coolpad_cool_30_play-13149.php
C15,"Coolpad C15 Android smartphone. Announced May 2024. Features 6.56″  display, Helio G36 chipset, 5000 mAh battery, 256 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-c15.jpg,https://www.gsmarena.com/coolpad_c15-13136.php
Cool 30i,"Coolpad Cool 30i Android smartphone. Announced Dec 2023. Features 6.56″  display, MT6765 Helio G37 chipset, 4500 mAh battery, 256 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-30i.jpg,https://www.gsmarena.com/coolpad_cool_30i-12766.php
CP12s,"Coolpad CP12s Android smartphone. Announced Nov 2023. Features 6.79″  display, Unisoc Tiger T616 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-cp12s.jpg,https://www.gsmarena.com/coolpad_cp12s-12729.php
CP12,"Coolpad CP12 Android smartphone. Announced Jun 2023. Features 6.52″  display, Unisoc SC9863A chipset, 4500 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-cp12.jpg,https://www.gsmarena.com/coolpad_cp12-12422.php
Cool 20+,"Coolpad Cool 20+ Android smartphone. Announced Apr 2023. Features 6.52″  display, MT6769 Helio G85 chipset, 4500 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool20-plus.jpg,https://www.gsmarena.com/coolpad_cool_20+-12421.php
CP12p,"Coolpad CP12p Android smartphone. Announced Apr 2023. Features 6.52″  display, MT6762 Helio P22 chipset, 4500 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-cp12p.jpg,https://www.gsmarena.com/coolpad_cp12p-12423.php
Cool 20s,"Coolpad Cool 20s Android smartphone. Announced Jun 2022. Features 6.58″  display, Dimensity 700 chipset, 4500 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-20s-5g.jpg,https://www.gsmarena.com/coolpad_cool_20s-11615.php
Cool 20,"Coolpad Cool 20 Android smartphone. Announced May 2021. Features 6.52″  display, MT6769V chipset, 4500 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-20.jpg,https://www.gsmarena.com/coolpad_cool_20-11620.php
Cool 20 Pro,"Coolpad Cool 20 Pro Android smartphone. Announced Dec 2021. Features 6.58″  display, Dimensity 900 chipset, 4500 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-20-pro.jpg,https://www.gsmarena.com/coolpad_cool_20_pro-11256.php
Cool 10A,"Coolpad Cool 10A Android smartphone. Announced Mar 2021. Features 6.52″  display, Unisoc SC9863A chipset, 4000 mAh battery, 64 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-10a.jpg,https://www.gsmarena.com/coolpad_cool_10a-10836.php
Cool S,"Coolpad Cool S Android smartphone. Announced Jan 2021. Features 6.53″  display, MT6771 Helio P60 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-s.jpg,https://www.gsmarena.com/coolpad_cool_s-10685.php
Cool 6,"Coolpad Cool 6 Android smartphone. Announced Oct 2020. Features 6.53″  display, MT6771T Helio P70 chipset, 4000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool6.jpg,https://www.gsmarena.com/coolpad_cool_6-10513.php
Cool 12A,"Coolpad Cool 12A Android smartphone. Announced Oct 2020. Features 6.3″  display, Spreadtrum chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool12a.jpg,https://www.gsmarena.com/coolpad_cool_12a-10491.php
Cool 10,"Coolpad Cool 10 Android smartphone. Announced Jun 2020. Features 6.52″  display, MT6758 Helio P30 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool10.jpg,https://www.gsmarena.com/coolpad_cool_10-10492.php
Legacy 5G,"Coolpad Legacy 5G Android smartphone. Announced Jan 2020. Features 6.53″  display, Snapdragon 765G 5G chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-legacy-5g-.jpg,https://www.gsmarena.com/coolpad_legacy_5g-10030.php
Legacy,"Coolpad Legacy Android smartphone. Announced May 2019. Features 6.36″  display, Snapdragon 450 chipset, 4000 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-legacy.jpg,https://www.gsmarena.com/coolpad_legacy-9960.php
Cool 5,"Coolpad Cool 5 Android smartphone. Announced Oct 2019. Features 6.22″  display, MT6762 Helio P22 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-5.jpg,https://www.gsmarena.com/coolpad_cool_5-9902.php
Cool 3 Plus,"Coolpad Cool 3 Plus Android smartphone. Announced Jun 2019. Features 5.71″  display, MT6761 Helio A22 chipset, 3000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-3-plus.jpg,https://www.gsmarena.com/coolpad_cool_3_plus-9762.php
Cool Play 8,"Coolpad Cool Play 8 Android smartphone. Announced Dec 2018. Features 6.2″  display, MT6750 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-8.jpg,https://www.gsmarena.com/coolpad_cool_play_8-9488.php
Mega 5A,"Coolpad Mega 5A Android smartphone. Announced Aug 2018. Features 5.45″  display, Spreadtrum SC9850K chipset, Dual: 8 MP primary camera, 5 MP front camera, 2500 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-mega-5a-.jpg,https://www.gsmarena.com/coolpad_mega_5a-9297.php
Note 6,"Coolpad Note 6 Android smartphone. Announced May 2018. Features 5.5″  display, Snapdragon 435 chipset, 13 MP primary camera, Dual: 8 MP + 5 MP front camera, 4070 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-note-6-.jpg,https://www.gsmarena.com/coolpad_note_6-9189.php
Cool 2,"Coolpad Cool 2 Android smartphone. Announced Apr 2018. Features 5.7″  display, MT6750 chipset, Dual: 13 MP primary camera, 8 MP front camera, 3200 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-2.jpg,https://www.gsmarena.com/coolpad_cool_2-9183.php
Cool Play 6,"Coolpad Cool Play 6 Android smartphone. Announced Aug 2017. Features 5.5″  display, Snapdragon 653 chipset, Dual: 13 MP primary camera, 8 MP front camera, 4060 mAh battery, 64 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-play-6-.jpg,https://www.gsmarena.com/coolpad_cool_play_6-8820.php
