title,extended_title,img_link,gsmarena_link
C29,"Cubot C29 watch. Announced Aug 2024. Features 1.52″  display, 410 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/cubot-c29.jpg,https://www.gsmarena.com/cubot_c29-13282.php
KingKong ES,"Cubot KingKong ES Android smartphone. Announced Aug 2024. Features 6.56″  display, Unisoc T606 chipset, 5100 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/cubot-kingkong-es.jpg,https://www.gsmarena.com/cubot_kingkong_es-13271.php
C28,"Cubot C28 watch. Announced Aug 2024. Features 2.02″  display, 410 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/cubot-c28.jpg,https://www.gsmarena.com/cubot_c28-13256.php
Max 5,"Cubot Max 5 Android smartphone. Announced Jul 2024. Features 6.95″  display, Dimensity 8200 chipset, 5100 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/cubot-max5.jpg,https://www.gsmarena.com/cubot_max_5-13206.php
KingKong X,"Cubot KingKong X Android smartphone. Announced Jun 2024. Features 6.58″  display, Dimensity 7050 chipset, 10200 mAh battery, 512 GB storage, 16 GB RAM, MIL-STD-810H compliant.",https://fdn2.gsmarena.com/vv/bigpic/cubot-kingkong-x.jpg,https://www.gsmarena.com/cubot_kingkong_x-13185.php
KingKong Ace 3,"Cubot KingKong Ace 3 Android smartphone. Announced Jun 2024. Features 6.58″  display, Helio G88 chipset, 5100 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/cubot-kingkong-ace3.jpg,https://www.gsmarena.com/cubot_kingkong_ace_3-13184.php
A10,"Cubot A10 Android smartphone. Announced Jun 2024. Features 6.56″  display, Unisoc T606 chipset, 5100 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/cubot-a10.jpg,https://www.gsmarena.com/cubot_a10-13139.php
X90,"Cubot X90 Android smartphone. Announced May 2024. Features 6.67″  display, Helio G99 chipset, 5100 mAh battery, 256 GB storage, 16 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/cubot-x90.jpg,https://www.gsmarena.com/cubot_x90-12997.php
X1,"Cubot X1 watch. Announced May 2024. Features 2.13″  display, 850 mAh battery, Tempered glass.",https://fdn2.gsmarena.com/vv/bigpic/oukitel-bt80.jpg,https://www.gsmarena.com/cubot_x1-12983.php
Hafury V1,"Cubot Hafury V1 Android smartphone. Announced Apr 2024. Features 6.58″  display, MT8788V chipset, 4350 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/cubot-hafury-v1.jpg,https://www.gsmarena.com/cubot_hafury_v1-12924.php
Hafury Meet,"Cubot Hafury Meet Android smartphone. Announced Apr 2024. Features 6.67″  display, Helio G99 chipset, 5100 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/cubot-hafury-meet.jpg,https://www.gsmarena.com/cubot_hafury_meet-12923.php
KingKong AX,"Cubot KingKong AX Android smartphone. Announced Mar 2024. Features 6.58″  display, Helio G99 chipset, 5100 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/cubot-kingkong-ax.jpg,https://www.gsmarena.com/cubot_kingkong_ax-12916.php
A1,"Cubot A1 Android smartphone. Announced Mar 2024. Features 6.56″  display, Unisoc SC9863A chipset, 5100 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/cubot-a1.jpg,https://www.gsmarena.com/cubot_a1-12915.php
Tab 60,"Cubot Tab 60 Android tablet. Announced Feb 2024. Features 10.1″  display, Allwinner A523 chipset, 6000 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/cubot-tab60-.jpg,https://www.gsmarena.com/cubot_tab_60-12857.php
Tab 50,"Cubot Tab 50 Android tablet. Announced Feb 2024. Features 10.4″  display, Helio G99 chipset, 7500 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/cubot-tab50.jpg,https://www.gsmarena.com/cubot_tab_50-12856.php
