title,extended_title,img_link,gsmarena_link
Venue 10 7000,"Dell Venue 10 7000 Android tablet. Announced Apr 2015. Features 10.5″  display, Intel Atom Z3580 chipset, 8 MP primary camera, 2 MP front camera, 7000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/dell-venue-10-7000.jpg,https://www.gsmarena.com/dell_venue_10_7000-7188.php
Venue 8 7000,"Dell Venue 8 7000 Android tablet. Announced Oct 2014. Features 8.4″  display, Intel Atom Z3580 chipset, 8 MP primary camera, 2 MP front camera, 5900 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/dell-venue-8-7000.jpg,https://www.gsmarena.com/dell_venue_8_7000-6714.php
Venue 8,"Dell Venue 8 Android tablet. Announced Oct 2013. Features 8.0″  display, Intel Atom Z2580 chipset, 5 MP primary camera, 2 MP front camera, 4100 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/dell-venue-8.jpg,https://www.gsmarena.com/dell_venue_8-5752.php
Venue 7 8 GB,"Dell Venue 7 8 GB Android tablet. Announced Oct 2013. Features 7.0″  display, Intel Atom Z2560 chipset, 3.15 MP primary camera, 4100 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/dell-venue-7-8gb.jpg,https://www.gsmarena.com/dell_venue_7_8_gb-6053.php
Venue 7,"Dell Venue 7 Android tablet. Announced Oct 2013. Features 7.0″  display, Intel Atom Z2560 chipset, 3.15 MP primary camera, 4100 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/dell-venue-7.jpg,https://www.gsmarena.com/dell_venue_7-5751.php
XPS 10,"Dell XPS 10 Windows Mobile smartphone. Announced Q4 2012. Features 10.1″  display, 5 MP primary camera, 2 MP front camera, 64 GB storage.",https://fdn2.gsmarena.com/vv/bigpic/dell-xps-10.jpg,https://www.gsmarena.com/dell_xps_10-5160.php
Streak 10 Pro,"Dell Streak 10 Pro Android tablet. Announced  2011. Features 10.1″  display, Nvidia Tegra 2 T20 chipset, 5 MP primary camera, 2 MP front camera, 16 GB storage, 1000 MB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/dell-streak-10-pro.jpg,https://www.gsmarena.com/dell_streak_10_pro-4398.php
Streak Pro D43,"Dell Streak Pro D43 phone. Announced Dec 2011. Features 4.3″  display, Snapdragon S3 chipset, 8 MP primary camera, 1.3 MP front camera, 1520 mAh battery, 1000 MB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/dell-streak-pro-d43.jpg,https://www.gsmarena.com/dell_streak_pro_d43-4384.php
Streak 7,"Dell Streak 7 Android tablet. Announced Feb 2011. Features 7.0″  display, Nvidia Tegra 2 T20 chipset, 5 MP primary camera, 1.3 MP front camera, 2780 mAh battery, 16 GB storage, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/dell-streak-7.jpg,https://www.gsmarena.com/dell_streak_7-3881.php
Streak 7 Wi-Fi,"Dell Streak 7 Wi-Fi Android tablet. Announced Feb 2011. Features 7.0″  display, Nvidia Tegra 2 T20 chipset, 5 MP primary camera, 1.3 MP front camera, 2780 mAh battery, 16 GB storage, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/dell-streak-7.jpg,https://www.gsmarena.com/dell_streak_7_wi_fi-3882.php
