title,extended_title,img_link,gsmarena_link
V20S,"Doogee V20S Android smartphone. Announced Mar 2024. Features 6.43″  display, Dimensity 6020 chipset, 6000 mAh battery, 256 GB storage, 12 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/doogee-v20s.jpg,https://www.gsmarena.com/doogee_v20s-13159.php
T30 Max,"Doogee T30 Max Android tablet. Announced Mar 2024. Features 12.4″  display, Helio G99 chipset, 10800 mAh battery, 512 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/doogee-t30-max.jpg,https://www.gsmarena.com/doogee_t30_max-12869.php
DK10,"Doogee DK10 Android smartphone. Announced Feb 2024. Features 6.67″  display, Dimensity 8020 chipset, 5150 mAh battery, 512 GB storage, 12 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/doogee-dk10.jpg,https://www.gsmarena.com/doogee_dk10-12858.php
Smini,"Doogee Smini Android smartphone. Announced Oct 2023. Features 4.5″  display, Helio G99 chipset, 3000 mAh battery, 256 GB storage, 8 GB RAM, MIL-STD-810H compliant.",https://fdn2.gsmarena.com/vv/bigpic/doogee-smini.jpg,https://www.gsmarena.com/doogee_smini-12647.php
V30 Pro,"Doogee V30 Pro Android smartphone. Announced Oct 2023. Features 6.58″  display, Dimensity 7050 chipset, 10800 mAh battery, 512 GB storage, 12 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/googee-v30-pro-.jpg,https://www.gsmarena.com/doogee_v30_pro-12634.php
V31GT,"Doogee V31GT Android smartphone. Announced Sep 2023. Features 6.58″  display, Dimensity 1080 chipset, 10800 mAh battery, 256 GB storage, 12 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/googee-v31gt.jpg,https://www.gsmarena.com/doogee_v31gt-12573.php
S41 Pro,"Doogee S41 Pro Android smartphone. Announced Sep 2023. Features 5.5″  display, MT6761V chipset, 6300 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/googee-s41-pro.jpg,https://www.gsmarena.com/doogee_s41_pro-12574.php
T10Pro,"Doogee T10Pro Android tablet. Announced Sep 2023. Features 10.1″  display, Unisoc T606 chipset, 8580 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/doogee-t10-pro.jpg,https://www.gsmarena.com/doogee_t10pro-12575.php
T10Plus,"Doogee T10Plus Android tablet. Announced Sep 2023. Features 10.5″  display, Unisoc T606 chipset, 8250 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/doogee-t10-plus.jpg,https://www.gsmarena.com/doogee_t10plus-12576.php
U10,"Doogee U10 Android tablet. Announced Sep 2023. Features 10.1″  display, RK3562 chipset, 5060 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/doogee-u10.jpg,https://www.gsmarena.com/doogee_u10-12577.php
