title,extended_title,img_link,gsmarena_link
E288s,"Energizer E288s smartphone. Announced Apr 2024. Features 2.8″  display, MT6739WW chipset, 2000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-e288s.jpg,https://www.gsmarena.com/energizer_e288s-13137.php
E246SC,"Energizer E246SC smartphone. Announced May 2024. Features 2.4″  display, Unisoc T107 chipset, 2000 mAh battery, 128 MB storage, 48 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-e246sc.jpg,https://www.gsmarena.com/energizer_e246sc-13117.php
Ultimate U652S,"Energizer Ultimate U652S Android smartphone. Announced Feb 2024. Features 6.51″  display, MT6739WW chipset, 4000 mAh battery, 64 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-u652s.jpg,https://www.gsmarena.com/energizer_ultimate_u652s-12966.php
E130S,"Energizer E130S phone. Announced Sep 2022. Features 1.77″  display, Unisoc T107 chipset, 1000 mAh battery, 128 MB storage, 48 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-e130s.jpg,https://www.gsmarena.com/energizer_e130s-12934.php
U506S,"Energizer U506S Android smartphone. Announced Nov 2023. Features 5.0″  display, 3000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-u506s.jpg,https://www.gsmarena.com/energizer_u506s-12918.php
Ultimate 65G,"Energizer Ultimate 65G Android smartphone. Announced Feb 2024. Features 6.51″  display, Dimensity 700 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-ultimate-u65g.jpg,https://www.gsmarena.com/energizer_ultimate_65g-12906.php
Hard Case P28K,"Energizer Hard Case P28K Android smartphone. Announced Feb 2024. Features 6.78″  display, Helio G99 chipset, 28000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-hard-case-p28k.jpg,https://www.gsmarena.com/energizer_hard_case_p28k-12825.php
U683S,"Energizer U683S Android smartphone. Announced Jan 2024. Features 6.82″  display, MT6762CB chipset, 4900 mAh battery, 64 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-u683s.jpg,https://www.gsmarena.com/energizer_u683s-12814.php
H67G,"Energizer H67G Android smartphone. Announced Jan 2024. Features 6.78″  display, Dimensity 720 chipset, 4900 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-h67g.jpg,https://www.gsmarena.com/energizer_h67g-12801.php
E242s+,"Energizer E242s+ smartphone. Announced Jan 2024. Features 2.4″  display, MT6739 chipset, 2000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-e242s-plus.jpg,https://www.gsmarena.com/energizer_e242s+-12774.php
E244s,"Energizer E244s phone. Announced Dec 2023. Features 2.4″  display, Unisoc T107 chipset, 1400 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/energizer-e244s.jpg,https://www.gsmarena.com/energizer_e244s-12767.php
E13,"Energizer E13 phone. Announced Jun 2022. Features 1.77″  display, MT6261D chipset, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/energizer-e13.jpg,https://www.gsmarena.com/energizer_e13-12758.php
E20+,"Energizer E20+ phone. Announced Nov 2023. Features 2.4″  display, MT6261D chipset, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/energizer-e20-plus.jpg,https://www.gsmarena.com/energizer_e20+-12740.php
E29,"Energizer E29 phone. Announced Oct 2023. Features 2.8″  display, Unisoc 6531E chipset, 1700 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/energizer-e29.jpg,https://www.gsmarena.com/energizer_e29-12734.php
E4,"Energizer E4 phone. Announced Jun 2022. Features 1.77″  display, Unisoc SC6531DA chipset, 1000 mAh battery, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-e4.jpg,https://www.gsmarena.com/energizer_e4-11646.php
Ultimate U608s,"Energizer Ultimate U608s Android smartphone. Announced Jun 2022. Features 6.08″  display, MT6761 Helio A22 chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-u608s.jpg,https://www.gsmarena.com/energizer_ultimate_u608s-11634.php
E242s,"Energizer E242s smartphone. Announced Apr 2022. Features 2.4″  display, MT6739 chipset, 1700 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-e242s.jpg,https://www.gsmarena.com/energizer_e242s-11535.php
E284S,"Energizer E284S phone. Announced Dec 2021. Features 2.8″  display, Unisoc T117 chipset, 2000 mAh battery, 128 MB storage, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-e284s.jpg,https://www.gsmarena.com/energizer_e284s-10068.php
Ultimate U505s,"Energizer Ultimate U505s Android smartphone. Announced Mar 2022. Features 5.0″  display, MT6739 chipset, 3000 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-u505s.jpg,https://www.gsmarena.com/energizer_ultimate_u505s-10061.php
E282SC,"Energizer E282SC smartphone. Announced Dec 2021. Features 2.8″  display, MT6731 chipset, 1400 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-e282sc.jpg,https://www.gsmarena.com/energizer_e282sc-11370.php
Hard Case G5,"Energizer Hard Case G5 Android smartphone. Announced Jun 2021. Features 6.3″  display, Dimensity 800U chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/energizer-g5.jpg,https://www.gsmarena.com/energizer_hard_case_g5-10998.php
U680S,"Energizer U680S Android smartphone. Announced Jun 2021. Features 6.8″  display, Unisoc SC9863A chipset, 7000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-u680s.jpg,https://www.gsmarena.com/energizer_u680s-10060.php
E28,"Energizer E28 phone. Announced Apr 2021. Features 2.8″  display, Spreadtrum SC6531E chipset, 3000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/energizer-e28.jpg,https://www.gsmarena.com/energizer_e28-10953.php
E24,"Energizer E24 phone. Announced Apr 2021. Features 2.4″  display, Spreadtrum SC6531E chipset, 1900 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/energizer-e24.jpg,https://www.gsmarena.com/energizer_e24-10952.php
E3,"Energizer E3 phone. Announced Apr 2021. Features 1.77″  display, Spreadtrum SC6531E chipset, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/energizer-e3.jpg,https://www.gsmarena.com/energizer_e3-10951.php
E2,"Energizer E2 phone. Announced Apr 2021. Features 1.77″  display, Spreadtrum SC6531E chipset, 800 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/energizer-e2.jpg,https://www.gsmarena.com/energizer_e2-10950.php
E280s,"Energizer E280s smartphone. Announced Apr 2021. Features 2.8″  display, Spreadtrum SC9820E chipset, 3000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-282s.jpg,https://www.gsmarena.com/energizer_e280s-10066.php
Hardcase H621S,"Energizer Hardcase H621S Android smartphone. Announced Jun 2021. Features 6.2″  display, MT6762 Helio P22 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-h621s.jpg,https://www.gsmarena.com/energizer_hardcase_h621s-13116.php
Hardcase H620S,"Energizer Hardcase H620S Android smartphone. Announced Dec 2020. Features 6.2″  display, MT6762 Helio P22 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h620s.jpg,https://www.gsmarena.com/energizer_hardcase_h620s-10726.php
