title,extended_title,img_link,gsmarena_link
R600,"Ericsson R600 phone. Announced Q4 2001. Features Grayscale graphic display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/err600.gif,https://www.gsmarena.com/ericsson_r600-283.php
T68,"Ericsson T68 phone. Announced Q4 2001. Features CSTN, 256 colors display, 500 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ert68.gif,https://www.gsmarena.com/ericsson_t68-253.php
T66,"Ericsson T66 phone. Announced Q4 2001. Features Monochrome graphic display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ert66.gif,https://www.gsmarena.com/ericsson_t66-282.php
T65,"Ericsson T65 phone. Announced Q4 2001. Features Grayscale graphic display, 540 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ert65.gif,https://www.gsmarena.com/ericsson_t65-266.php
T39,"Ericsson T39 phone. Announced  2001. Features Grayscale graphic display, 500 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ert39.gif,https://www.gsmarena.com/ericsson_t39-252.php
A3618,"Ericsson A3618 phone. Announced Q3 2001. Features Monochrome graphic display, 900 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/era3618.gif,https://www.gsmarena.com/ericsson_a3618-262.php
T29s,"Ericsson T29s phone. Announced Feb 2001. Features Grayscale graphic display, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ert29.gif,https://www.gsmarena.com/ericsson_t29s-225.php
R520m,"Ericsson R520m phone. Announced Q2 2001. Features Monochrome graphic display, 540 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/err520m.gif,https://www.gsmarena.com/ericsson_r520m-199.php
T20e,"Ericsson T20e phone. Announced  2001. Features Monochrome graphic display, 500 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ert20e.gif,https://www.gsmarena.com/ericsson_t20e-251.php
A2628,"Ericsson A2628 phone. Announced  2001. Features Monochrome graphic display, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/era2628.gif,https://www.gsmarena.com/ericsson_a2628-226.php
T20s,"Ericsson T20s phone. Announced  2000. Features Monochrome graphic display, 1300 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ert20s.gif,https://www.gsmarena.com/ericsson_t20s-211.php
T36,Ericsson T36 phone. Announced  2000. Features Grayscale graphic display.,https://fdn2.gsmarena.com/vv/bigpic/ert36b.gif,https://www.gsmarena.com/ericsson_t36-190.php
R380,"Ericsson R380 phone. Announced  2000. Features Monochrome resistive touchscreen display, 900 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/err380b.gif,https://www.gsmarena.com/ericsson_r380-195.php
R320,"Ericsson R320 phone. Announced  2000. Features Monochrome graphic display, 900 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/err320b.gif,https://www.gsmarena.com/ericsson_r320-194.php
R310s,"Ericsson R310s phone. Announced  2000. Features Monochrome graphic display, 540 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/err310s.gif,https://www.gsmarena.com/ericsson_r310s-200.php
A2618,"Ericsson A2618 phone. Announced  2000. Features Monochrome graphic display, 900 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/era2618b.gif,https://www.gsmarena.com/ericsson_a2618-193.php
