title,extended_title,img_link,gsmarena_link
glofiish X610,"Eten glofiish X610 Windows Mobile smartphone. Announced Jun 2008. Features 2.8″  display, 2 MP primary camera, 1530 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-x610.jpg,https://www.gsmarena.com/eten_glofiish_x610-2419.php
glofiish V900,"Eten glofiish V900 Windows Mobile smartphone. Announced Jun 2008. Features 2.8″  display, 3.15 MP primary camera, 1530 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-v900.jpg,https://www.gsmarena.com/eten_glofiish_v900-2418.php
glofiish X900,"Eten glofiish X900 Windows Mobile smartphone. Announced Jun 2008. Features 2.8″  display, 3.15 MP primary camera, 1300 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-x900.jpg,https://www.gsmarena.com/eten_glofiish_x900-2417.php
glofiish DX900,"Eten glofiish DX900 Windows Mobile smartphone. Announced Jun 2008. Features 2.8″  display, 3.15 MP primary camera, 1300 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-dx900.jpg,https://www.gsmarena.com/eten_glofiish_dx900-2416.php
glofiish M750,"Eten glofiish M750 Windows Mobile smartphone. Announced Apr 2008. Features 2.8″  display, 2 MP primary camera, 1530 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-m750.jpg,https://www.gsmarena.com/eten_glofiish_m750-2344.php
glofiish M810,"Eten glofiish M810 Windows Mobile smartphone. Announced Apr 2008. Features 2.8″  display, 2 MP primary camera, 1530 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-m810.jpg,https://www.gsmarena.com/eten_glofiish_m810-2343.php
glofiish X650,"Eten glofiish X650 Windows Mobile smartphone. Announced Jan 2008. Features 2.8″  display, 2 MP primary camera, 1530 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-x650.jpg,https://www.gsmarena.com/eten_glofiish_x650-2204.php
glofiish M800,"Eten glofiish M800 Windows Mobile smartphone. Announced Oct 2007. Features TFT resistive touchscreen, 65K colors display, 2 MP primary camera, 1530 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-m800.gif,https://www.gsmarena.com/eten_glofiish_m800-2163.php
glofiish X600,"Eten glofiish X600 Windows Mobile smartphone. Announced Oct 2007. Features 2.8″  display, 2 MP primary camera, 1530 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-x600.gif,https://www.gsmarena.com/eten_glofiish_x600-2162.php
glofiish X500+,"Eten glofiish X500+ Windows Mobile smartphone. Announced May 2007. Features 2.8″  display, 2 MP primary camera, 1530 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-x500.gif,https://www.gsmarena.com/eten_glofiish_x500+-1986.php
glofiish X800,"Eten glofiish X800 Windows Mobile smartphone. Announced Mar 2007. Features 2.8″  display, 2 MP primary camera, 1530 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-x800.gif,https://www.gsmarena.com/eten_glofiish_x800-1926.php
glofiish M700,"Eten glofiish M700 Windows Mobile smartphone. Announced Nov 2006. Features 2.8″  display, 2 MP primary camera, 1530 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-m700.gif,https://www.gsmarena.com/eten_glofiish_m700-1788.php
glofiish X500,"Eten glofiish X500 Windows Mobile smartphone. Announced Oct 2006. Features 2.8″  display, 2 MP primary camera, 1530 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-x500.gif,https://www.gsmarena.com/eten_glofiish_x500-1764.php
M550,"Eten M550 Windows Mobile smartphone. Announced Apr 2006. Features 2.8″  display, 1.3 MP primary camera, 1440 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-m550.gif,https://www.gsmarena.com/eten_m550-1848.php
G500+,"Eten G500+ Windows Mobile smartphone. Announced Aug 2006. Features 2.8″  display, 1.3 MP primary camera, 1440 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-g500p.gif,https://www.gsmarena.com/eten_g500+-1655.php
M600+,"Eten M600+ Windows Mobile smartphone. Announced Jun 2006. Features 2.8″  display, 2 MP primary camera, 1440 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-m600p.gif,https://www.gsmarena.com/eten_m600+-1582.php
G500,"Eten G500 Windows Mobile smartphone. Announced Q1 2006. Features 2.8″  display, 1.3 MP primary camera, 1440 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-g500.gif,https://www.gsmarena.com/eten_g500-1418.php
M600,"Eten M600 Windows Mobile smartphone. Announced Q4 2005. Features 2.8″  display, 1.3 MP primary camera, 1440 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-m600.gif,https://www.gsmarena.com/eten_m600-1337.php
M500,"Eten M500 Windows Mobile smartphone. Announced Q4 2004. Features 2.8″  display, 1.3 MP primary camera, 1440 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-m500.gif,https://www.gsmarena.com/eten_m500-1223.php
P300B,"Eten P300B Windows Mobile smartphone. Announced Q2 2004. Features 2.8″  display, 1300 mAh battery, 64 MB storage, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/eten-p300b.gif,https://www.gsmarena.com/eten_p300b-1224.php
