title,extended_title,img_link,gsmarena_link
GSmart Essence 4,"Gigabyte GSmart Essence 4 Android smartphone. Announced Oct 2015. Features 4.0″  display, MT6572 chipset, 2 MP primary camera, 1300 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gigabyte-essence4.jpg,https://www.gsmarena.com/gigabyte_gsmart_essence_4-7703.php
GSmart Classic Lite,"Gigabyte GSmart Classic Lite Android smartphone. Announced Oct 2015. Features 5.0″  display, Spreadtrum SC7731 chipset, 5 MP primary camera, 2 MP front camera, 2100 mAh battery, 8 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gigabyte-classic-lite.jpg,https://www.gsmarena.com/gigabyte_gsmart_classic_lite-7702.php
GSmart Essence,"Gigabyte GSmart Essence Android smartphone. Announced Oct 2015. Features 4.5″  display, Spreadtrum SC7731 chipset, 5 MP primary camera, 2 MP front camera, 2000 mAh battery, 8 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gigabyte-essence.jpg,https://www.gsmarena.com/gigabyte_gsmart_essence-7701.php
GSmart Classic,"Gigabyte GSmart Classic Android smartphone. Announced Oct 2015. Features 5.0″  display, Spreadtrum SC7731 chipset, 8 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gigabyte-classic.jpg,https://www.gsmarena.com/gigabyte_gsmart_classic-7700.php
GSmart Guru GX,"Gigabyte GSmart Guru GX Android smartphone. Announced Jan 2015. Features 5.0″  display, Snapdragon 615 chipset, 13 MP primary camera, 5 MP front camera, 2300 mAh battery, 32 GB storage, 2 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-guru-gx.jpg,https://www.gsmarena.com/gigabyte_gsmart_guru_gx-6985.php
GSmart Mika MX,"Gigabyte GSmart Mika MX Android smartphone. Announced Jan 2015. Features 5.0″  display, Snapdragon 410 chipset, 5 MP primary camera, 2 MP front camera, 3000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-mika-mx.jpg,https://www.gsmarena.com/gigabyte_gsmart_mika_mx-6988.php
GSmart Roma RX,"Gigabyte GSmart Roma RX Android smartphone. Announced Jan 2015. Features 5.0″  display, MT6582 chipset, 5 MP primary camera, 2000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-roma-rx.jpg,https://www.gsmarena.com/gigabyte_gsmart_roma_rx-6989.php
GSmart Akta A4,"Gigabyte GSmart Akta A4 Android smartphone. Announced Nov 2014. Features 5.0″  display, MT6592 chipset, 13 MP primary camera, 5 MP front camera, 1800 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-Akta-A4.jpg,https://www.gsmarena.com/gigabyte_gsmart_akta_a4-6832.php
GSmart Mika M3,"Gigabyte GSmart Mika M3 Android smartphone. Announced Oct 2014. Features 5.0″  display, MT6582 chipset, 13 MP primary camera, 8 MP front camera, 1900 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-Mika-M4.jpg,https://www.gsmarena.com/gigabyte_gsmart_mika_m3-6797.php
GSmart GX2,"Gigabyte GSmart GX2 Android smartphone. Announced Aug 2014. Features 5.0″  display, Snapdragon 400 chipset, 13 MP primary camera, 2 MP front camera, 2200 mAh battery, 8 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-arty-gx2.jpg,https://www.gsmarena.com/gigabyte_gsmart_gx2-6587.php
