title,extended_title,img_link,gsmarena_link
G13 Pro,"Gionee G13 Pro smartphone. Announced Jan 2022. Features 6.26″  display, Unisoc Tiger T310 chipset, 3500 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gionee-g13-pro.jpg,https://www.gsmarena.com/gionee_g13_pro-11339.php
P15,"Gionee P15 Android smartphone. Announced Jul 2021. Features 6.52″  display, Unisoc SC9863A chipset, 5000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gionee-p15.jpg,https://www.gsmarena.com/gionee_p15-11027.php
Smartwatch 7,"Gionee Smartwatch 7 watch. Announced Jun 2021. Features 1.3″  display, 130 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/gionee-smartwatch-7.jpg,https://www.gsmarena.com/gionee_smartwatch_7-10957.php
M15,"Gionee M15 Android smartphone. Announced May 2021. Features 6.67″  display, MT6785 Helio G90 chipset, 5100 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gionee-m15.jpg,https://www.gsmarena.com/gionee_m15-10931.php
M3,"Gionee M3 Android smartphone. Announced Apr 2021. Features 6.53″  display, MT6771 Helio P60 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gionee-m3.jpg,https://www.gsmarena.com/gionee_m3-10835.php
P15 Pro,"Gionee P15 Pro Android smartphone. Announced Mar 2021. Features 6.82″  display, MT6765G Helio G35 chipset, 6000 mAh battery, 64 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gionee-p15-pro.jpg,https://www.gsmarena.com/gionee_p15_pro-10814.php
Max Pro,"Gionee Max Pro Android smartphone. Announced Mar 2021. Features 6.52″  display, Unisoc SC9863A chipset, 6000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gionee-max-pro.jpg,https://www.gsmarena.com/gionee_max_pro-10757.php
K30 Pro,"Gionee K30 Pro Android smartphone. Announced Dec 2020. Features 6.53″  display, Mediatek chipset, 4000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gionee-k30-pro.jpg,https://www.gsmarena.com/gionee_k30_pro-10628.php
P12,"Gionee P12 Android smartphone. Announced Nov 2020. Features 6.1″  display, MT6761 Helio A20 chipset, 3200 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gionee-p12.jpg,https://www.gsmarena.com/gionee_p12-10638.php
M12,"Gionee M12 Android smartphone. Announced Nov 2020. Features 6.55″  display, MT6762D Helio A25 chipset, 5100 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gionee-m12-.jpg,https://www.gsmarena.com/gionee_m12-10600.php
S12 Lite,"Gionee S12 Lite Android smartphone. Announced Sep 2020. Features 6.52″  display, MT6762D Helio A25 chipset, 4000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/gionee-s12-lite.jpg,https://www.gsmarena.com/gionee_s12_lite-10477.php
