title,extended_title,img_link,gsmarena_link
105 4G,"HMD 105 4G phone. Announced Sep 2024. Features 2.4″  display, Unisoc T127 chipset, 1450 mAh battery, 64 MB storage, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hmd-105-4g.jpg,https://www.gsmarena.com/hmd_105_4g-13337.php
110 4G,"HMD 110 4G phone. Announced Sep 2024. Features 2.4″  display, Unisoc T127 chipset, 1450 mAh battery, 64 MB storage, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hmd-110-4g-.jpg,https://www.gsmarena.com/hmd_110_4g-13336.php
Fusion,"HMD Fusion Android smartphone. Announced Sep 2024. Features 6.56″  display, Snapdragon 4 Gen 2 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hmd-fusion.jpg,https://www.gsmarena.com/hmd_fusion-13304.php
Barbie,"HMD Barbie smartphone. Announced Aug 2024. Features 2.8″  display, Unisoc T107 chipset, 1450 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hmd-barbie.jpg,https://www.gsmarena.com/hmd_barbie-13254.php
Crest Max,"HMD Crest Max Android smartphone. Announced Jul 2024. Features 6.67″  display, Unisoc T760 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hmd-crest-max.jpg,https://www.gsmarena.com/hmd_crest_max-13235.php
Crest,"HMD Crest Android smartphone. Announced Jul 2024. Features 6.67″  display, Unisoc T760 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hmd-crest-.jpg,https://www.gsmarena.com/hmd_crest-13234.php
Skyline,"HMD Skyline Android smartphone. Announced Jul 2024. Features 6.55″  display, Snapdragon 7s Gen 2 chipset, 4600 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/hmd-skyline.jpg,https://www.gsmarena.com/hmd_skyline-13153.php
110,"HMD 110 smartphone. Announced Jun 2024. Features 2.0″  display, 1000 mAh battery, 4 MB storage, 4 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hmd-110.jpg,https://www.gsmarena.com/hmd_110-13168.php
105,"HMD 105 smartphone. Announced Jun 2024. Features 2.0″  display, 1000 mAh battery, 4 MB storage, 4 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hmd-105.jpg,https://www.gsmarena.com/hmd_105-13169.php
Aura,"HMD Aura Android smartphone. Announced May 2024. Features 6.56″  display, Unisoc SC9863A1 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hmd-aura.jpg,https://www.gsmarena.com/hmd_aura-13048.php
T21,"HMD T21 Android tablet. Announced May 2024. Features 10.36″  display, Unisoc Tiger T612 chipset, 8200 mAh battery, 128 GB storage, 4 GB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/hmd-t21.jpg,https://www.gsmarena.com/hmd_t21-13005.php
XR21,"HMD XR21 Android smartphone. Announced May 2024. Features 6.49″  display, Snapdragon 695 5G chipset, 4800 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/hmd-xr21.jpg,https://www.gsmarena.com/hmd_xr21-13004.php
Vibe,"HMD Vibe Android smartphone. Announced Apr 2024. Features 6.56″  display, Snapdragon 680 4G chipset, 4000 mAh battery, 128 GB storage, 6 GB RAM, Toughened glass.",https://fdn2.gsmarena.com/vv/bigpic/hmd-vibe.jpg,https://www.gsmarena.com/hmd_vibe-12957.php
Pulse Pro,"HMD Pulse Pro Android smartphone. Announced Apr 2024. Features 6.65″  display, Unisoc T606 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hmd-pulse-pro.jpg,https://www.gsmarena.com/hmd_pulse_pro-12952.php
Pulse+,"HMD Pulse+ Android smartphone. Announced Apr 2024. Features 6.65″  display, Unisoc T606 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hmd-pulse-plus-.jpg,https://www.gsmarena.com/hmd_pulse+-12956.php
Pulse,"HMD Pulse Android smartphone. Announced Apr 2024. Features 6.65″  display, Unisoc T606 chipset, 5000 mAh battery, 64 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hmd-pulse-.jpg,https://www.gsmarena.com/hmd_pulse-12939.php
