title,extended_title,img_link,gsmarena_link
Watch 5,"Honor Watch 5 watch. Announced Sep 2024. Features 1.85″  display, 480 mAh battery, 4 GB storage.",https://fdn2.gsmarena.com/vv/bigpic/honor-watch-5.jpg,https://www.gsmarena.com/honor_watch_5-13307.php
200 Smart,"Honor 200 Smart Android smartphone. Not announced yet. Features 6.8″  display, Snapdragon 4 Gen 2 chipset, 5200 mAh battery, 256 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-play-60-plus.jpg,https://www.gsmarena.com/honor_200_smart-13281.php
Pad X8a,"Honor Pad X8a Android tablet. Announced Aug 2024. Features 11.0″  display, Snapdragon 680 4G chipset, 8300 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-pad-x8a.jpg,https://www.gsmarena.com/honor_pad_x8a-13259.php
X60i,"Honor X60i Android smartphone. Announced Jul 2024. Features 6.7″  display, Dimensity 6080 chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-x60i.jpg,https://www.gsmarena.com/honor_x60i-13208.php
MagicPad 2 12.3,"Honor MagicPad 2 12.3 Android tablet. Announced Jul 2024. Features 12.3″  display, Snapdragon 8s Gen 3 chipset, 10050 mAh battery, 1024 GB storage, 16 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-magicpad-2.jpg,https://www.gsmarena.com/honor_magicpad_2_12_3-13205.php
Pad 9 Pro,"Honor Pad 9 Pro Android tablet. Announced Jul 2024. Features 12.1″  display, Dimensity 8100 chipset, 10050 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-pad9-pro.jpg,https://www.gsmarena.com/honor_pad_9_pro-13204.php
Magic Vs3,"Honor Magic Vs3 Android smartphone. Announced Jul 2024. Features 7.92″  display, Snapdragon 8 Gen 2 chipset, 5000 mAh battery, 1024 GB storage, 16 GB RAM, King Kong Rhinoceros.",https://fdn2.gsmarena.com/vv/bigpic/honor-magic-vs3.jpg,https://www.gsmarena.com/honor_magic_vs3-13203.php
Magic V3,"Honor Magic V3 Android smartphone. Announced Jul 2024. Features 7.92″  display, Snapdragon 8 Gen 3 chipset, 5150 mAh battery, 1024 GB storage, 16 GB RAM, King Kong Rhinoceros.",https://fdn2.gsmarena.com/vv/bigpic/honor-magic-v3.jpg,https://www.gsmarena.com/honor_magic_v3-13202.php
Play 60 Plus,"Honor Play 60 Plus Android smartphone. Announced Jun 2024. Features 6.77″  display, Snapdragon 4 Gen 2 chipset, 6000 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-play-60-plus.jpg,https://www.gsmarena.com/honor_play_60_plus-13161.php
X7b 5G (50 MP),"Honor X7b 5G (50 MP) Android smartphone. Announced Jun 2024. Features 6.8″  display, Dimensity 6020 chipset, 6000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-x7b-5g-50mp.jpg,https://www.gsmarena.com/honor_x7b_5g_(50_mp)-13154.php
Magic V Flip,"Honor Magic V Flip Android smartphone. Announced Jun 2024. Features 6.8″  display, Snapdragon 8+ Gen 1 chipset, 4800 mAh battery, 1024 GB storage, 16 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-magic-v-flip.jpg,https://www.gsmarena.com/honor_magic_v_flip-13142.php
X6b,"Honor X6b Android smartphone. Announced Jun 2024. Features 6.56″  display, Helio G85 chipset, 5200 mAh battery, 256 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-x6b.jpg,https://www.gsmarena.com/honor_x6b-13143.php
200 Pro,"Honor 200 Pro Android smartphone. Announced May 2024. Features 6.78″  display, Snapdragon 8s Gen 3 chipset, 5200 mAh battery, 1024 GB storage, 16 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-200-pro-.jpg,https://www.gsmarena.com/honor_200_pro-13049.php
200,"Honor 200 Android smartphone. Announced May 2024. Features 6.7″  display, Snapdragon 7 Gen 3 chipset, 5200 mAh battery, 512 GB storage, 16 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-200-.jpg,https://www.gsmarena.com/honor_200-13050.php
200 Lite,"Honor 200 Lite Android smartphone. Announced Apr 2024. Features 6.7″  display, Dimensity 6080 chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-200-lite.jpg,https://www.gsmarena.com/honor_200_lite-12948.php
90 Smart,"Honor 90 Smart Android smartphone. Announced Apr 2024. Features 6.8″  display, Dimensity 6020 chipset, 5330 mAh battery, 256 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-90-smart.jpg,https://www.gsmarena.com/honor_90_smart-12931.php
X7b 5G,"Honor X7b 5G Android smartphone. Announced Apr 2024. Features 6.8″  display, Dimensity 6020 chipset, 6000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-x7b-5g.jpg,https://www.gsmarena.com/honor_x7b_5g-12913.php
Magic6 RSR Porsche Design,"Honor Magic6 RSR Porsche Design Android smartphone. Announced Mar 2024. Features 6.8″  display, Snapdragon 8 Gen 3 chipset, 5600 mAh battery, 1024 GB storage, 24 GB RAM, NanoCrystal Shield.",https://fdn2.gsmarena.com/vv/bigpic/honor-magic6-rsr-porsche-design.jpg,https://www.gsmarena.com/honor_magic6_rsr_porsche_design-12873.php
Magic6 Ultimate,"Honor Magic6 Ultimate Android smartphone. Announced Mar 2024. Features 6.8″  display, Snapdragon 8 Gen 3 chipset, 5600 mAh battery, 1024 GB storage, 16 GB RAM, King Kong Rhinoceros.",https://fdn2.gsmarena.com/vv/bigpic/honor-magic6-ultimate.jpg,https://www.gsmarena.com/honor_magic6_ultimate-12864.php
Watch GS 4,"Honor Watch GS 4 watch. Announced Mar 2024. Features 1.43″  display, 451 mAh battery, 4 GB storage, 32 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/honor-watch-gs4.jpg,https://www.gsmarena.com/honor_watch_gs_4-12879.php
