title,extended_title,img_link,gsmarena_link
Elite x3,"HP Elite x3 Windows Mobile smartphone. Announced Feb 2016. Features 5.96″  display, Snapdragon 820 chipset, 16 MP primary camera, 8 MP front camera, 4150 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass 4.",https://fdn2.gsmarena.com/vv/bigpic/hp-elite-x3-new.jpg,https://www.gsmarena.com/hp_elite_x3-7954.php
Slate 17,"HP Slate 17 Android tablet. Announced Sep 2014. Features 17.3″  display, Intel Celeron N2807 chipset, 0.9 MP primary camera, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hp-slate-17.jpg,https://www.gsmarena.com/hp_slate_17-7030.php
Pro Slate 12,"HP Pro Slate 12 Android tablet. Announced Jan 2015. Features 12.3″  display, Snapdragon 800 chipset, 8 MP primary camera, 2 MP front camera, 32 GB storage, 2 GB RAM, Corning Concore Glass.",https://fdn2.gsmarena.com/vv/bigpic/hp-pro-slate-12.jpg,https://www.gsmarena.com/hp_pro_slate_12-6963.php
Pro Slate 10 EE G1,"HP Pro Slate 10 EE G1 Android tablet. Announced Jan 2015. Features 10.1″  display, Intel Atom Z3735G chipset, 5 MP or 2 MP primary camera, 2 MP or 1.3 MP front camera, 8380 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hp-pro-slate-10-ee.jpg,https://www.gsmarena.com/hp_pro_slate_10_ee_g1-6964.php
Pro Slate 8,"HP Pro Slate 8 Android tablet. Announced Jan 2015. Features 7.86″  display, Snapdragon 800 chipset, 8 MP primary camera, 2 MP front camera, 5900 mAh battery, 32 GB storage, 2 GB RAM, Corning Gorilla Glass 4.",https://fdn2.gsmarena.com/vv/bigpic/hp-pro-slate-8-new.jpg,https://www.gsmarena.com/hp_pro_slate_8-6962.php
Slate6 VoiceTab II,"HP Slate6 VoiceTab II Android smartphone. Announced Nov 2014. Features 6.0″  display, Marvell PXA1088 chipset, 8 MP primary camera, 2 MP front camera, 3000 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hp-slate-6-voicetab-ii.jpg,https://www.gsmarena.com/hp_slate6_voicetab_ii-6831.php
10 Plus,"HP 10 Plus Android tablet. Announced  2014. Features 10.1″  display, 5 MP primary camera, 2 MP front camera, 7700 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hp-10-plus-2201er.jpg,https://www.gsmarena.com/hp_10_plus-6811.php
7 VoiceTab,"HP 7 VoiceTab Android smartphone. Announced Oct 2014. Features 6.95″  display, MT8382 chipset, 5 MP primary camera, 3000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hp-7-voicetab-1351ra.jpg,https://www.gsmarena.com/hp_7_voicetab-6784.php
7 Plus,"HP 7 Plus Android tablet. Announced May 2014. Features 7.0″  display, Allwinner A31 chipset, 2 MP primary camera, 2800 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hp-7-plus.jpg,https://www.gsmarena.com/hp_7_plus-6377.php
8,"HP 8 Android tablet. Announced Feb 2014. Features 7.85″  display, Allwinner A31 chipset, 2 MP primary camera, 3800 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hp-8.jpg,https://www.gsmarena.com/hp_8-6199.php
Slate7 VoiceTab Ultra,"HP Slate7 VoiceTab Ultra Android smartphone. Announced  2014. Features 7.0″  display, HiSilicon Balong V9R1 chipset, 13 MP primary camera, 5 MP front camera, 5000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hp-slate7-voicetab-ultra.jpg,https://www.gsmarena.com/hp_slate7_voicetab_ultra-7013.php
Slate7 VoiceTab,"HP Slate7 VoiceTab Android smartphone. Announced Jan 2014. Features 7.0″  display, Marvell PXA1088 chipset, 5 MP primary camera, 2 MP front camera, 4100 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/HP-Slate7-VoiceTab1.jpg,https://www.gsmarena.com/hp_slate7_voicetab-5971.php
Slate6 VoiceTab,"HP Slate6 VoiceTab Android smartphone. Announced Jan 2014. Features 6.0″  display, Marvell PXA1088 chipset, 5 MP primary camera, 2 MP front camera, 3000 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/HP-Slate6-VoiceTab.jpg,https://www.gsmarena.com/hp_slate6_voicetab-5970.php
Slate8 Pro,"HP Slate8 Pro Android tablet. Announced Dec 2013. Features 8.0″  display, Nvidia Tegra 4 T40 S chipset, 8 MP primary camera, 5680 mAh battery, 16 GB storage, 1000 MB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/hp-slate8-pro.jpg,https://www.gsmarena.com/hp_slate8_pro-5885.php
Slate10 HD,"HP Slate10 HD Android tablet. Announced Dec 2013. Features 10.0″  display, Marvell PXA986 chipset, 5 MP primary camera, 2 MP front camera, 7000 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hp-slate10-hd.jpg,https://www.gsmarena.com/hp_slate10_hd-5884.php
Slate7 Extreme,"HP Slate7 Extreme Android tablet. Announced Dec 2013. Features 7.0″  display, Nvidia Tegra 4 chipset, 5 MP primary camera, 4100 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hp-slate7-extreme.jpg,https://www.gsmarena.com/hp_slate7_extreme-5883.php
Slate7 Plus,"HP Slate7 Plus Android tablet. Announced Dec 2013. Features 7.0″  display, Nvidia Tegra 3 chipset, 5 MP primary camera, 4000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hp-slate7-plus.jpg,https://www.gsmarena.com/hp_slate7_plus-5882.php
Slate 7,"HP Slate 7 Android tablet. Announced Feb 2013. Features 7.0″  display, 3.15 MP primary camera, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hp-slate-7-new.jpg,https://www.gsmarena.com/hp_slate_7-5317.php
TouchPad 4G,"HP TouchPad 4G tablet. Announced Jul 2011. Features 9.7″  display, Snapdragon S3 chipset, 1.3 MP primary camera, 6300 mAh battery, 32 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/hp-touchpad-4g.jpg,https://www.gsmarena.com/hp_touchpad_4g-4044.php
