title,extended_title,img_link,gsmarena_link
U24 Pro,"HTC U24 Pro Android smartphone. Announced Jun 2024. Features 6.8″  display, Snapdragon 7 Gen 3 chipset, 4600 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass (unspecified version).",https://fdn2.gsmarena.com/vv/bigpic/htc-u24-pro.jpg,https://www.gsmarena.com/htc_u24_pro-13138.php
A101 Plus,"HTC A101 Plus Android tablet. Announced May 2024. Features 10.95″  display, Unisoc T606 chipset, 7000 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-a101-plus.jpg,https://www.gsmarena.com/htc_a101_plus-12975.php
A104,"HTC A104 Android tablet. Announced Jul 2023. Features 10.36″  display, Unisoc T606 chipset, 7000 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-a104.jpg,https://www.gsmarena.com/htc_a104-12976.php
Wildfire E star,"HTC Wildfire E star Android smartphone. Announced Aug 2023. Features 6.52″  display, Unisoc SC9832E chipset, 3000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e-star.jpg,https://www.gsmarena.com/htc_wildfire_e_star-12454.php
U23,"HTC U23 Android smartphone. Announced Jul 2023. Features 6.7″  display, Snapdragon 7 Gen 1 chipset, 4600 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/htc-u23.jpg,https://www.gsmarena.com/htc_u23-12427.php
U23 Pro,"HTC U23 Pro Android smartphone. Announced May 2023. Features 6.7″  display, Snapdragon 7 Gen 1 chipset, 4600 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass Victus.",https://fdn2.gsmarena.com/vv/bigpic/htc-u23-pro.jpg,https://www.gsmarena.com/htc_u23_pro-12269.php
A103 Plus,"HTC A103 Plus Android tablet. Announced Jul 2023. Features 10.1″  display, MT8768A chipset, 6000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-a103-plus.jpg,https://www.gsmarena.com/htc_a103_plus-12522.php
A103,"HTC A103 Android tablet. Announced Jul 2023. Features 10.1″  display, MT6761B Helio A22 chipset, 6000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-a103.jpg,https://www.gsmarena.com/htc_a103-12523.php
A102,"HTC A102 Android tablet. Announced Jul 2023. Features 11.0″  display, MT6769 Helio G85 chipset, 8000 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-a102.jpg,https://www.gsmarena.com/htc_a102-12524.php
A101,"HTC A101 Android tablet. Announced Jul 2022. Features 10.1″  display, Unisoc Tiger T618 chipset, 7000 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-a101.jpg,https://www.gsmarena.com/htc_a101-12525.php
Wildfire E2 Play,"HTC Wildfire E2 Play Android smartphone. Announced Apr 2023. Features 6.82″  display, Unisoc T606 chipset, 4600 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e2-plus.jpg,https://www.gsmarena.com/htc_wildfire_e2_play-12232.php
Wildfire E3 lite,"HTC Wildfire E3 lite Android smartphone. Announced Apr 2023. Features 6.52″  display, Unisoc SC9863A chipset, 5000 mAh battery, 32 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e3-lite.jpg,https://www.gsmarena.com/htc_wildfire_e3_lite-12221.php
