title,extended_title,img_link,gsmarena_link
Mate XT Ultimate,"Huawei Mate XT Ultimate smartphone. Announced Sep 2024. Features 10.2″  display, Kirin 9010 chipset, 5600 mAh battery, 1024 GB storage, 16 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-xt-ultimate.jpg,https://www.gsmarena.com/huawei_mate_xt_ultimate-13320.php
MatePad Air (2024),"Huawei MatePad Air (2024) tablet. Announced Aug 2024. Features 12.0″  display, 10100 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-air-2024-.jpg,https://www.gsmarena.com/huawei_matepad_air_(2024)-13251.php
MatePad Pro 12.2 (2024),"Huawei MatePad Pro 12.2 (2024) tablet. Announced Aug 2024. Features 12.2″  display, Kirin 9000S chipset, 10100 mAh battery, 1024 GB storage, 16 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-pro-122-2024.jpg,https://www.gsmarena.com/huawei_matepad_pro_12_2_(2024)-13250.php
nova Flip,"Huawei nova Flip smartphone. Announced Aug 2024. Features 6.94″  display, 4440 mAh battery, 1024 GB storage.",https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-flip.jpg,https://www.gsmarena.com/huawei_nova_flip-13248.php
MatePad SE 11,"Huawei MatePad SE 11 tablet. Announced Jun 2024. Features 11.0″  display, 7700 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-se-11.jpg,https://www.gsmarena.com/huawei_matepad_se_11-13135.php
MatePad 11.5 S,"Huawei MatePad 11.5 S tablet. Announced May 2024. Features 11.5″  display, 8800 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-115-s.jpg,https://www.gsmarena.com/huawei_matepad_11_5_s-12993.php
Pura 70 Ultra,"Huawei Pura 70 Ultra smartphone. Announced Apr 2024. Features 6.8″  display, Kirin 9010 chipset, 5200 mAh battery, 1024 GB storage, 16 GB RAM, Kunlun Glass (Basalt-tempered).",https://fdn2.gsmarena.com/vv/bigpic/huawei-pura70-ultra.jpg,https://www.gsmarena.com/huawei_pura_70_ultra-12940.php
Pura 70 Pro+,"Huawei Pura 70 Pro+ smartphone. Announced Apr 2024. Features 6.8″  display, Kirin 9010 chipset, 5050 mAh battery, 1024 GB storage, 16 GB RAM, Kunlun Glass (Xuanwu tempered).",https://fdn2.gsmarena.com/vv/bigpic/huawei-pura70-pro-plus.jpg,https://www.gsmarena.com/huawei_pura_70_pro+-12941.php
Pura 70 Pro,"Huawei Pura 70 Pro smartphone. Announced Apr 2024. Features 6.8″  display, Kirin 9010 chipset, 5050 mAh battery, 1024 GB storage, 16 GB RAM, Kunlun Glass 2.",https://fdn2.gsmarena.com/vv/bigpic/huawei-pura70-pro.jpg,https://www.gsmarena.com/huawei_pura_70_pro-12942.php
Pura 70,"Huawei Pura 70 smartphone. Announced Apr 2024. Features 6.6″  display, Kirin 9000S1 chipset, 4900 mAh battery, 1024 GB storage, 12 GB RAM, Kunlun Glass 2.",https://fdn2.gsmarena.com/vv/bigpic/huawei-pura70.jpg,https://www.gsmarena.com/huawei_pura_70-12943.php
