title,extended_title,img_link,gsmarena_link
810-F,"i-mate 810-F Windows Mobile smartphone. Announced Feb 2009. Features 2.46″  display, 2 MP primary camera, 1200 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/i-mate-810-f.jpg,https://www.gsmarena.com/i_mate_810_f-2721.php
Ultimate 9502,"i-mate Ultimate 9502 Windows Mobile smartphone. Announced Oct 2007. Features 2.8″  display, MSM7200 chipset, 3.15 MP primary camera, 1620 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/ultimate-9502.gif,https://www.gsmarena.com/i_mate_ultimate_9502-2158.php
Ultimate 8502,"i-mate Ultimate 8502 Windows Mobile smartphone. Announced Oct 2007. Features 2.6″  display, MSM7200 chipset, 2 MP primary camera, 1530 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/ultimate-8502.gif,https://www.gsmarena.com/i_mate_ultimate_8502-2157.php
JAMA 201,"i-mate JAMA 201 Windows Mobile smartphone. Announced Oct 2007. Features 2.4″  display, 2 MP primary camera, 1050 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/imate-jama201.gif,https://www.gsmarena.com/i_mate_jama_201-2149.php
JAMA 101,"i-mate JAMA 101 Windows Mobile smartphone. Announced Oct 2007. Features 2.4″  display, 2 MP primary camera, 1020 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/imate-jama101.gif,https://www.gsmarena.com/i_mate_jama_101-2148.php
JAMA,"i-mate JAMA Windows Mobile smartphone. Announced Jun 2007. Features 2.4″  display, 2 MP primary camera, 1000 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/imate-jama.gif,https://www.gsmarena.com/i_mate_jama-2009.php
Ultimate 9150,"i-mate Ultimate 9150 Windows Mobile smartphone. Announced Feb 2007. Features 2.6″  display, 2 MP primary camera, 1400 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/imate-ultim9150.gif,https://www.gsmarena.com/i_mate_ultimate_9150-1884.php
Ultimate 8150,"i-mate Ultimate 8150 Windows Mobile smartphone. Announced Feb 2007. Features 2.6″  display, 2 MP primary camera, 1530 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/imate-ultim8150.jpg,https://www.gsmarena.com/i_mate_ultimate_8150-1883.php
Ultimate 7150,"i-mate Ultimate 7150 Windows Mobile smartphone. Announced Feb 2007. Features 3.8″  display, 2 MP primary camera, 1400 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/imate-ultim7150.gif,https://www.gsmarena.com/i_mate_ultimate_7150-1882.php
Ultimate 6150,"i-mate Ultimate 6150 Windows Mobile smartphone. Announced Feb 2007. Features 2.8″  display, 2 MP primary camera, 1530 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/imate-ultim6150.jpg,https://www.gsmarena.com/i_mate_ultimate_6150-1881.php
Ultimate 5150,"i-mate Ultimate 5150 Windows Mobile smartphone. Announced Feb 2007. Features 2.8″  display, 2 MP primary camera, 1400 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/imate-ultim5150.gif,https://www.gsmarena.com/i_mate_ultimate_5150-1880.php
JAQ4,"i-mate JAQ4 Windows Mobile smartphone. Announced Feb 2007. Features 2.8″  display, TI OMAP 850 chipset, 2 MP primary camera, 1660 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/imate-jaq4.gif,https://www.gsmarena.com/i_mate_jaq4-1879.php
PDAL,"i-mate PDAL Windows Mobile smartphone. Announced Nov 2006. Features 2.4″  display, TI OMAP 850 chipset, 2 MP primary camera, 1100 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/imate-pdal.gif,https://www.gsmarena.com/i_mate_pdal-1787.php
JAQ3,"i-mate JAQ3 Windows Mobile smartphone. Announced Nov 2006. Features 2.5″  display, TI OMAP 850 chipset, 2 MP primary camera, 1200 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/imate-jaq3.gif,https://www.gsmarena.com/i_mate_jaq3-1786.php
SPL,"i-mate SPL Windows Mobile smartphone. Announced Sep 2006. Features 2.2″  display, 2 MP primary camera, 1100 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/imate-spl.gif,https://www.gsmarena.com/i_mate_spl-1703.php
JAQ,"i-mate JAQ Windows Mobile smartphone. Announced Sep 2006. Features 2.8″  display, TI OMAP 850 chipset, 1440 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/imate-jaq.gif,https://www.gsmarena.com/i_mate_jaq-1702.php
JASJAM,"i-mate JASJAM Windows Mobile smartphone. Announced Jun 2006. Features 2.8″  display, 2 MP primary camera, 1300 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/imate-jasjam.gif,https://www.gsmarena.com/i_mate_jasjam-1589.php
SPJAS,"i-mate SPJAS Windows Mobile smartphone. Announced Aug 2006. Features 2.2″  display, 1.3 MP primary camera, 1190 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/imate-spjas.gif,https://www.gsmarena.com/i_mate_spjas-1683.php
Smartflip,"i-mate Smartflip Windows Mobile smartphone. Announced Feb 2006. Features 2.2″  display, TI OMAP 850 chipset, 1.3 MP primary camera, 750 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/imate-smartflip.gif,https://www.gsmarena.com/i_mate_smartflip-1482.php
JAMin,"i-mate JAMin Windows Mobile smartphone. Announced Q1 2006. Features 2.8″  display, TI OMAP 850 chipset, 2 MP primary camera, 1200 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/imate-jamin.gif,https://www.gsmarena.com/i_mate_jamin-1420.php
