title,extended_title,img_link,gsmarena_link
i858,"i-mobile i858 Android smartphone. Announced  2010. Features 4.3″  display, 5 MP primary camera, 1500 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/i858.jpg,https://www.gsmarena.com/i_mobile_i858-3327.php
8500,"i-mobile 8500 Android smartphone. Announced  2010. Features 3.2″  display, 5 MP primary camera, 1500 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/8500.jpg,https://www.gsmarena.com/i_mobile_8500-3328.php
5230,"i-mobile 5230 phone. Announced  2010. Features 2.8″  display, 5 MP primary camera, 1200 mAh battery, 48 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/5230.jpg,https://www.gsmarena.com/i_mobile_5230-3329.php
Hitz 2206,"i-mobile Hitz 2206 phone. Announced  2010. Features TFT, 65K colors display, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/imobile-hitz-2206.jpg,https://www.gsmarena.com/i_mobile_hitz_2206-3331.php
5220,"i-mobile 5220 phone. Announced  2010. Features 2.4″  display, 5 MP primary camera, 1100 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/5220.jpg,https://www.gsmarena.com/i_mobile_5220-3330.php
TV658 Touch&Move,"i-mobile TV658 Touch&Move phone. Announced Oct 2009. Features 3.0″  display, 8 MP primary camera, 1050 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/imobile-hitz658.jpg,https://www.gsmarena.com/i_mobile_tv658_touch&move-2974.php
Hitz 212,"i-mobile Hitz 212 phone. Announced Oct 2009. Features 1.77″  display, 750 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/imobile-hitz212.jpg,https://www.gsmarena.com/i_mobile_hitz_212-2972.php
Hitz 210,"i-mobile Hitz 210 phone. Announced Oct 2009. Features 1.8″  display, 700 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/imobile-hitz210.jpg,https://www.gsmarena.com/i_mobile_hitz_210-2971.php
TV650 Touch,"i-mobile TV650 Touch phone. Announced Jul 2009. Features 3.0″  display, 3.15 MP primary camera, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-tv650-touch.jpg,https://www.gsmarena.com/i_mobile_tv650_touch-2878.php
TV550 Touch,"i-mobile TV550 Touch phone. Announced Jul 2009. Features 2.8″  display, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-tv550-touch.jpg,https://www.gsmarena.com/i_mobile_tv550_touch-2877.php
TV 630,"i-mobile TV 630 phone. Announced Jul 2009. Features 2.4″  display, 8 MP primary camera, 1100 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-630.jpg,https://www.gsmarena.com/i_mobile_tv_630-2875.php
TV 628,"i-mobile TV 628 phone. Announced Jul 2009. Features 2.4″  display, 3.15 MP primary camera, 950 mAh battery, 10 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-628.jpg,https://www.gsmarena.com/i_mobile_tv_628-2874.php
TV 620,"i-mobile TV 620 phone. Announced Jul 2009. Features 2.4″  display, 3.15 MP primary camera, 1050 mAh battery, 14 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-620.jpg,https://www.gsmarena.com/i_mobile_tv_620-2873.php
TV 536,"i-mobile TV 536 phone. Announced Jul 2009. Features 2.4″  display, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-536.jpg,https://www.gsmarena.com/i_mobile_tv_536-2872.php
638CG,"i-mobile 638CG phone. Announced Jul 2009. Features 2.4″  display, 3.15 MP primary camera, 1050 mAh battery, 25 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-638cg.jpg,https://www.gsmarena.com/i_mobile_638cg-2876.php
Hitz 232CG,"i-mobile Hitz 232CG phone. Announced Jul 2009. Features 2.0″  display, 1050 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-232cg.jpg,https://www.gsmarena.com/i_mobile_hitz_232cg-2871.php
TV 535,"i-mobile TV 535 phone. Announced Jan 2009. Features 2.2″  display, 1.3 MP primary camera, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-535.jpg,https://www.gsmarena.com/i_mobile_tv_535-2680.php
627,"i-mobile 627 phone. Announced Oct 2008. Features 2.0″  display, 3.15 MP primary camera, 830 mAh battery, 63 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-627.jpg,https://www.gsmarena.com/i_mobile_627-2681.php
TV 533,"i-mobile TV 533 phone. Announced Jan 2009. Features 2.4″  display, 1100 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-533.jpg,https://www.gsmarena.com/i_mobile_tv_533-2679.php
TV 530,"i-mobile TV 530 phone. Announced Sep 2008. Features 2.4″  display, 1100 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-530.jpg,https://www.gsmarena.com/i_mobile_tv_530-2678.php
TV 523,"i-mobile TV 523 phone. Announced Oct 2008. Features 2.2″  display, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-523.jpg,https://www.gsmarena.com/i_mobile_tv_523-2597.php
522,"i-mobile 522 phone. Announced Oct 2008. Features 2.2″  display, 1000 mAh battery, 120 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-522.jpg,https://www.gsmarena.com/i_mobile_522-2596.php
320,"i-mobile 320 phone. Announced Oct 2008. Features 2.2″  display, 750 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-320.jpg,https://www.gsmarena.com/i_mobile_320-2677.php
319,"i-mobile 319 phone. Announced Sep 2008. Features 1.67″  display, 830 mAh battery, 50 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-319.jpg,https://www.gsmarena.com/i_mobile_319-2595.php
TV 626,"i-mobile TV 626 phone. Announced Jul 2008. Features 2.4″  display, 3.15 MP primary camera, 1000 mAh battery, 87 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-626.jpg,https://www.gsmarena.com/i_mobile_tv_626-2477.php
902,"i-mobile 902 phone. Announced Oct 2007. Features 2.0″  display, 5 MP primary camera, 1100 mAh battery, 128 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/imobile-902.jpg,https://www.gsmarena.com/i_mobile_902-2421.php
625,"i-mobile 625 phone. Announced May 2008. Features 2.0″  display, 3.15 MP primary camera, 830 mAh battery, 60 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-625.jpg,https://www.gsmarena.com/i_mobile_625-2401.php
903,"i-mobile 903 phone. Announced May 2007. Features 2.0″  display, 2 MP primary camera, 850 mAh battery, 64 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-903.jpg,https://www.gsmarena.com/i_mobile_903-2402.php
613,"i-mobile 613 phone. Announced Dec 2007. Features 2.2″  display, 3.15 MP primary camera, 1000 mAh battery, 87 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-613.jpg,https://www.gsmarena.com/i_mobile_613-2400.php
520,"i-mobile 520 phone. Announced Dec 2007. Features 1.76″  display, 1.3 MP primary camera, 750 mAh battery, 56 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-520.jpg,https://www.gsmarena.com/i_mobile_520-2399.php
518,"i-mobile 518 phone. Announced Dec 2007. Features 2.0″  display, 2 MP primary camera, 1000 mAh battery, 88 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-518.jpg,https://www.gsmarena.com/i_mobile_518-2398.php
510,"i-mobile 510 phone. Announced Apr 2006. Features TFT, 256K colors display, 720 mAh battery, 64 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-510.jpg,https://www.gsmarena.com/i_mobile_510-2397.php
318,"i-mobile 318 phone. Announced Mar 2008. Features 1.8″  display, 700 mAh battery, 120 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-318.jpg,https://www.gsmarena.com/i_mobile_318-2396.php
315,"i-mobile 315 phone. Announced Nov 2007. Features 1.5″  display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-315.jpg,https://www.gsmarena.com/i_mobile_315-2395.php
202,"i-mobile 202 phone. Announced Nov 2008. Features 1.8″  display, 750 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-202.jpg,https://www.gsmarena.com/i_mobile_202-2676.php
201,"i-mobile 201 phone. Announced May 2008. Features 1.5″  display, 750 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile-201.jpg,https://www.gsmarena.com/i_mobile_201-2394.php
101,"i-mobile 101 phone. Announced May 2008. Features 1.5″  display, 680 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/i-mobile.jpg,https://www.gsmarena.com/i_mobile_101-2393.php
