title,extended_title,img_link,gsmarena_link
G8 LTE,"Icemobile G8 LTE Android tablet. Announced Jul 2017. Features 7.0″  display, MT8735 chipset, 5 MP primary camera, 2800 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/icemobile-g8-.jpg,https://www.gsmarena.com/icemobile_g8_lte-8786.php
Mash,"Icemobile Mash phone. Announced Mar 2016. Features 2.2″  display, Spreadtrum 6531DA chipset, 800 mAh battery, 32 MB storage, 32 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/icemobile-mash.jpg,https://www.gsmarena.com/icemobile_mash-7982.php
G8,"Icemobile G8 Android tablet. Announced Sep 2015. Features 7.0″  display, MT6572 chipset, 5 MP primary camera, 2600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/icemobile-g8.jpg,https://www.gsmarena.com/icemobile_g8-7560.php
Prime 5.0 Plus,"Icemobile Prime 5.0 Plus Android smartphone. Announced Feb 2015. Features 5.0″  display, MT6582 chipset, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-5-plus.jpg,https://www.gsmarena.com/icemobile_prime_5_0_plus-7040.php
Prime 5.0,"Icemobile Prime 5.0 Android smartphone. Announced Feb 2015. Features 5.0″  display, MT6572A chipset, 5 MP primary camera, 1.3 MP front camera, 1600 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-5.jpg,https://www.gsmarena.com/icemobile_prime_5_0-7041.php
Prime 4.0 Plus,"Icemobile Prime 4.0 Plus Android smartphone. Announced Feb 2015. Features IPS LCD display, MT6572 chipset, 2 MP primary camera, 1400 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-4-plus.jpg,https://www.gsmarena.com/icemobile_prime_4_0_plus-7039.php
Gravity 4.0,"Icemobile Gravity 4.0 Android smartphone. Announced  2014. Features 4.02″  display, MT6582 chipset, 8 MP primary camera, 1.3 MP front camera, 2800 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/icemobile-gravity-40.jpg,https://www.gsmarena.com/icemobile_gravity_4_0-6810.php
Rock 2.4,"Icemobile Rock 2.4 phone. Announced  2014. Features 2.4″  display, 1000 mAh battery, 32 MB storage, 32 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/icemobile-rock-24.jpg,https://www.gsmarena.com/icemobile_rock_2_4-6809.php
Prime 5.5,"Icemobile Prime 5.5 Android smartphone. Announced Aug 2014. Features 5.46″  display, MT6582A chipset, 8 MP primary camera, 2 MP front camera, 2250 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-55.jpg,https://www.gsmarena.com/icemobile_prime_5_5-6618.php
Prime 3.5,"Icemobile Prime 3.5 Android smartphone. Announced Jul 2014. Features 3.5″  display, MT6572M chipset, 2 MP primary camera, 1200 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-35.jpg,https://www.gsmarena.com/icemobile_prime_3_5-6544.php
Prime 4.0,"Icemobile Prime 4.0 Android smartphone. Announced May 2014. Features 3.97″  display, MT6572M chipset, 2 MP primary camera, 1550 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/icemobile-prime-4.jpg,https://www.gsmarena.com/icemobile_prime_4_0-6361.php
Apollo Touch 3G,"Icemobile Apollo Touch 3G Android smartphone. Announced Feb 2014. Features 3.5″  display, 2 MP primary camera, 1200 mAh battery, 512 MB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/icemobile-apollo-touch-3g.jpg,https://www.gsmarena.com/icemobile_apollo_touch_3g-6106.php
Apollo 3G,"Icemobile Apollo 3G Android smartphone. Announced Feb 2014. Features 2.6″  display, 2 MP primary camera, 1200 mAh battery, 512 MB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/apollo-3g.jpg,https://www.gsmarena.com/icemobile_apollo_3g-6105.php
G7 Pro,"Icemobile G7 Pro Android tablet. Announced  2014. Features 7.0″  display, MT6572W chipset, 2 MP primary camera, 2800 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/icemobile-g7-pro.jpg,https://www.gsmarena.com/icemobile_g7_pro-6076.php
G3,"Icemobile G3 Android tablet. Announced  2014. Features 7.0″  display, 1.3 MP primary camera, 2800 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/icemobile-g3.jpg,https://www.gsmarena.com/icemobile_g3-6075.php
