title,extended_title,img_link,gsmarena_link
Hot 50,"Infinix Hot 50 Android smartphone. Announced Sep 2024. Features 6.7″  display, Dimensity 6300 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-50-5g-x6720-.jpg,https://www.gsmarena.com/infinix_hot_50-13305.php
Zero 40,"Infinix Zero 40 Android smartphone. Announced Aug 2024. Features 6.78″  display, Dimensity 8200 Ultimate chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/infinix-zero40-5g-.jpg,https://www.gsmarena.com/infinix_zero_40-13290.php
Zero 40 4G,"Infinix Zero 40 4G Android smartphone. Announced Aug 2024. Features 6.78″  display, Helio G100 chipset, 5000 mAh battery, 512 GB storage, 8 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/infinix-zero-40-4g-.jpg,https://www.gsmarena.com/infinix_zero_40_4g-13276.php
Xpad,"Infinix Xpad Android tablet. Announced Aug 2024. Features 11.0″  display, Helio G99 chipset, 7000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/ulefone-xpad.jpg,https://www.gsmarena.com/infinix_xpad-13263.php
Note 40X 5G,"Infinix Note 40X 5G Android smartphone. Announced Aug 2024. Features 6.78″  display, Dimensity 6300 chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/infinix-note40x-5g.jpg,https://www.gsmarena.com/infinix_note_40x_5g-13246.php
Note 40 5G,"Infinix Note 40 5G Android smartphone. Announced May 2024. Features 6.78″  display, Dimensity 7020 chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/infinix-note40-5g-.jpg,https://www.gsmarena.com/infinix_note_40_5g-13035.php
GT 20 Pro,"Infinix GT 20 Pro Android smartphone. Announced Apr 2024. Features 6.78″  display, Dimensity 8200 Ultimate chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/infinix-gt20-pro.jpg,https://www.gsmarena.com/infinix_gt_20_pro-12962.php
Note 40 Pro+,"Infinix Note 40 Pro+ Android smartphone. Announced Mar 2024. Features 6.78″  display, Dimensity 7020 chipset, 4600 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/infinix-note-40-pro-plus-5g-.jpg,https://www.gsmarena.com/infinix_note_40_pro+-12874.php
Note 40 Pro,"Infinix Note 40 Pro Android smartphone. Announced Mar 2024. Features 6.78″  display, Dimensity 7020 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/infinix-note-40-pro-5g-.jpg,https://www.gsmarena.com/infinix_note_40_pro-12875.php
Note 40 Pro 4G,"Infinix Note 40 Pro 4G Android smartphone. Announced Mar 2024. Features 6.78″  display, Helio G99 Ultimate chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/infinix-note-40-pro-4g-.jpg,https://www.gsmarena.com/infinix_note_40_pro_4g-12876.php
Note 40,"Infinix Note 40 Android smartphone. Announced Mar 2024. Features 6.78″  display, Helio G99 Ultimate chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/infinix-note-40-4g-.jpg,https://www.gsmarena.com/infinix_note_40-12877.php
Smart 8 Plus,"Infinix Smart 8 Plus Android smartphone. Announced Jan 2024. Features 6.6″  display, Helio G36 chipset, 6000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/infinix-smart-8-plus.jpg,https://www.gsmarena.com/infinix_smart_8_plus-12817.php
Smart 8 Pro,"Infinix Smart 8 Pro Android smartphone. Announced Jan 2024. Features 6.6″  display, Helio G36 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/infinix-smart-8-pro.jpg,https://www.gsmarena.com/infinix_smart_8_pro-12812.php
Smart 8 (India),"Infinix Smart 8 (India) Android smartphone. Announced Jan 2024. Features 6.6″  display, Helio G36 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/infinix-smart-8-india.jpg,https://www.gsmarena.com/infinix_smart_8_(india)-12792.php
Smart 8 HD,"Infinix Smart 8 HD Android smartphone. Announced Dec 2023. Features 6.6″  display, Unisoc T606 chipset, 5000 mAh battery, 64 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/infinix-smart-8-hd.jpg,https://www.gsmarena.com/infinix_smart_8_hd-12736.php
Hot 40 Pro,"Infinix Hot 40 Pro Android smartphone. Announced Dec 2023. Features 6.78″  display, Helio G99 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-40-pro.jpg,https://www.gsmarena.com/infinix_hot_40_pro-12733.php
Hot 40,"Infinix Hot 40 Android smartphone. Announced Dec 2023. Features 6.78″  display, MT6769H Helio G88 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-40.jpg,https://www.gsmarena.com/infinix_hot_40-12732.php
Hot 40i,"Infinix Hot 40i Android smartphone. Announced Dec 2023. Features 6.56″  display, Unisoc T606 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-40i.jpg,https://www.gsmarena.com/infinix_hot_40i-12731.php
Smart 8,"Infinix Smart 8 Android smartphone. Announced Nov 2023. Features 6.6″  display, Unisoc T606 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/infinix-smart8.jpg,https://www.gsmarena.com/infinix_smart_8-12642.php
Zero 30 4G,"Infinix Zero 30 4G Android smartphone. Announced Oct 2023. Features 6.78″  display, Helio G99 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/infinix-zero-30-4g.jpg,https://www.gsmarena.com/infinix_zero_30_4g-12641.php
Zero 30,"Infinix Zero 30 Android smartphone. Announced Sep 2023. Features 6.78″  display, Dimensity 8020 chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/infinix-zero30-5g.jpg,https://www.gsmarena.com/infinix_zero_30-12518.php
GT 10 Pro,"Infinix GT 10 Pro Android smartphone. Announced Aug 2023. Features 6.67″  display, Dimensity 8050 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/infinix-gt10-pro-5g.jpg,https://www.gsmarena.com/infinix_gt_10_pro-12451.php
