title,extended_title,img_link,gsmarena_link
INNO A20,"Innostream INNO A20 phone. Announced Jul 2005. Features TFT, 256K colors display, 2 MP primary camera, 780 mAh battery, 128 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/innostream-a20.gif,https://www.gsmarena.com/innostream_inno_a20-1222.php
INNO P10,"Innostream INNO P10 phone. Announced Jun 2005. Features TFT, 256K colors display, 1.3 MP primary camera, 830 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/innostream-p10.gif,https://www.gsmarena.com/innostream_inno_p10-1190.php
INNO A10,"Innostream INNO A10 phone. Announced Q4 2004. Features TFT, 256K colors display, 1.3 MP primary camera, 920 mAh battery, 128 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/ina10.gif,https://www.gsmarena.com/innostream_inno_a10-955.php
INNO 75,"Innostream INNO 75 phone. Announced Q2 2004. Features TFT, 65K colors display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ininno75.gif,https://www.gsmarena.com/innostream_inno_75-789.php
INNO 50,"Innostream INNO 50 phone. Announced Q1 2004. Features TFT, 256K colors display, 1.3 MP primary camera, 780 mAh battery, 12 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/ininno50.gif,https://www.gsmarena.com/innostream_inno_50-743.php
INNO 36,"Innostream INNO 36 phone. Announced Q2 2005. Features TFT, 256K colors display, 920 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/innostream-36.gif,https://www.gsmarena.com/innostream_inno_36-1228.php
INNO 79,"Innostream INNO 79 phone. Announced Q1 2004. Features TFT, 256K colors display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ininno79.gif,https://www.gsmarena.com/innostream_inno_79-788.php
INNO 78,"Innostream INNO 78 phone. Announced Q1 2004. Features TFT, 256K colors display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ininno78.gif,https://www.gsmarena.com/innostream_inno_78-787.php
INNO 30,"Innostream INNO 30 phone. Announced Q1 2004. Features TFT, 256K colors display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ininno30.gif,https://www.gsmarena.com/innostream_inno_30-786.php
INNO 55,"Innostream INNO 55 phone. Announced Q2 2004. Features TFT, 256K colors display, 830 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ininno55.gif,https://www.gsmarena.com/innostream_inno_55-785.php
INNO 70,"Innostream INNO 70 phone. Announced Q1 2004. Features TFT, 256K colors display, 780 mAh battery, 4 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/ininno70.gif,https://www.gsmarena.com/innostream_inno_70-686.php
INNO 99,"Innostream INNO 99 phone. Announced Q1 2004. Features TFT, 256K colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ininno99.gif,https://www.gsmarena.com/innostream_inno_99-735.php
INNO 90,"Innostream INNO 90 phone. Announced Q1 2004. Features TFT, 256K colors display, 680 mAh battery, 4 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/ininno90.gif,https://www.gsmarena.com/innostream_inno_90-662.php
INNO 89,"Innostream INNO 89 phone. Announced Q1 2004. Features TFT, 256K colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ininno89.gif,https://www.gsmarena.com/innostream_inno_89-784.php
INNO 80,"Innostream INNO 80 phone. Announced Q1 2004. Features TFT, 256K colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ininno80.gif,https://www.gsmarena.com/innostream_inno_80-663.php
INNO 120,"Innostream INNO 120 phone. Announced Q4 2003. Features LCD, 65K colors display, 740 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ininno120.gif,https://www.gsmarena.com/innostream_inno_120-664.php
INNO 110,"Innostream INNO 110 phone. Announced Q4 2003. Features LCD, 65K colors display, 740 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ininno110.gif,https://www.gsmarena.com/innostream_inno_110-665.php
INNO 100,"Innostream INNO 100 phone. Announced Q4 2003. Features LCD, 65K colors display, 740 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/ininno100.gif,https://www.gsmarena.com/innostream_inno_100-666.php
