title,extended_title,img_link,gsmarena_link
Aqua Craze,"Intex Aqua Craze Android smartphone. Announced Jan 2016. Features 5.0″  display, MT6735P chipset, 8 MP primary camera, 2 MP front camera, 2500 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-craze.jpg,https://www.gsmarena.com/intex_aqua_craze-8040.php
Aqua GenX,"Intex Aqua GenX Android smartphone. Announced Aug 2015. Features 5.5″  display, MT6753 chipset, 13 MP primary camera, 5 MP front camera, 2850 mAh battery, 16 GB storage, 2 GB RAM, Asahi Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-genx.jpg,https://www.gsmarena.com/intex_aqua_genx-8039.php
Aqua Ace,"Intex Aqua Ace Android smartphone. Announced Oct 2015. Features 5.0″  display, MT6735 chipset, 13 MP primary camera, 5 MP front camera, 2300 mAh battery, 16 GB storage, 3 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-ace.jpg,https://www.gsmarena.com/intex_aqua_ace-7651.php
Aqua Trend,"Intex Aqua Trend Android smartphone. Announced Sep 2015. Features 5.0″  display, MT6735 chipset, 13 MP primary camera, 5 MP front camera, 3000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/intel-aqua-trend.jpg,https://www.gsmarena.com/intex_aqua_trend-7563.php
IRist Smartwatch,"Intex IRist Smartwatch Android watch. Announced Jul 2015. Features 1.56″  display, MT6572 chipset, 5 MP primary camera, 600 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/intex-watch.jpg,https://www.gsmarena.com/intex_irist_smartwatch-7462.php
Aqua 4G+,"Intex Aqua 4G+ Android smartphone. Announced Jun 2015. Features 5.0″  display, MT6735 chipset, 13 MP primary camera, 5 MP front camera, 2300 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-4g.jpg,https://www.gsmarena.com/intex_aqua_4g+-7359.php
Aqua Xtreme II,"Intex Aqua Xtreme II Android smartphone. Announced Jun 2015. Features 5.0″  display, MT6592M chipset, 13 MP primary camera, 5 MP front camera, 2000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-xtreme-ii.jpg,https://www.gsmarena.com/intex_aqua_xtreme_ii-7358.php
Aqua Y2 Remote,"Intex Aqua Y2 Remote Android smartphone. Announced Feb 2015. Features 4.0″  display, MT6572M chipset, 5 MP primary camera, 2 MP front camera, 1500 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-y2-remote.jpg,https://www.gsmarena.com/intex_aqua_y2_remote-7304.php
Aqua Xtreme,"Intex Aqua Xtreme Android smartphone. Announced Dec 2014. Features 5.0″  display, MT6592 chipset, 13 MP primary camera, 5 MP front camera, 2000 mAh battery, 32 GB storage, 2 GB RAM, Asahi Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/intex-xtreme.jpg,https://www.gsmarena.com/intex_aqua_xtreme-7303.php
Aqua Star L,"Intex Aqua Star L Android smartphone. Announced Jan 2015. Features 5.0″  display, MT6582M chipset, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-star.jpg,https://www.gsmarena.com/intex_aqua_star_l-7302.php
Aqua Star 2,"Intex Aqua Star 2 Android smartphone. Announced Feb 2015. Features 5.0″  display, Spreadtrum 7731 chipset, 8 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-star2.jpg,https://www.gsmarena.com/intex_aqua_star_2-7301.php
Aqua Speed,"Intex Aqua Speed Android smartphone. Announced Feb 2015. Features 4.5″  display, MT6582M chipset, 8 MP primary camera, 5 MP front camera, 1700 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-speed.jpg,https://www.gsmarena.com/intex_aqua_speed-7300.php
Aqua Power,"Intex Aqua Power Android smartphone. Announced Nov 2014. Features 5.0″  display, MT6592M chipset, 8 MP primary camera, 2 MP front camera, 4000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-power.jpg,https://www.gsmarena.com/intex_aqua_power-7299.php
Aqua Power +,"Intex Aqua Power + Android smartphone. Announced Apr 2015. Features 5.0″  display, MT6582M chipset, 13 MP primary camera, 5 MP front camera, 4000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-power-plus.jpg,https://www.gsmarena.com/intex_aqua_power_+-7298.php
Aqua 4.5E,"Intex Aqua 4.5E Android smartphone. Announced Dec 2014. Features 4.5″  display, MT6571 chipset, 5 MP primary camera, 2 MP front camera, 1600 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/intex-aqua-45e.jpg,https://www.gsmarena.com/intex_aqua_4_5e-7297.php
