title,extended_title,img_link,gsmarena_link
A50C,"itel A50C Android smartphone. Announced Aug 2024. Features 6.56″  display, Unisoc T603 chipset, 4000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-a50c.jpg,https://www.gsmarena.com/itel_a50c-13287.php
P65,"itel P65 Android smartphone. Announced Aug 2024. Features 6.7″  display, Unisoc T615 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-p65.jpg,https://www.gsmarena.com/itel_p65-13258.php
A50,"itel A50 Android smartphone. Announced May 2024. Features 6.6″  display, Unisoc T603 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-a50.jpg,https://www.gsmarena.com/itel_a50-13183.php
RS4,"itel RS4 Android smartphone. Announced Apr 2024. Features 6.56″  display, Helio G99 Ultimate chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-rs4.jpg,https://www.gsmarena.com/itel_rs4-12930.php
S24,"itel S24 Android smartphone. Announced Mar 2024. Features 6.6″  display, Helio G91 Ultra chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-s24.jpg,https://www.gsmarena.com/itel_s24-12917.php
P55+,"itel P55+ Android smartphone. Announced Jan 2024. Features 6.6″  display, Unisoc T606 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-p55-plus.jpg,https://www.gsmarena.com/itel_p55+-12809.php
P55,"itel P55 Android smartphone. Announced Jan 2024. Features 6.6″  display, Unisoc T606 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-p55.jpg,https://www.gsmarena.com/itel_p55-12808.php
A70,"itel A70 Android smartphone. Announced Oct 2023. Features 6.6″  display, Unisoc T603 chipset, 5000 mAh battery, 256 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-a70.jpg,https://www.gsmarena.com/itel_a70-12704.php
P55 5G,"itel P55 5G Android smartphone. Announced Sep 2023. Features 6.6″  display, Dimensity 6080 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-power-55.jpg,https://www.gsmarena.com/itel_p55_5g-12604.php
S23+,"itel S23+ Android smartphone. Announced Sep 2023. Features 6.78″  display, Unisoc Tiger T616 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/itel-s23-plus-.jpg,https://www.gsmarena.com/itel_s23+-12571.php
S23,"itel S23 Android smartphone. Announced  2023. Features 6.6″  display, Unisoc T606 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-s23.jpg,https://www.gsmarena.com/itel_s23-12478.php
S18 Pro,"itel S18 Pro Android smartphone. Announced  2023. Features 6.6″  display, Unisoc SC9863A chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-s18-pro.jpg,https://www.gsmarena.com/itel_s18_pro-12479.php
P40+,"itel P40+ Android smartphone. Announced  2023. Features 6.8″  display, Unisoc T606 chipset, 7000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-p40-plus.jpg,https://www.gsmarena.com/itel_p40+-12480.php
Pad One,"itel Pad One Android tablet. Announced  2023. Features 10.1″  display, Unisoc SC9863A1 chipset, 6000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-pad-one.jpg,https://www.gsmarena.com/itel_pad_one-12502.php
Smartwatch 2ES,"itel Smartwatch 2ES watch. Announced  2023. Features 1.8″  display, 250 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/itel-smart-watch-2es.jpg,https://www.gsmarena.com/itel_smartwatch_2es-12506.php
Smart Watch 2,"itel Smart Watch 2 watch. Announced  2023. Features 1.8″  display, 230 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/itel-smart-watch-2.jpg,https://www.gsmarena.com/itel_smart_watch_2-12505.php
P40,"itel P40 Android smartphone. Announced  2023. Features 6.6″  display, Unisoc SC9863A chipset, 6000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-p40.jpg,https://www.gsmarena.com/itel_p40-12481.php
A60s,"itel A60s Android smartphone. Announced  2023. Features 6.6″  display, Unisoc SC9863A1 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-a60s-.jpg,https://www.gsmarena.com/itel_a60s-12485.php
A05s,"itel A05s Android smartphone. Announced  2023. Features 6.6″  display, Unisoc SC9863A1 chipset, 4000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-a05s.jpg,https://www.gsmarena.com/itel_a05s-12486.php
S18,"itel S18 Android smartphone. Announced  2022. Features 6.6″  display, Unisoc SC9863A chipset, 5000 mAh battery, 64 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-s18.jpg,https://www.gsmarena.com/itel_s18-12487.php
P38 Pro,"itel P38 Pro Android smartphone. Announced  2022. Features 6.8″  display, Unisoc SC9863A chipset, 6000 mAh battery, 64 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-p38-pro.jpg,https://www.gsmarena.com/itel_p38_pro-12488.php
P38,"itel P38 Android smartphone. Announced  2022. Features 6.6″  display, 5000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-p38.jpg,https://www.gsmarena.com/itel_p38-12489.php
A60,"itel A60 Android smartphone. Announced  2022. Features 6.6″  display, Unisoc SC9832E chipset, 5000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-a60.jpg,https://www.gsmarena.com/itel_a60-12490.php
A04,"itel A04 Android smartphone. Announced  2023. Features 6.3″  display, 4000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-a04.jpg,https://www.gsmarena.com/itel_a04-12491.php
Vision 3 Turbo,"itel Vision 3 Turbo Android smartphone. Announced  2022. Features 6.6″  display, Unisoc SC9863A chipset, 5000 mAh battery, 64 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-vision-3-turbo.jpg,https://www.gsmarena.com/itel_vision_3_turbo-12492.php
Vision 3,"itel Vision 3 Android smartphone. Announced  2022. Features 6.6″  display, Unisoc SC9863A chipset, 5000 mAh battery, 64 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-vision3.jpg,https://www.gsmarena.com/itel_vision_3-12493.php
A23S,"itel A23S Android smartphone. Announced  2022. Features 5.0″  display, Unisoc SC9832E chipset, 3020 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-a23s.jpg,https://www.gsmarena.com/itel_a23s-12494.php
A27,"itel A27 Android smartphone. Announced  2022. Features 5.45″  display, Unisoc SC9832E chipset, 4000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-a27.jpg,https://www.gsmarena.com/itel_a27-12495.php
A49,"itel A49 Android smartphone. Announced  2022. Features 6.6″  display, Unisoc SC9832E chipset, 4000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-a49.jpg,https://www.gsmarena.com/itel_a49-12496.php
A48,"itel A48 Android smartphone. Announced  2021. Features 6.1″  display, Unisoc SC9832E chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-a48.jpg,https://www.gsmarena.com/itel_a48-12497.php
Vision 2S,"itel Vision 2S Android smartphone. Announced  2021. Features 6.52″  display, Unisoc SC9863A chipset, 5000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-vision-2s.jpg,https://www.gsmarena.com/itel_vision_2s-12498.php
A23 Pro,"itel A23 Pro Android smartphone. Announced  2021. Features 5.0″  display, Unisoc SC9832E chipset, 2400 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-a23-pro.jpg,https://www.gsmarena.com/itel_a23_pro-12499.php
Vision 2,"itel Vision 2 Android smartphone. Announced  2021. Features 6.6″  display, Unisoc SC9863A chipset, 4000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-vision-2.jpg,https://www.gsmarena.com/itel_vision_2-12500.php
A25,"itel A25 Android smartphone. Announced  2020. Features 5.0″  display, Unisoc SC9832E chipset, 3020 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/itel-a25.jpg,https://www.gsmarena.com/itel_a25-12501.php
Smartwatch 1GS,"itel Smartwatch 1GS watch. Announced  2022. Features 1.32″  display, 250 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/itel-smart-watch-1gs.jpg,https://www.gsmarena.com/itel_smartwatch_1gs-12508.php
Smartwatch 1ES,"itel Smartwatch 1ES watch. Announced  2022. Features 1.7″  display, 220 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/itel-smart-watch-1es.jpg,https://www.gsmarena.com/itel_smartwatch_1es-12507.php
Smart Watch 1,"itel Smart Watch 1 watch. Announced  2022. Features 1.72″  display, 200 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/itel-smart-watch-1.jpg,https://www.gsmarena.com/itel_smart_watch_1-12504.php
