title,extended_title,img_link,gsmarena_link
Titanium Mach Two S360,"Karbonn Titanium Mach Two S360 Android smartphone. Announced Mar 2015. Features 5.0″  display, 8 MP primary camera, 8 MP front camera, 1900 mAh battery, 8 GB storage, 1000 MB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-mach-two.jpg,https://www.gsmarena.com/karbonn_titanium_mach_two_s360-7236.php
Titanium Wind W4,"Karbonn Titanium Wind W4 Windows Mobile smartphone. Announced Sep 2014. Features 4.0″  display, 5 MP primary camera, 1950 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/karbonn-w4.jpg,https://www.gsmarena.com/karbonn_titanium_wind_w4-7209.php
Titanium S99,"Karbonn Titanium S99 Android smartphone. Announced Jun 2014. Features 4.0″  display, 5 MP primary camera, 1400 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/karbonn-s99.jpg,https://www.gsmarena.com/karbonn_titanium_s99-7210.php
Sparkle V,"Karbonn Sparkle V Android smartphone. Announced Sep 2014. Features 4.5″  display, MT6582 chipset, 5 MP primary camera, 2 MP front camera, 1700 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/karbonn-sparkle-v.jpg,https://www.gsmarena.com/karbonn_sparkle_v-6687.php
Titanium S19,"Karbonn Titanium S19 Android smartphone. Announced Aug 2014. Features 5.0″  display, 13 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s19.jpg,https://www.gsmarena.com/karbonn_titanium_s19-6597.php
Smart A12 Star,"Karbonn Smart A12 Star Android smartphone. Announced Jul 2014. Features 4.0″  display, 5 MP primary camera, 1400 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/karbonn-smart-a12-star.jpg,https://www.gsmarena.com/karbonn_smart_a12_star-6530.php
Titanium S1 Plus,"Karbonn Titanium S1 Plus Android smartphone. Announced May 2014. Features 4.0″  display, 5 MP primary camera, 1500 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s1-plus.jpg,https://www.gsmarena.com/karbonn_titanium_s1_plus-6372.php
Titanium Hexa,"Karbonn Titanium Hexa Android smartphone. Announced Mar 2014. Features 5.5″  display, MT6591 chipset, 13 MP primary camera, 5 MP front camera, 2050 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-hexa.jpg,https://www.gsmarena.com/karbonn_titanium_hexa-6218.php
Titanium Octane Plus,"Karbonn Titanium Octane Plus Android smartphone. Announced Mar 2014. Features 5.0″  display, MT6592 chipset, 16 MP primary camera, 8 MP front camera, 2000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-octane-plus.jpg,https://www.gsmarena.com/karbonn_titanium_octane_plus-6219.php
Titanium Octane,"Karbonn Titanium Octane Android smartphone. Announced Mar 2014. Features 5.0″  display, MT6592 chipset, 13 MP primary camera, 5 MP front camera, 2000 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-octane-plus.jpg,https://www.gsmarena.com/karbonn_titanium_octane-6220.php
