title,extended_title,img_link,gsmarena_link
Yuva Star,"Lava Yuva Star Android smartphone. Announced Aug 2024. Features 6.75″  display, Unisoc SC9863A chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-star.jpg,https://www.gsmarena.com/lava_yuva_star-13249.php
Blaze X,"Lava Blaze X Android smartphone. Announced Jul 2024. Features 6.67″  display, Dimensity 6300 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-x.jpg,https://www.gsmarena.com/lava_blaze_x-13197.php
Yuva 5G,"Lava Yuva 5G Android smartphone. Announced Mar 2024. Features 6.53″  display, Unisoc T750 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-5g.jpg,https://www.gsmarena.com/lava_yuva_5g-13086.php
Prowatch ZN,"Lava Prowatch ZN watch. Announced Apr 2024. Features 1.43″  display, 350 mAh battery, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/lava-prowatch-zn-.jpg,https://www.gsmarena.com/lava_prowatch_zn-12950.php
Prowatch VN,"Lava Prowatch VN watch. Announced Apr 2024. Features 1.96″  display, 230 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/lava-prowatch-vn.jpg,https://www.gsmarena.com/lava_prowatch_vn-12951.php
O2,"Lava O2 Android smartphone. Announced Mar 2024. Features 6.5″  display, Unisoc Tiger T616 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lava-o2.jpg,https://www.gsmarena.com/lava_o2-12891.php
Blaze Curve,"Lava Blaze Curve Android smartphone. Announced Mar 2024. Features 6.67″  display, Dimensity 7050 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Dragontrail Star 2.",https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-curve-5g.jpg,https://www.gsmarena.com/lava_blaze_curve-12859.php
Yuva 3,"Lava Yuva 3 Android smartphone. Announced Feb 2024. Features 6.5″  display, Unisoc T606 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-3.jpg,https://www.gsmarena.com/lava_yuva_3-12816.php
Storm,"Lava Storm Android smartphone. Announced Dec 2023. Features 6.78″  display, Dimensity 6080 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lava-storm-5g.jpg,https://www.gsmarena.com/lava_storm-12753.php
Yuva 3 Pro,"Lava Yuva 3 Pro Android smartphone. Announced Dec 2023. Features 6.5″  display, Unisoc Tiger T616 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-3-pro.jpg,https://www.gsmarena.com/lava_yuva_3_pro-12742.php
Blaze 2 5G,"Lava Blaze 2 5G Android smartphone. Announced Nov 2023. Features 6.56″  display, Dimensity 6020 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-2-5g.jpg,https://www.gsmarena.com/lava_blaze_2_5g-12668.php
