title,extended_title,img_link,gsmarena_link
Legion Tab,"Lenovo Legion Tab Android tablet. Announced Aug 2024. Features 8.8″  display, Snapdragon 8+ Gen 1 chipset, 6550 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y700-2023.jpg,https://www.gsmarena.com/lenovo_legion_tab-13266.php
Tab K11 Plus,"Lenovo Tab K11 Plus Android tablet. Announced Jul 2024. Features 11.45″  display, Snapdragon 680 4G chipset, 8600 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-k-11-plus.jpg,https://www.gsmarena.com/lenovo_tab_k11_plus-13186.php
Tab Plus,"Lenovo Tab Plus Android tablet. Announced Jun 2024. Features 11.5″  display, Helio G99 chipset, 8600 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-plus.jpg,https://www.gsmarena.com/lenovo_tab_plus-13164.php
Tab M11,"Lenovo Tab M11 Android tablet. Announced Jan 2024. Features 11.0″  display, MT6769H Helio G88 chipset, 7040 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m11.jpg,https://www.gsmarena.com/lenovo_tab_m11-12783.php
Legion Y700 (2023),"Lenovo Legion Y700 (2023) Android tablet. Announced Jul 2023. Features 8.8″  display, Snapdragon 8+ Gen 1 chipset, 6550 mAh battery, 512 GB storage, 16 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y700-2023.jpg,https://www.gsmarena.com/lenovo_legion_y700_(2023)-12476.php
Tab P12,"Lenovo Tab P12 Android tablet. Announced Jul 2023. Features 12.7″  display, Dimensity 7050 chipset, 10200 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p12.jpg,https://www.gsmarena.com/lenovo_tab_p12-12443.php
Tab M10,"Lenovo Tab M10 Android tablet. Announced Jul 2023. Features 10.6″  display, Snapdragon 695 5G chipset, 7700 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m10-5g-10.jpg,https://www.gsmarena.com/lenovo_tab_m10-12425.php
Tab Extreme,"Lenovo Tab Extreme Android tablet. Announced Jan 2023. Features 14.5″  display, Dimensity 9000 chipset, 12300 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-extreme.jpg,https://www.gsmarena.com/lenovo_tab_extreme-12071.php
Tab M9,"Lenovo Tab M9 Android tablet. Announced Dec 2022. Features 9.0″  display, MT6769V chipset, 5100 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m9.jpg,https://www.gsmarena.com/lenovo_tab_m9-12052.php
Tab M8 (4th Gen),"Lenovo Tab M8 (4th Gen) Android tablet. Announced Apr 2023. Features 8.0″  display, MT8768 Helio A22 chipset, 5100 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m8-4th-gen.jpg,https://www.gsmarena.com/lenovo_tab_m8_(4th_gen)-12521.php
Tab P11 Gen 2,"Lenovo Tab P11 Gen 2 Android tablet. Announced Sep 2022. Features 11.5″  display, Helio G99 chipset, 7700 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p11-pro-gen2.jpg,https://www.gsmarena.com/lenovo_tab_p11_gen_2-11842.php
Tab P11 Pro Gen 2,"Lenovo Tab P11 Pro Gen 2 Android tablet. Announced Sep 2022. Features 11.2″  display, MT8797 Kompanio 1300T chipset, 8200 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p11-pro-gen2.jpg,https://www.gsmarena.com/lenovo_tab_p11_pro_gen_2-11841.php
Tab M10 Gen 3,"Lenovo Tab M10 Gen 3 Android tablet. Announced Sep 2022. Features 10.1″  display, Unisoc T610 chipset, 5100 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m10-gen3.jpg,https://www.gsmarena.com/lenovo_tab_m10_gen_3-12162.php
Pad Pro 2022,"Lenovo Pad Pro 2022 Android tablet. Announced Aug 2022. Features 11.2″  display, MT8797 Kompanio 1300T chipset, 8200 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-pad-pro-2022.jpg,https://www.gsmarena.com/lenovo_pad_pro_2022-11783.php
Legion Y70,"Lenovo Legion Y70 Android smartphone. Announced Aug 2022. Features 6.67″  display, Snapdragon 8+ Gen 1 chipset, 5100 mAh battery, 512 GB storage, 16 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y70.jpg,https://www.gsmarena.com/lenovo_legion_y70-11747.php
