title,extended_title,img_link,gsmarena_link
Ultra Tab,"LG Ultra Tab Android tablet. Announced Aug 2022. Features 10.35″  display, Snapdragon 680 4G chipset, 7040 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lg_ultratab.jpg,https://www.gsmarena.com/lg_ultra_tab-11751.php
W41 Pro,"LG W41 Pro Android smartphone. Announced Feb 2021. Features 6.55″  display, MT6765G Helio G35 chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lg-w41-pro.jpg,https://www.gsmarena.com/lg_w41_pro-10742.php
W41+,"LG W41+ Android smartphone. Announced Feb 2021. Features 6.55″  display, MT6765G Helio G35 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lg-w41-plus.jpg,https://www.gsmarena.com/lg_w41+-10743.php
W41,"LG W41 Android smartphone. Announced Feb 2021. Features 6.55″  display, MT6765G Helio G35 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lg-w41.jpg,https://www.gsmarena.com/lg_w41-10744.php
W31+,"LG W31+ Android smartphone. Announced Nov 2020. Features 6.52″  display, MT6762 Helio P22 chipset, 4000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lg-w31-plus.jpg,https://www.gsmarena.com/lg_w31+-10585.php
W31,"LG W31 Android smartphone. Announced Nov 2020. Features 6.52″  display, MT6762 Helio P22 chipset, 4000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lg-w31.jpg,https://www.gsmarena.com/lg_w31-10586.php
W11,"LG W11 Android smartphone. Announced Nov 2020. Features 6.52″  display, MT6762 Helio P22 chipset, 4000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lg-w11.jpg,https://www.gsmarena.com/lg_w11-10587.php
K92 5G,"LG K92 5G Android smartphone. Announced Sep 2020. Features 6.7″  display, Snapdragon 690 5G chipset, 4000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lg-k92-5g.jpg,https://www.gsmarena.com/lg_k92_5g-10564.php
K62,"LG K62 Android smartphone. Announced Sep 2020. Features 6.6″  display, MT6765 Helio P35 chipset, 4000 mAh battery, 128 GB storage, 4 GB RAM, MIL-STD-810G compliant.",https://fdn2.gsmarena.com/vv/bigpic/lg-k62.jpg,https://www.gsmarena.com/lg_k62-10464.php
Q52,"LG Q52 Android smartphone. Announced Sep 2020. Features 6.6″  display, MT6765 Helio P35 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810G compliant.",https://fdn2.gsmarena.com/vv/bigpic/lg-q52.jpg,https://www.gsmarena.com/lg_q52-10558.php
K52,"LG K52 Android smartphone. Announced Sep 2020. Features 6.6″  display, MT6765 Helio P35 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810G compliant.",https://fdn2.gsmarena.com/vv/bigpic/lg-k52.jpg,https://www.gsmarena.com/lg_k52-10463.php
K42,"LG K42 Android smartphone. Announced Sep 2020. Features 6.6″  display, MT6762 Helio P22 chipset, 4000 mAh battery, 64 GB storage, 3 GB RAM, MIL-STD-810G compliant.",https://fdn2.gsmarena.com/vv/bigpic/lg-k42.jpg,https://www.gsmarena.com/lg_k42-10459.php
K71,"LG K71 Android smartphone. Announced Sep 2020. Features 6.8″  display, MT6765 Helio P35 chipset, 4000 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lg-stylo6.jpg,https://www.gsmarena.com/lg_k71-10458.php
Wing 5G,"LG Wing 5G Android smartphone. Announced Sep 2020. Features 6.8″  display, Snapdragon 765G 5G chipset, 4000 mAh battery, 256 GB storage, 8 GB RAM, MIL-STD-810G compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/lg-wing.jpg,https://www.gsmarena.com/lg_wing_5g-10442.php
K22,"LG K22 Android smartphone. Announced Sep 2020. Features 6.2″  display, Snapdragon 215 chipset, 3000 mAh battery, 64 GB storage, 3 GB RAM, MIL-STD-810G compliant.",https://fdn2.gsmarena.com/vv/bigpic/lg-k22.jpg,https://www.gsmarena.com/lg_k22-10597.php
Q92 5G,"LG Q92 5G Android smartphone. Announced Aug 2020. Features 6.67″  display, Snapdragon 765G 5G chipset, 4000 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810G compliant.",https://fdn2.gsmarena.com/vv/bigpic/lg-q92.jpg,https://www.gsmarena.com/lg_q92_5g-10368.php
Q31,"LG Q31 Android smartphone. Announced Sep 2020. Features 5.7″  display, MT6762 Helio P22 chipset, 3000 mAh battery, 32 GB storage, 3 GB RAM, MIL-STD-810G compliant.",https://fdn2.gsmarena.com/vv/bigpic/lg-q31.jpg,https://www.gsmarena.com/lg_q31-10451.php
K31,"LG K31 Android smartphone. Announced Aug 2020. Features 5.7″  display, MT6762 Helio P22 chipset, 3000 mAh battery, 32 GB storage, 2 GB RAM, MIL-STD-810G compliant.",https://fdn2.gsmarena.com/vv/bigpic/lg-k31.jpg,https://www.gsmarena.com/lg_k31-10382.php
Velvet 5G UW,"LG Velvet 5G UW Android smartphone. Announced Aug 2020. Features 6.8″  display, Snapdragon 765G 5G chipset, 4300 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810G compliant.",https://fdn2.gsmarena.com/vv/bigpic/lg-velvet-5g-uw-.jpg,https://www.gsmarena.com/lg_velvet_5g_uw-10378.php
Q61,"LG Q61 Android smartphone. Announced May 2020. Features 6.53″  display, MT6765 Helio P35 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810G compliant, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/lg-q61.jpg,https://www.gsmarena.com/lg_q61-10257.php
Stylo 6,"LG Stylo 6 Android smartphone. Announced May 2020. Features 6.8″  display, MT6765 Helio P35 chipset, 4000 mAh battery, 64 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lg-stylo6.jpg,https://www.gsmarena.com/lg_stylo_6-10255.php
Velvet,"LG Velvet Android smartphone. Announced Jul 2020. Features 6.8″  display, Snapdragon 845 chipset, 4300 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810G compliant.",https://fdn2.gsmarena.com/vv/bigpic/lg-velvet-4g.jpg,https://www.gsmarena.com/lg_velvet-10340.php
Velvet 5G,"LG Velvet 5G Android smartphone. Announced May 2020. Features 6.8″  display, Snapdragon 765G 5G chipset, 4300 mAh battery, 128 GB storage, 8 GB RAM, MIL-STD-810G compliant.",https://fdn2.gsmarena.com/vv/bigpic/lg-velvet-.jpg,https://www.gsmarena.com/lg_velvet_5g-10209.php
Folder 2,"LG Folder 2 phone. Announced Apr 2020. Features 2.8″  display, 1470 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/lg-folder2.jpg,https://www.gsmarena.com/lg_folder_2-10186.php
