title,extended_title,img_link,gsmarena_link
MX-C90,"Maxon MX-C90 phone. Announced  2003. Features TFT, 65K colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/mac90.gif,https://www.gsmarena.com/maxon_mx_c90-596.php
MX-C80,"Maxon MX-C80 phone. Announced Q4 2003. Features TFT, 65K colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/mac80.gif,https://www.gsmarena.com/maxon_mx_c80-597.php
MX-C180,"Maxon MX-C180 phone. Announced Q4 2003. Features TFT, 65K colors display, 720 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/mac180.gif,https://www.gsmarena.com/maxon_mx_c180-598.php
MX-A30,"Maxon MX-A30 phone. Announced  2004. Features TFT, 65K colors display, 850 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/maa30.gif,https://www.gsmarena.com/maxon_mx_a30-731.php
MX-C60,"Maxon MX-C60 phone. Announced  2003. Features CSTN, 65K colors display, 900 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/mac60.gif,https://www.gsmarena.com/maxon_mx_c60-580.php
MX-C20,"Maxon MX-C20 phone. Announced  2003. Features CSTN, 65K colors display.",https://fdn2.gsmarena.com/vv/bigpic/mac20.gif,https://www.gsmarena.com/maxon_mx_c20-581.php
MX-C110,"Maxon MX-C110 phone. Announced  2004. Features 65K colors display, 850 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/mac110.gif,https://www.gsmarena.com/maxon_mx_c110-732.php
MX-E10,"Maxon MX-E10 phone. Announced  2003. Features TFT, 65K colors display, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/mae10.gif,https://www.gsmarena.com/maxon_mx_e10-579.php
MX-V10,"Maxon MX-V10 phone. Announced  2004. Features STN, 65K colors display, 850 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/mav10.gif,https://www.gsmarena.com/maxon_mx_v10-734.php
MX-V30,"Maxon MX-V30 phone. Announced  2004. Features TFT, 65K colors display, 850 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/mav30.gif,https://www.gsmarena.com/maxon_mx_v30-733.php
