title,extended_title,img_link,gsmarena_link
Nitro 55M,"Maxwest Nitro 55M Android smartphone. Announced Oct 2016. Features 5.5″  display, MT6580 chipset, 8 MP primary camera, 2 MP front camera, 2800 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-55-m.jpg,https://www.gsmarena.com/maxwest_nitro_55m-8540.php
Nitro 55 LTE,"Maxwest Nitro 55 LTE Android smartphone. Announced Nov 2016. Features 5.5″  display, MT6737 chipset, 8 MP primary camera, 2 MP front camera, 3000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-55m.jpg,https://www.gsmarena.com/maxwest_nitro_55_lte-8539.php
Nitro 5M,"Maxwest Nitro 5M Android smartphone. Announced Sep 2016. Features 5.0″  display, Spreadtrum SC7731 chipset, 5 MP primary camera, 2 MP front camera, 2200 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-5m.jpg,https://www.gsmarena.com/maxwest_nitro_5m-8538.php
Astro 5s,"Maxwest Astro 5s Android smartphone. Announced Jul 2016. Features 5.0″  display, MT6580M chipset, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-5s.jpg,https://www.gsmarena.com/maxwest_astro_5s-8412.php
Gravity 5 LTE,"Maxwest Gravity 5 LTE Android smartphone. Announced Jan 2016. Features 5.0″  display, Snapdragon 210 chipset, 8 MP primary camera, 2 MP front camera, 2200 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-5-lte-.jpg,https://www.gsmarena.com/maxwest_gravity_5_lte-8021.php
Astro X4,"Maxwest Astro X4 Android smartphone. Announced Jan 2016. Features 4.0″  display, MT6572M chipset, 3.15 MP primary camera, 1400 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-x4.jpg,https://www.gsmarena.com/maxwest_astro_x4-7930.php
Astro X55,"Maxwest Astro X55 Android smartphone. Announced Jan 2016. Features 5.5″  display, MT6580 chipset, 8 MP primary camera, 5 MP front camera, 2200 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-x55.jpg,https://www.gsmarena.com/maxwest_astro_x55-7889.php
Vice,"Maxwest Vice phone. Announced Jan 2016. Features 2.4″  display, Spreadtrum 6531D chipset, 900 mAh battery, 64 MB storage, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-vice.jpg,https://www.gsmarena.com/maxwest_vice-7873.php
Gravity 5.5 LTE,"Maxwest Gravity 5.5 LTE Android smartphone. Announced Jun 2015. Features 5.5″  display, MT6735 chipset, 13 MP primary camera, 5 MP front camera, 3000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-55-lte.jpg,https://www.gsmarena.com/maxwest_gravity_5_5_lte-7629.php
Gravity 5,"Maxwest Gravity 5 Android smartphone. Announced Jul 2015. Features 5.0″  display, MT6582M chipset, 8 MP primary camera, 2 MP front camera, 2700 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-5.jpg,https://www.gsmarena.com/maxwest_gravity_5-7589.php
Astro 6,"Maxwest Astro 6 Android smartphone. Announced Jun 2015. Features 6.0″  display, MT6582M chipset, 8 MP primary camera, 2 MP front camera, 3000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-60.jpg,https://www.gsmarena.com/maxwest_astro_6-7566.php
Astro X5,"Maxwest Astro X5 Android smartphone. Announced Jun 2015. Features 5.0″  display, MT6572M chipset, 5 MP primary camera, 2100 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-x5.jpg,https://www.gsmarena.com/maxwest_astro_x5-7565.php
Astro 3.5,"Maxwest Astro 3.5 Android smartphone. Announced Aug 2015. Features 3.5″  display, MT6572M chipset, 2 MP primary camera, 1400 mAh battery, 512 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-35.jpg,https://www.gsmarena.com/maxwest_astro_3_5-7564.php
Blade,"Maxwest Blade phone. Announced Jun 2015. Features 2.4″  display, 800 mAh battery, 8 MB storage, 8 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-blade.jpg,https://www.gsmarena.com/maxwest_blade-7398.php
Nitro 5,"Maxwest Nitro 5 Android smartphone. Announced Jun 2015. Features 5.0″  display, Spreadtrum SC7731 chipset, 5 MP primary camera, 2000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-5.jpg,https://www.gsmarena.com/maxwest_nitro_5-7379.php
Astro 4.5,"Maxwest Astro 4.5 Android smartphone. Announced Jul 2015. Features 4.5″  display, MT6572M chipset, 8 MP primary camera, 1700 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-45.jpg,https://www.gsmarena.com/maxwest_astro_4_5-7360.php
Nitro Phablet 71,"Maxwest Nitro Phablet 71 Android smartphone. Announced Jan 2015. Features 7.0″  display, MT6572 chipset, 5 MP primary camera, 2 MP front camera, 2800 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-71.jpg,https://www.gsmarena.com/maxwest_nitro_phablet_71-6984.php
Nitro 5.5,"Maxwest Nitro 5.5 Android smartphone. Announced Jan 2015. Features 5.5″  display, MT6572 chipset, 8 MP primary camera, 2 MP front camera, 2200 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-nitro-55.jpg,https://www.gsmarena.com/maxwest_nitro_5_5-6983.php
Astro 5,"Maxwest Astro 5 Android smartphone. Announced Nov 2014. Features 5.0″  display, MT6582M chipset, 8 MP primary camera, 1.3 MP front camera, 2000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/Maxwest-Astro-5.jpg,https://www.gsmarena.com/maxwest_astro_5-6840.php
MX-110,"Maxwest MX-110 phone. Announced Nov 2014. Features 1.8″  display, 800 mAh battery, 32 MB storage, 32 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-mx-110.jpg,https://www.gsmarena.com/maxwest_mx_110-6817.php
Astro 4,"Maxwest Astro 4 Android smartphone. Announced Oct 2014. Features 4.0″  display, MT6572M chipset, 2 MP primary camera, 1400 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-4.jpg,https://www.gsmarena.com/maxwest_astro_4-6720.php
Astro JR,"Maxwest Astro JR Android smartphone. Announced Sep 2014. Features 3.5″  display, MT6572M chipset, 2 MP primary camera, 1300 mAh battery, 256 MB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-astro-jr.jpg,https://www.gsmarena.com/maxwest_astro_jr-6672.php
Virtue Z5,"Maxwest Virtue Z5 Android smartphone. Announced Jun 2014. Features 5.0″  display, MT6582M chipset, 8 MP primary camera, 2300 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-virtue-z5.jpg,https://www.gsmarena.com/maxwest_virtue_z5-6517.php
Gravity 5.5,"Maxwest Gravity 5.5 Android smartphone. Announced May 2014. Features 5.5″  display, Broadcom BCM23550 chipset, 13 MP primary camera, 2 MP front camera, 2300 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-55.jpg,https://www.gsmarena.com/maxwest_gravity_5_5-6417.php
Gravity 6,"Maxwest Gravity 6 Android smartphone. Announced Apr 2014. Features 6.0″  display, Broadcom BCM23550 chipset, 13 MP primary camera, 2 MP front camera, 2800 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-gravity-6.jpg,https://www.gsmarena.com/maxwest_gravity_6-6358.php
Orbit 330G,"Maxwest Orbit 330G Android smartphone. Announced Apr 2014. Features 3.5″  display, MT6572M chipset, 2 MP primary camera, 1300 mAh battery, 512 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/orbit-330g.jpg,https://www.gsmarena.com/maxwest_orbit_330g-6274.php
Orbit 6200T,"Maxwest Orbit 6200T Android smartphone. Announced Mar 2014. Features 6.0″  display, MT6572AW chipset, 8 MP primary camera, 2350 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-orbit-6200t.jpg,https://www.gsmarena.com/maxwest_orbit_6200t-6273.php
Android 330,"Maxwest Android 330 Android smartphone. Announced Jan 2014. Features 3.5″  display, MT6572M chipset, 2 MP primary camera, 1300 mAh battery, 512 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-android-330.jpg,https://www.gsmarena.com/maxwest_android_330-6098.php
Tab Phone 72DC,"Maxwest Tab Phone 72DC Android tablet. Announced Aug 2013. Features 7.0″  display, MT8377 chipset, 2 MP primary camera, 2800 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-72dc.jpg,https://www.gsmarena.com/maxwest_tab_phone_72dc-5860.php
MX-210TV,"Maxwest MX-210TV phone. Announced Sep 2013. Features 2.0″  display, 1.3 MP primary camera, 800 mAh battery, 32 MB storage, 32 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-MX-210TV.jpg,https://www.gsmarena.com/maxwest_mx_210tv-5859.php
Android 320,"Maxwest Android 320 Android smartphone. Announced Sep 2013. Features 3.5″  display, 2 MP primary camera, 1450 mAh battery, 512 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-android-320.jpg,https://www.gsmarena.com/maxwest_android_320-5778.php
Orbit 6200,"Maxwest Orbit 6200 Android smartphone. Announced Oct 2013. Features 6.0″  display, MT6572AW chipset, 8 MP primary camera, 2350 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/Orbit-6200-White-web.jpg,https://www.gsmarena.com/maxwest_orbit_6200-5777.php
Orbit 5400T,"Maxwest Orbit 5400T Android smartphone. Announced Aug 2013. Features 5.0″  display, MT6572 chipset, 8 MP primary camera, 2000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/Orbit-5400T-white-web.jpg,https://www.gsmarena.com/maxwest_orbit_5400t-5776.php
Orbit 4400,"Maxwest Orbit 4400 Android smartphone. Announced Sep 2013. Features 4.0″  display, MT6572M chipset, 5 MP primary camera, 1400 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/Orbit-4400-white-web.jpg,https://www.gsmarena.com/maxwest_orbit_4400-5775.php
Orbit 3000,"Maxwest Orbit 3000 Android smartphone. Announced Oct 2013. Features 3.5″  display, MT6572M chipset, 3.15 MP primary camera, 1.3 MP front camera, 1100 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/Orbit-3000-White-web.jpg,https://www.gsmarena.com/maxwest_orbit_3000-5774.php
Orbit X50,"Maxwest Orbit X50 Android smartphone. Announced Oct 2013. Features 5.0″  display, Broadcom BCM23550 chipset, 8 MP primary camera, 0.3 MP front camera, 2000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/Orbit-X50-white-web2.jpg,https://www.gsmarena.com/maxwest_orbit_x50-5773.php
Orbit Z50,"Maxwest Orbit Z50 Android smartphone. Announced Jun 2013. Features 5.0″  display, Snapdragon S4 Play chipset, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-orbit-z50.jpg,https://www.gsmarena.com/maxwest_orbit_z50-5641.php
Orbit 5400,"Maxwest Orbit 5400 Android smartphone. Announced Apr 2013. Features 5.0″  display, MT6577 chipset, 8 MP primary camera, 2000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-orbit-5400.jpg,https://www.gsmarena.com/maxwest_orbit_5400-5640.php
Orbit 4600,"Maxwest Orbit 4600 Android smartphone. Announced May 2013. Features 4.7″  display, Broadcom BCM21663 chipset, 5 MP primary camera, 1700 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-orbit-4600.jpg,https://www.gsmarena.com/maxwest_orbit_4600-5639.php
MX-200TV,"Maxwest MX-200TV phone. Announced Jul 2013. Features 2.0″  display, MT6250 chipset, 1.3 MP primary camera, 800 mAh battery, 32 MB storage, 32 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-mx-200tv.jpg,https://www.gsmarena.com/maxwest_mx_200tv-5638.php
MX-100,"Maxwest MX-100 phone. Announced Jul 2013. Features 1.8″  display, 800 mAh battery, 32 MB storage, 32 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/maxwest-mx-100.jpg,https://www.gsmarena.com/maxwest_mx_100-5637.php
