title,extended_title,img_link,gsmarena_link
Blue 20,"Meizu Blue 20 smartphone. Announced Jul 2024. Features 6.52″  display, Unisoc T765 chipset, 5010 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/meizu-blue-20.jpg,https://www.gsmarena.com/meizu_blue_20-13212.php
21 Note,"Meizu 21 Note smartphone. Announced May 2024. Features 6.78″  display, Snapdragon 8 Gen 2 chipset, 5500 mAh battery, 512 GB storage, 16 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/meizu-21-note.jpg,https://www.gsmarena.com/meizu_21_note-13007.php
21 Pro,"Meizu 21 Pro Android smartphone. Announced Feb 2024. Features 6.79″  display, Snapdragon 8 Gen 3 chipset, 5050 mAh battery, 1024 GB storage, 16 GB RAM, Meizu Titan Glass 2.0.",https://fdn2.gsmarena.com/vv/bigpic/meizu-21-pro.jpg,https://www.gsmarena.com/meizu_21_pro-12805.php
21,"Meizu 21 Android smartphone. Announced Nov 2023. Features 6.55″  display, Snapdragon 8 Gen 3 chipset, 4800 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/meizu-21.jpg,https://www.gsmarena.com/meizu_21-12719.php
20 Classic,"Meizu 20 Classic Android smartphone. Announced Oct 2023. Features 6.55″  display, Snapdragon 8 Gen 2 chipset, 4700 mAh battery, 512 GB storage, 16 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/meizu-20classic.jpg,https://www.gsmarena.com/meizu_20_classic-12630.php
20 Infinity,"Meizu 20 Infinity Android smartphone. Announced Mar 2023. Features 6.79″  display, Snapdragon 8 Gen 2 chipset, 4800 mAh battery, 1024 GB storage, 16 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/meizu-20-infinity.jpg,https://www.gsmarena.com/meizu_20_infinity-12207.php
20 Pro,"Meizu 20 Pro Android smartphone. Announced Mar 2023. Features 6.81″  display, Snapdragon 8 Gen 2 chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/meizu-20-pro.jpg,https://www.gsmarena.com/meizu_20_pro-12161.php
20,"Meizu 20 Android smartphone. Announced Mar 2023. Features 6.55″  display, Snapdragon 8 Gen 2 chipset, 4700 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/meizu-20.jpg,https://www.gsmarena.com/meizu_20-12206.php
18s Pro,"Meizu 18s Pro Android smartphone. Announced Sep 2021. Features 6.7″  display, Snapdragon 888+ 5G chipset, 4500 mAh battery, 256 GB storage, 12 GB RAM, Corning Gorilla Glass 6.",https://fdn2.gsmarena.com/vv/bigpic/meizu-18s-pro.jpg,https://www.gsmarena.com/meizu_18s_pro-11075.php
18s,"Meizu 18s Android smartphone. Announced Sep 2021. Features 6.2″  display, Snapdragon 888+ 5G chipset, 4000 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/meizu-18s.jpg,https://www.gsmarena.com/meizu_18s-11115.php
18x,"Meizu 18x Android smartphone. Announced Sep 2021. Features 6.67″  display, Snapdragon 870 5G chipset, 4300 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/meizu-18x.jpg,https://www.gsmarena.com/meizu_18x-11116.php
