title,extended_title,img_link,gsmarena_link
In 2c,"Micromax In 2c Android smartphone. Announced Apr 2022. Features 6.52″  display, Unisoc T610 chipset, 5000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/micromax-in-2c.jpg,https://www.gsmarena.com/micromax_in_2c-11496.php
In note 2,"Micromax In note 2 Android smartphone. Announced Jan 2022. Features 6.43″  display, MT6785V chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/micromax-in-note2.jpg,https://www.gsmarena.com/micromax_in_note_2-11332.php
In 2b,"Micromax In 2b Android smartphone. Announced Jul 2021. Features 6.52″  display, Unisoc T610 chipset, 5000 mAh battery, 64 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/micromax-in-2b.jpg,https://www.gsmarena.com/micromax_in_2b-11036.php
In 1,"Micromax In 1 Android smartphone. Announced Mar 2021. Features 6.67″  display, MT6769V chipset, 5000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/micromax-in1.jpg,https://www.gsmarena.com/micromax_in_1-10800.php
In note 1,"Micromax In note 1 Android smartphone. Announced Nov 2020. Features 6.67″  display, MT6769Z Helio G85 chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM, Oleophobic coating.",https://fdn2.gsmarena.com/vv/bigpic/micromax-in-note1.jpg,https://www.gsmarena.com/micromax_in_note_1-10569.php
In 1b,"Micromax In 1b Android smartphone. Announced Nov 2020. Features 6.52″  display, MT6765G Helio G35 chipset, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/micromax-in-1b.jpg,https://www.gsmarena.com/micromax_in_1b-10568.php
Infinity N12,"Micromax Infinity N12 Android smartphone. Announced Dec 2018. Features 6.19″  display, MT6762V Helio P22 chipset, 4000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/micromax-infinity-n12-.jpg,https://www.gsmarena.com/micromax_infinity_n12-9515.php
Infinity N11,"Micromax Infinity N11 Android smartphone. Announced Dec 2018. Features 6.19″  display, MT6762V Helio P22 chipset, 4000 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/micromax-infinity-n11-n8216.jpg,https://www.gsmarena.com/micromax_infinity_n11-9516.php
Bharat 5 Infinity,"Micromax Bharat 5 Infinity Android smartphone. Announced Dec 2018. Features 5.45″  display, MT6739 chipset, 5000 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5-infinity-edition-q4204.jpg,https://www.gsmarena.com/micromax_bharat_5_infinity-9517.php
Bharat Go,"Micromax Bharat Go Android smartphone. Announced May 2018. Features 4.5″  display, MT6737М chipset, 5 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-go-.jpg,https://www.gsmarena.com/micromax_bharat_go-9207.php
