title,extended_title,img_link,gsmarena_link
MIO Explora K75,"Mitac MIO Explora K75 Windows Mobile smartphone. Announced Jun 2009. Features 3.5″  display, MSM7201A chipset, 3.15 MP primary camera, 1000 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/mitac-mio-k75.jpg,https://www.gsmarena.com/mitac_mio_explora_k75-2817.php
MIO Explora K70,"Mitac MIO Explora K70 Windows Mobile smartphone. Announced Feb 2009. Features 3.5″  display, MSM7201A chipset, 3.15 MP primary camera, 1000 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/mitac-mio-k70.jpg,https://www.gsmarena.com/mitac_mio_explora_k70-2735.php
MIO Leap G50,"Mitac MIO Leap G50 Windows Mobile smartphone. Announced Aug 2008. Features 2.8″  display, 2 MP primary camera, 670 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/mitak-mio-leap-g50.jpg,https://www.gsmarena.com/mitac_mio_leap_g50-3206.php
MIO Leap K1,"Mitac MIO Leap K1 Windows Mobile smartphone. Announced Jun 2008. Features 2.6″  display, 2 MP primary camera, 790 mAh battery, 1000 MB storage, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/mitac-mio-leap-k1.jpg,https://www.gsmarena.com/mitac_mio_leap_k1-3207.php
MIO A502,"Mitac MIO A502 Windows Mobile smartphone. Announced Q4 2007. Features 2.7″  display, TI OMAP 850 chipset, 2 MP primary camera, 1050 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/mio-a502.gif,https://www.gsmarena.com/mitac_mio_a502-2159.php
MIO A501,"Mitac MIO A501 Windows Mobile smartphone. Announced Q4 2007. Features 2.7″  display, TI OMAP 850 chipset, 2 MP primary camera, 1050 mAh battery, 256 MB storage, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/mio-a501.gif,https://www.gsmarena.com/mitac_mio_a501-2122.php
MIO A702,"Mitac MIO A702 Windows Mobile smartphone. Announced Sep 2007. Features 2.7″  display, TI OMAP 850 chipset, 3.15 MP primary camera, 1130 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/mio-a702.gif,https://www.gsmarena.com/mitac_mio_a702-2109.php
MIO A701,"Mitac MIO A701 Windows Mobile smartphone. Announced Aug 2005. Features 2.7″  display, 1.3 MP primary camera, 1300 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/mitac-mio-a701.gif,https://www.gsmarena.com/mitac_mio_a701-1261.php
MIO 8870,"Mitac MIO 8870 Windows Mobile smartphone. Announced Q4 2004. Features 2.2″  display, 1050 mAh battery, 32 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/mitac-mio-8870.gif,https://www.gsmarena.com/mitac_mio_8870-929.php
MIO 8860,"Mitac MIO 8860 Windows Mobile smartphone. Announced Q1 2004. Features 2.2″  display, 850 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/mtc8860.gif,https://www.gsmarena.com/mitac_mio_8860-726.php
MIO 8390,"Mitac MIO 8390 Windows Mobile smartphone. Announced Q3 2003. Features 2.2″  display, 1050 mAh battery, 16 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/mitac-mio-8390.gif,https://www.gsmarena.com/mitac_mio_8390-590.php
MIO 8380,"Mitac MIO 8380 Windows Mobile smartphone. Announced Q1 2003. Features 2.2″  display, 1050 mAh battery, 16 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/mtc8380.gif,https://www.gsmarena.com/mitac_mio_8380-589.php
