title,extended_title,img_link,gsmarena_link
M430i/M900,"Mitsubishi M430i/M900 phone. Announced Q3 2004. Features 2.2″  display, 1.3 MP primary camera, 810 mAh battery, 15 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/mip900.gif,https://www.gsmarena.com/mitsubishi_m430i_m900-879.php
M800,"Mitsubishi M800 phone. Announced Q4 2004. Features TFT, 256K colors display, 1.3 MP primary camera, 680 mAh battery, 5 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/mim800.gif,https://www.gsmarena.com/mitsubishi_m800-915.php
M420i/M760,"Mitsubishi M420i/M760 phone. Announced Q4 2004. Features TFD, 256K colors display, 1.3 MP primary camera, 730 mAh battery, 19 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/mim760.gif,https://www.gsmarena.com/mitsubishi_m420i_m760-914.php
M528,"Mitsubishi M528 phone. Announced Q4 2004. Features CSTN, 65K colors display, 600 mAh battery, 2 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/mitsubishi-m528.gif,https://www.gsmarena.com/mitsubishi_m528-1146.php
M520,"Mitsubishi M520 phone. Announced Q4 2004. Features CSTN, 65K colors display, 680 mAh battery, 3 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/mim520.gif,https://www.gsmarena.com/mitsubishi_m520-910.php
M350,"Mitsubishi M350 phone. Announced Q2 2004. Features TFT, 256K colors display, 900 mAh battery, 5 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/mim350.gif,https://www.gsmarena.com/mitsubishi_m350-782.php
M750,"Mitsubishi M750 phone. Announced Q4 2003. Features TFT, 256K colors display, 780 mAh battery, 5 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/mim750.gif,https://www.gsmarena.com/mitsubishi_m750-744.php
M342i,"Mitsubishi M342i phone. Announced Q1 2004. Features TFT, 256K colors display, 780 mAh battery, 5 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/mim342i.gif,https://www.gsmarena.com/mitsubishi_m342i-685.php
M341i/M720,"Mitsubishi M341i/M720 phone. Announced Q4 2003. Features TFT, 256K colors display, 5 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/mim341i.gif,https://www.gsmarena.com/mitsubishi_m341i_m720-593.php
M330,"Mitsubishi M330 phone. Announced Q3 2003. Features CSTN, 4096 colors display, 800 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/mim330.gif,https://www.gsmarena.com/mitsubishi_m330-491.php
m21i,"Mitsubishi m21i phone. Announced  2003. Features CSTN, 4096 colors display, 900 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/mim21i.gif,https://www.gsmarena.com/mitsubishi_m21i-416.php
M320,"Mitsubishi M320 phone. Announced Q4 2002. Features CSTN, 4096 colors display, 900 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/mim320.gif,https://www.gsmarena.com/mitsubishi_m320-373.php
Trium Eclipse,"Mitsubishi Trium Eclipse phone. Announced Q3 2001. Features CSTN, 256 colors display, 500 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/miecli.gif,https://www.gsmarena.com/mitsubishi_trium_eclipse-255.php
Trium Sirius,"Mitsubishi Trium Sirius phone. Announced  2001. Features Monochrome graphic display, 500 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/misiri.gif,https://www.gsmarena.com/mitsubishi_trium_sirius-254.php
Trium Neptune,"Mitsubishi Trium Neptune phone. Announced  2000. Features Monochrome graphic display, 800 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/minept.gif,https://www.gsmarena.com/mitsubishi_trium_neptune-204.php
Trium Mars,"Mitsubishi Trium Mars phone. Announced  2000. Features Monochrome graphic display, 800 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/mimars.gif,https://www.gsmarena.com/mitsubishi_trium_mars-203.php
Trium Geo-@,"Mitsubishi Trium Geo-@ phone. Announced  1999. Features Monochrome graphic display, 900 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/migeo2b.gif,https://www.gsmarena.com/mitsubishi_trium_geo_@-59.php
Trium Mondo,"Mitsubishi Trium Mondo Windows Mobile smartphone. Announced  2000. Features Monochrome resistive touchscreen, 16 shades display, 540 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/mimondb.gif,https://www.gsmarena.com/mitsubishi_trium_mondo-64.php
Trium xs,"Mitsubishi Trium xs phone. Announced  2000. Features Monochrome graphic display, 540 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/mixsb.gif,https://www.gsmarena.com/mitsubishi_trium_xs-63.php
Trium fx,"Mitsubishi Trium fx phone. Announced  2000. Features Monochrome graphic display, 540 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/mifxb.gif,https://www.gsmarena.com/mitsubishi_trium_fx-62.php
Trium Cosmo,"Mitsubishi Trium Cosmo phone. Announced  2000. Features Monochrome graphic display, 540 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/micosmb.gif,https://www.gsmarena.com/mitsubishi_trium_cosmo-61.php
Trium Aria,"Mitsubishi Trium Aria phone. Announced  2000. Features Monochrome graphic display, 580 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/miariab.gif,https://www.gsmarena.com/mitsubishi_trium_aria-60.php
Trium Geo,"Mitsubishi Trium Geo phone. Announced  1999. Features Monochrome graphic display, 900 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/migeob.gif,https://www.gsmarena.com/mitsubishi_trium_geo-58.php
