title,extended_title,img_link,gsmarena_link
Moto S50,"Motorola Moto S50 Android smartphone. Announced Sep 2024. Features 6.36″  display, Dimensity 7300 chipset, 4310 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-50-neo.jpg,https://www.gsmarena.com/motorola_moto_s50-13293.php
Edge 50 Neo,"Motorola Edge 50 Neo Android smartphone. Announced Aug 2024. Features 6.4″  display, Dimensity 7300 chipset, 4310 mAh battery, 512 GB storage, 12 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-50-neo.jpg,https://www.gsmarena.com/motorola_edge_50_neo-13224.php
Moto G55,"Motorola Moto G55 Android smartphone. Announced Aug 2024. Features 6.49″  display, Dimensity 7025 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g55-5g.jpg,https://www.gsmarena.com/motorola_moto_g55-13278.php
Moto G35,"Motorola Moto G35 Android smartphone. Announced Aug 2024. Features 6.72″  display, Unisoc T760 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g35-5g.jpg,https://www.gsmarena.com/motorola_moto_g35-13288.php
Moto G45,"Motorola Moto G45 Android smartphone. Announced Aug 2024. Features 6.5″  display, Snapdragon 6s Gen 3 chipset, 5000 mAh battery, 128 GB storage, 8 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g45-5g.jpg,https://www.gsmarena.com/motorola_moto_g45-13267.php
Edge 50,"Motorola Edge 50 Android smartphone. Announced Aug 2024. Features 6.7″  display, Snapdragon 7 Gen 1 AE chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-50-5g.jpg,https://www.gsmarena.com/motorola_edge_50-13231.php
razr+ 2024,"Motorola razr+ 2024 Android smartphone. Announced Jun 2024. Features 6.9″  display, Snapdragon 8s Gen 3 chipset, 4000 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-plus-2024.jpg,https://www.gsmarena.com/motorola_razr+_2024-13213.php
Razr 50 Ultra,"Motorola Razr 50 Ultra Android smartphone. Announced Jun 2024. Features 6.9″  display, Snapdragon 8s Gen 3 chipset, 4000 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-50-ultra.jpg,https://www.gsmarena.com/motorola_razr_50_ultra-13150.php
razr 2024,"Motorola razr 2024 Android smartphone. Announced Jun 2024. Features 6.9″  display, Dimensity 7300X chipset, 4200 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-50.jpg,https://www.gsmarena.com/motorola_razr_2024-13214.php
Razr 50,"Motorola Razr 50 Android smartphone. Announced Jun 2024. Features 6.9″  display, Dimensity 7300X chipset, 4200 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-50.jpg,https://www.gsmarena.com/motorola_razr_50-13151.php
