title,extended_title,img_link,gsmarena_link
Terrain,"NEC Terrain Android smartphone. Announced Jun 2013. Features 3.1″  display, Snapdragon S4 Plus chipset, 5 MP primary camera, 1900 mAh battery, 8 GB storage, 1000 MB RAM, MIL-STD-810G compliant, Corning Gorilla Glass 2.",https://fdn2.gsmarena.com/vv/bigpic/nec-terrain.jpg,https://www.gsmarena.com/nec_terrain-5553.php
804N,"NEC 804N phone. Announced Apr 2006. Features 2.2″  display, 2 MP primary camera, 720 mAh battery, 450 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/nec-804N.gif,https://www.gsmarena.com/nec_804n-1611.php
e1108,"NEC e1108 phone. Announced  2006. Features 1.8″  display, 1.3 MP primary camera, 1530 mAh battery, 28 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/nec-e1108.gif,https://www.gsmarena.com/nec_e1108-1927.php
N344i,"NEC N344i phone. Announced  2005. Features 1.8″  display, 720 mAh battery, 5 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/nec-N344i.gif,https://www.gsmarena.com/nec_n344i-1610.php
e373,"NEC e373 phone. Announced May 2006. Features 1.9″  display, 1000 mAh battery, 32 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/nec-e373.gif,https://www.gsmarena.com/nec_e373-1603.php
e636,"NEC e636 phone. Announced Feb 2006. Features 2.2″  display, 2 MP primary camera, 900 mAh battery, 32 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/nec-e636.gif,https://www.gsmarena.com/nec_e636-1476.php
N500i,"NEC N500i phone. Announced Feb 2006. Features 1.9″  display, 1.3 MP primary camera, 850 mAh battery, 54 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/nec-n500i.gif,https://www.gsmarena.com/nec_n500i-1475.php
N500iS,"NEC N500iS phone. Announced Feb 2006. Features TFT, 65K colors display, 1.3 MP primary camera, 820 mAh battery, 54 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/nec-n500is.gif,https://www.gsmarena.com/nec_n500is-1428.php
N908,"NEC N908 phone. Announced Jul 2006. Features 2.2″  display, 1.3 MP primary camera, 860 mAh battery, 31 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/nec-n908.gif,https://www.gsmarena.com/nec_n908-1719.php
N938,"NEC N938 phone. Announced Q2 2005. Features TFT resistive touchscreen, 65K colors display, 550 mAh battery, 2 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/nec-n938.gif,https://www.gsmarena.com/nec_n938-1374.php
