title,extended_title,img_link,gsmarena_link
Andy C5.5E2I,"NIU Andy C5.5E2I Android smartphone. Announced Dec 2015. Features 5.5″  display, MT6582M chipset, 8 MP primary camera, 1.3 MP front camera, 3000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/niu-andy-c5.5e2i.jpg,https://www.gsmarena.com/niu_andy_c5_5e2i-7917.php
Andy 3.5E2I,"NIU Andy 3.5E2I Android smartphone. Announced Feb 2015. Features 3.5″  display, MT6572M chipset, 5 MP primary camera, 1.3 MP front camera, 1300 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/NIU-35E2I.jpg,https://www.gsmarena.com/niu_andy_3_5e2i-7346.php
Andy 4E2I,"NIU Andy 4E2I Android smartphone. Announced Jan 2015. Features 4.0″  display, MT6572M chipset, 5 MP primary camera, 1.3 MP front camera, 1400 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/NIU-4E2I.jpg,https://www.gsmarena.com/niu_andy_4e2i-7347.php
Andy 5EI,"NIU Andy 5EI Android smartphone. Announced May 2014. Features 5.0″  display, MT6572M chipset, 5 MP primary camera, 1.3 MP front camera, 1550 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/NIU-5EI.jpg,https://www.gsmarena.com/niu_andy_5ei-7348.php
Andy 5T,"NIU Andy 5T Android smartphone. Announced Jul 2014. Features 5.0″  display, MT6582 chipset, 13 MP primary camera, 5 MP front camera, 1800 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/niu-5t.jpg,https://www.gsmarena.com/niu_andy_5t-7349.php
C21A,"NIU C21A phone. Announced Mar 2013. Features 1.8″  display, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/NIU--C21A.jpg,https://www.gsmarena.com/niu_c21a-7350.php
F10,"NIU F10 phone. Announced Nov 2012. Features 2.2″  display, 1.3 MP primary camera, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/NIU-F10.jpg,https://www.gsmarena.com/niu_f10-7351.php
Z10,"NIU Z10 phone. Announced Nov 2013. Features 2.0″  display, 1000 mAh battery, 32 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/NIU-Z10.jpg,https://www.gsmarena.com/niu_z10-7352.php
Tek 5D,"NIU Tek 5D Android smartphone. Announced Jan 2015. Features 5.0″  display, MT6572M chipset, 5 MP primary camera, 1.3 MP front camera, 2000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/niu-5d.jpg,https://www.gsmarena.com/niu_tek_5d-7118.php
Tek 4D2,"NIU Tek 4D2 Android smartphone. Announced Aug 2014. Features 4.0″  display, MT6572M chipset, 3.15 MP primary camera, 1.3 MP front camera, 1200 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/niutek-4d2.jpg,https://www.gsmarena.com/niu_tek_4d2-6827.php
Niutek 3.5D2,"NIU Niutek 3.5D2 Android smartphone. Announced Aug 2014. Features 3.5″  display, MT6572M chipset, 2 MP primary camera, 1200 mAh battery, 2 GB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/niutek-35d2.jpg,https://www.gsmarena.com/niu_niutek_3_5d2-6733.php
GO 21,"NIU GO 21 phone. Announced May 2014. Features 1.8″  display, 650 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/niu-go-21.jpg,https://www.gsmarena.com/niu_go_21-6484.php
Niutek 4.5D,"NIU Niutek 4.5D Android smartphone. Announced Dec 2013. Features 4.5″  display, MT6572 chipset, 5 MP primary camera, 1.3 MP front camera, 1650 mAh battery, 512 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/niu-tek-45d.jpg,https://www.gsmarena.com/niu_niutek_4_5d-5992.php
Niutek 4.0D,"NIU Niutek 4.0D Android smartphone. Announced Dec 2013. Features 4.0″  display, MT6572 chipset, 3.15 MP primary camera, 1.3 MP front camera, 1500 mAh battery, 512 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/niu-tek-4d-.jpg,https://www.gsmarena.com/niu_niutek_4_0d-5991.php
Niutek 3.5D,"NIU Niutek 3.5D Android smartphone. Announced Dec 2013. Features 3.5″  display, MT6572 chipset, 2 MP primary camera, 1400 mAh battery, 512 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/niu-tek-35d.jpg,https://www.gsmarena.com/niu_niutek_3_5d-5990.php
GO 20,"NIU GO 20 phone. Announced Nov 2013. Features 1.8″  display, 500 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/niu-go-20.jpg,https://www.gsmarena.com/niu_go_20-5989.php
Niutek 3.5B,"NIU Niutek 3.5B Android smartphone. Announced Mar 2013. Features 3.5″  display, Spreadtrum SC6820 chipset, 3.15 MP primary camera, 1300 mAh battery, 512 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/niu-tek-3.jpg,https://www.gsmarena.com/niu_niutek_3_5b-5514.php
LIV 10,"NIU LIV 10 phone. Announced Mar 2013. Features 1.8″  display, 860 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/niu-liv-10.jpg,https://www.gsmarena.com/niu_liv_10-5513.php
