title,extended_title,img_link,gsmarena_link
105 (2024),"Nokia 105 (2024) smartphone. Announced Jul 2024. Features 2.0″  display, 1000 mAh battery, 4 MB storage, 4 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-105-2024.jpg,https://www.gsmarena.com/nokia_105_(2024)-13188.php
220 4G (2024),"Nokia 220 4G (2024) phone. Announced Jun 2024. Features 2.8″  display, Unisoc T107 chipset, 1450 mAh battery, 128 MB storage, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-220-4g-2024-new.jpg,https://www.gsmarena.com/nokia_220_4g_(2024)-13167.php
3210,"Nokia 3210 phone. Announced May 2024. Features 2.4″  display, Unisoc T107 chipset, 1450 mAh battery, 128 MB storage, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-3210.jpg,https://www.gsmarena.com/nokia_3210-12990.php
235 4G (2024),"Nokia 235 4G (2024) phone. Announced Apr 2024. Features 2.8″  display, Unisoc T107 chipset, 1450 mAh battery, 128 MB storage, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-235-4g-2024.jpg,https://www.gsmarena.com/nokia_235_4g_(2024)-12967.php
225 4G (2024),"Nokia 225 4G (2024) phone. Announced Apr 2024. Features 2.4″  display, Unisoc T107 chipset, 1450 mAh battery, 128 MB storage, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-225-4g-2024.jpg,https://www.gsmarena.com/nokia_225_4g_(2024)-12968.php
215 4G (2024),"Nokia 215 4G (2024) phone. Announced Apr 2024. Features 2.8″  display, Unisoc T107 chipset, 1450 mAh battery, 128 MB storage, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-215-4g-2024.jpg,https://www.gsmarena.com/nokia_215_4g_(2024)-12969.php
6310 (2024),"Nokia 6310 (2024) phone. Announced Apr 2024. Features 2.8″  display, Unisoc 6531F chipset, 1450 mAh battery, 16 MB storage, 8 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-6310-2024-new.jpg,https://www.gsmarena.com/nokia_6310_(2024)-12926.php
5310 (2024),"Nokia 5310 (2024) phone. Announced Apr 2024. Features 2.8″  display, Unisoc 6531F chipset, 1450 mAh battery, 16 MB storage, 8 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-5310-2024.jpg,https://www.gsmarena.com/nokia_5310_(2024)-12927.php
230 (2024),"Nokia 230 (2024) phone. Announced Apr 2024. Features 2.8″  display, Unisoc 6531F chipset, 1450 mAh battery, 16 MB storage, 8 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-230-2024.jpg,https://www.gsmarena.com/nokia_230_(2024)-12928.php
C210,"Nokia C210 Android smartphone. Announced Aug 2023. Features 6.3″  display, Snapdragon 662 chipset, 3000 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/nokia-c210.jpg,https://www.gsmarena.com/nokia_c210-12472.php
G310,"Nokia G310 Android smartphone. Announced Aug 2023. Features 6.56″  display, Snapdragon 480+ 5G chipset, 5000 mAh battery, 128 GB storage, 4 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/nokia-g310-5g.jpg,https://www.gsmarena.com/nokia_g310-12471.php
150 (2023),"Nokia 150 (2023) phone. Announced Aug 2023. Features 2.4″  display, 1450 mAh battery, 4 MB storage, 4 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-150-2023.jpg,https://www.gsmarena.com/nokia_150_(2023)-12465.php
130 (2023),"Nokia 130 (2023) phone. Announced Aug 2023. Features 2.4″  display, 1450 mAh battery, 4 MB storage, 4 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/nokia-130-music.jpg,https://www.gsmarena.com/nokia_130_(2023)-12464.php
G42,"Nokia G42 Android smartphone. Announced Jun 2023. Features 6.56″  display, Snapdragon 480+ 5G chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/nokia-g42-5g.jpg,https://www.gsmarena.com/nokia_g42-12381.php
C300,"Nokia C300 Android smartphone. Announced Jun 2023. Features 6.52″  display, Snapdragon 662 chipset, 4000 mAh battery, 32 GB storage, 3 GB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/nokia-c300.jpg,https://www.gsmarena.com/nokia_c300-12322.php
C110,"Nokia C110 Android smartphone. Announced Jun 2023. Features 6.3″  display, MT6762 Helio P22 chipset, 3000 mAh battery, 32 GB storage, 3 GB RAM, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/nokia-c110.jpg,https://www.gsmarena.com/nokia_c110-12321.php
110 4G (2023),"Nokia 110 4G (2023) phone. Announced May 2023. Features 1.8″  display, 1450 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/nokia-110-4g-2023.jpg,https://www.gsmarena.com/nokia_110_4g_(2023)-12285.php
110 (2023),"Nokia 110 (2023) phone. Announced May 2023. Features 1.8″  display, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/nokia-110-2023.jpg,https://www.gsmarena.com/nokia_110_(2023)-12284.php
106 4G (2023),"Nokia 106 4G (2023) phone. Announced May 2023. Features 1.8″  display, 1450 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/nokia-105-4g-2023.jpg,https://www.gsmarena.com/nokia_106_4g_(2023)-12286.php
106 (2023),"Nokia 106 (2023) phone. Announced May 2023. Features 1.8″  display, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/nokia-106-2023.jpg,https://www.gsmarena.com/nokia_106_(2023)-12283.php
