title,extended_title,img_link,gsmarena_link
XDA Serra,"O2 XDA Serra Windows Mobile smartphone. Announced Jul 2008. Features 2.8″  display, MSM7201A chipset, 3.15 MP primary camera, 1340 mAh battery, 288 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda_serra.jpg,https://www.gsmarena.com/o2_xda_serra-2780.php
XDA Guide,"O2 XDA Guide Windows Mobile smartphone. Announced Dec 2008. Features 2.8″  display, Snapdragon S1 chipset, 3.15 MP primary camera, 1110 mAh battery, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda-guide.jpg,https://www.gsmarena.com/o2_xda_guide-2617.php
XDA Zest,"O2 XDA Zest Windows Mobile smartphone. Announced Oct 2008. Features 2.8″  display, 3.15 MP primary camera, 1300 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda-zest.jpg,https://www.gsmarena.com/o2_xda_zest-2594.php
XDA Ignito,"O2 XDA Ignito Windows Mobile smartphone. Announced Aug 2008. Features 2.8″  display, MSM7201A chipset, 3.15 MP primary camera, 900 mAh battery, 4 GB storage, 192 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda-ignito.jpg,https://www.gsmarena.com/o2_xda_ignito-2491.php
XDA Stellar,"O2 XDA Stellar Windows Mobile smartphone. Announced Nov 2007. Features 2.8″  display, MSM7200 chipset, 3.15 MP primary camera, 1350 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda-stellar.jpg,https://www.gsmarena.com/o2_xda_stellar-2179.php
XDA Orbit II,"O2 XDA Orbit II Windows Mobile smartphone. Announced Nov 2007. Features 2.8″  display, MSM7200 chipset, 3.15 MP primary camera, 1350 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda-orbit2-ofic.jpg,https://www.gsmarena.com/o2_xda_orbit_ii-2180.php
XDA Comet,"O2 XDA Comet Windows Mobile smartphone. Announced Sep 2007. Features 2.7″  display, 2 MP primary camera, 1350 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda-comet.jpg,https://www.gsmarena.com/o2_xda_comet-2181.php
XDA Nova,"O2 XDA Nova Windows Mobile smartphone. Announced Jun 2007. Features 2.8″  display, TI OMAP 850 chipset, 2 MP primary camera, 1350 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda-nova.jpg,https://www.gsmarena.com/o2_xda_nova-2183.php
XDA Terra,"O2 XDA Terra Windows Mobile smartphone. Announced Mar 2007. Features 2.7″  display, TI OMAP 850 chipset, 2 MP primary camera, 1350 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda-terra.jpg,https://www.gsmarena.com/o2_xda_terra-2182.php
XDA Argon,"O2 XDA Argon Windows Mobile smartphone. Announced May 2007. Features 3.5″  display, 2 MP primary camera, 1300 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda-argon.jpg,https://www.gsmarena.com/o2_xda_argon-2178.php
XDA Star,"O2 XDA Star Windows Mobile smartphone. Announced Oct 2007. Features 2.6″  display, MSM7200 chipset, 2 MP primary camera, 1120 mAh battery, 96 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda-star.gif,https://www.gsmarena.com/o2_xda_star-2137.php
Cocoon,"O2 Cocoon phone. Announced Jun 2007. Features 2.28″  display, 2 MP primary camera, 920 mAh battery, 2 GB storage.",https://fdn2.gsmarena.com/vv/bigpic/o2-cocoon.gif,https://www.gsmarena.com/o2_cocoon-2002.php
XDA Flame,"O2 XDA Flame Windows Mobile smartphone. Announced Feb 2007. Features 3.6″  display, 2 MP primary camera, 1620 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda-flame.gif,https://www.gsmarena.com/o2_xda_flame-1981.php
XDA Atom Life,"O2 XDA Atom Life Windows Mobile smartphone. Announced Jan 2007. Features 2.7″  display, 2 MP primary camera, 1530 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda-atom-life.gif,https://www.gsmarena.com/o2_xda_atom_life-1834.php
XDA Zinc,"O2 XDA Zinc Windows Mobile smartphone. Announced Dec 2006. Features 2.8″  display, 2 MP primary camera, 1300 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda-zinc.gif,https://www.gsmarena.com/o2_xda_zinc-1819.php
XDA Graphite,"O2 XDA Graphite Windows Mobile smartphone. Announced Dec 2006. Features 2.2″  display, 2 MP primary camera, 1100 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda-graphite.gif,https://www.gsmarena.com/o2_xda_graphite-1818.php
XDA Orbit,"O2 XDA Orbit Windows Mobile smartphone. Announced Sep 2006. Features 2.8″  display, TI OMAP 850 chipset, 2 MP primary camera, 1000 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda-orbit.gif,https://www.gsmarena.com/o2_xda_orbit-1714.php
Cosmo,"O2 Cosmo Windows Mobile smartphone. Announced Sep 2006. Features 2.4″  display, TI OMAP 850 chipset, 1.3 MP primary camera, 1000 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda-cosmo.gif,https://www.gsmarena.com/o2_cosmo-1713.php
XDA Stealth,"O2 XDA Stealth Windows Mobile smartphone. Announced Sep 2006. Features 2.4″  display, 2 MP primary camera, 1300 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda-stealth.gif,https://www.gsmarena.com/o2_xda_stealth-1709.php
Jet,"O2 Jet phone. Announced Oct 2006. Features 2.0″  display, 700 mAh battery, 56 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/o2-jet.gif,https://www.gsmarena.com/o2_jet-1735.php
Ice,"O2 Ice phone. Announced Aug 2006. Features 2.0″  display, 1.3 MP primary camera, 970 mAh battery, 32 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/o2-ice.gif,https://www.gsmarena.com/o2_ice-1706.php
XDA Atom Exec,"O2 XDA Atom Exec Windows Mobile smartphone. Announced Jun 2006. Features 2.7″  display, 2 MP primary camera, 1530 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/o2-xda-atom-exec.gif,https://www.gsmarena.com/o2_xda_atom_exec-1625.php
