title,extended_title,img_link,gsmarena_link
Nord 4,"OnePlus Nord 4 Android smartphone. Announced Jul 2024. Features 6.74″  display, Snapdragon 7+ Gen 3 chipset, 5500 mAh battery, 512 GB storage, 16 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord4.jpg,https://www.gsmarena.com/oneplus_nord_4-13200.php
Pad 2,"OnePlus Pad 2 Android tablet. Announced Jul 2024. Features 12.1″  display, Snapdragon 8 Gen 3 chipset, 9510 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-pad2.jpg,https://www.gsmarena.com/oneplus_pad_2-13210.php
Watch 2R,"OnePlus Watch 2R Android watch. Announced Jul 2024. Features 1.43″  display, Snapdragon W5 Gen 1 chipset, 500 mAh battery, 32 GB storage, 2 GB RAM, Panda Glass.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-watch-2r.jpg,https://www.gsmarena.com/oneplus_watch_2r-13209.php
Ace 3 Pro,"OnePlus Ace 3 Pro Android smartphone. Announced Jun 2024. Features 6.78″  display, Snapdragon 8 Gen 3 chipset, 6100 mAh battery, 1024 GB storage, 24 GB RAM, Corning Gorilla Glass Victus 2.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace3-pro.jpg,https://www.gsmarena.com/oneplus_ace_3_pro-13179.php
Pad Pro,"OnePlus Pad Pro Android tablet. Announced Jun 2024. Features 12.1″  display, Snapdragon 8 Gen 3 chipset, 9510 mAh battery, 512 GB storage, 16 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-pad-pro.jpg,https://www.gsmarena.com/oneplus_pad_pro-13180.php
Watch 2 (eSIM),"OnePlus Watch 2 (eSIM) watch. Announced Jun 2024. Features 1.43″  display, Snapdragon W5 Gen 1 chipset, 500 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-watch2-china.jpg,https://www.gsmarena.com/oneplus_watch_2_(esim)-13181.php
Nord CE4 Lite,"OnePlus Nord CE4 Lite Android smartphone. Announced Jun 2024. Features 6.67″  display, Snapdragon 695 5G chipset, 5110 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce4-lite-intl.jpg,https://www.gsmarena.com/oneplus_nord_ce4_lite-13166.php
Nord CE4 Lite (India),"OnePlus Nord CE4 Lite (India) Android smartphone. Announced Jun 2024. Features 6.67″  display, Snapdragon 695 5G chipset, 5500 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce4-lite-.jpg,https://www.gsmarena.com/oneplus_nord_ce4_lite_(india)-13155.php
Ace 3V,"OnePlus Ace 3V Android smartphone. Announced Mar 2024. Features 6.74″  display, Snapdragon 7+ Gen 3 chipset, 5500 mAh battery, 512 GB storage, 16 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace-3v.jpg,https://www.gsmarena.com/oneplus_ace_3v-12889.php
Nord CE4,"OnePlus Nord CE4 Android smartphone. Announced Apr 2024. Features 6.7″  display, Snapdragon 7 Gen 3 chipset, 5500 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce4-.jpg,https://www.gsmarena.com/oneplus_nord_ce4-12892.php
