title,extended_title,img_link,gsmarena_link
A80,"Oppo A80 Android smartphone. Announced Aug 2024. Features 6.67″  display, Dimensity 6300 chipset, 5100 mAh battery, 256 GB storage, 8 GB RAM, Panda glass.",https://fdn2.gsmarena.com/vv/bigpic/oppo-a80.jpg,https://www.gsmarena.com/oppo_a80-13292.php
F27,"Oppo F27 Android smartphone. Announced Aug 2024. Features 6.67″  display, Dimensity 6300 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Asahi Glass AGC DT-Star2.",https://fdn2.gsmarena.com/vv/bigpic/oppo-f27.jpg,https://www.gsmarena.com/oppo_f27-13270.php
A3 4G,"Oppo A3 4G Android smartphone. Announced Aug 2024. Features 6.67″  display, Snapdragon 6s Gen 1 chipset, 5100 mAh battery, 256 GB storage, 8 GB RAM, MIL-STD-810H compliant, Panda glass.",https://fdn2.gsmarena.com/vv/bigpic/oppo-a3-4g-int.jpg,https://www.gsmarena.com/oppo_a3_4g-13275.php
A3x 4G,"Oppo A3x 4G Android smartphone. Announced Aug 2024. Features 6.67″  display, Snapdragon 6s Gen 1 chipset, 5100 mAh battery, 256 GB storage, 8 GB RAM, MIL-STD-810H compliant, Panda glass.",https://fdn2.gsmarena.com/vv/bigpic/oppo-a3-int.jpg,https://www.gsmarena.com/oppo_a3x_4g-13261.php
A3,"Oppo A3 Android smartphone. Announced Aug 2024. Features 6.67″  display, Dimensity 6300 chipset, 5100 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810H compliant, Panda glass.",https://fdn2.gsmarena.com/vv/bigpic/oppo-a3-int.jpg,https://www.gsmarena.com/oppo_a3-13269.php
A3x,"Oppo A3x Android smartphone. Announced Aug 2024. Features 6.67″  display, Dimensity 6300 chipset, 5100 mAh battery, 128 GB storage, 4 GB RAM, MIL-STD-810H compliant, Panda glass.",https://fdn2.gsmarena.com/vv/bigpic/oppo-a3x.jpg,https://www.gsmarena.com/oppo_a3x-13257.php
A3x (China),"Oppo A3x (China) Android smartphone. Announced Jul 2024. Features 6.67″  display, Dimensity 6300 chipset, 5100 mAh battery, 512 GB storage, 8 GB RAM, MIL-STD-810H compliant.",https://fdn2.gsmarena.com/vv/bigpic/oppo-a3x-.jpg,https://www.gsmarena.com/oppo_a3x_(china)-13233.php
K12x,"Oppo K12x Android smartphone. Announced Jul 2024. Features 6.67″  display, Dimensity 6300 chipset, 5100 mAh battery, 256 GB storage, 8 GB RAM, MIL-STD-810H compliant, Panda glass.",https://fdn2.gsmarena.com/vv/bigpic/oppo-k12x-int.jpg,https://www.gsmarena.com/oppo_k12x-13237.php
Reno12 F 4G,"Oppo Reno12 F 4G Android smartphone. Announced Jul 2024. Features 6.67″  display, Snapdragon 685 chipset, 5000 mAh battery, 512 GB storage, 8 GB RAM, Asahi Glass AGC DT-Star2.",https://fdn2.gsmarena.com/vv/bigpic/oppo-reno12-f-4g.jpg,https://www.gsmarena.com/oppo_reno12_f_4g-13216.php
A3 (China),"Oppo A3 (China) Android smartphone. Announced Jul 2024. Features 6.7″  display, Snapdragon 695 5G chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass 7i.",https://fdn2.gsmarena.com/vv/bigpic/oppo-a3-r.jpg,https://www.gsmarena.com/oppo_a3_(china)-13163.php
Reno12 F,"Oppo Reno12 F Android smartphone. Announced Jun 2024. Features 6.67″  display, Dimensity 6300 chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM, Asahi Glass AGC DT-Star2.",https://fdn2.gsmarena.com/vv/bigpic/oppo-reno12-f.jpg,https://www.gsmarena.com/oppo_reno12_f-13182.php
A3 Pro,"Oppo A3 Pro Android smartphone. Announced Jun 2024. Features 6.67″  display, Dimensity 6300 chipset, 5100 mAh battery, 256 GB storage, 8 GB RAM, Panda glass.",https://fdn2.gsmarena.com/vv/bigpic/oppo-a80.jpg,https://www.gsmarena.com/oppo_a3_pro-13160.php
Reno12 Pro,"Oppo Reno12 Pro Android smartphone. Announced Jun 2024. Features 6.7″  display, Dimensity 7300 Energy chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass Victus 2.",https://fdn2.gsmarena.com/vv/bigpic/oppo-reno12-pro-cn.jpg,https://www.gsmarena.com/oppo_reno12_pro-13132.php
Reno12,"Oppo Reno12 Android smartphone. Announced Jun 2024. Features 6.7″  display, Dimensity 7300 Energy chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM, Corning Gorilla Glass 7i.",https://fdn2.gsmarena.com/vv/bigpic/oppo-reno12.jpg,https://www.gsmarena.com/oppo_reno12-13133.php
F27 Pro+,"Oppo F27 Pro+ Android smartphone. Announced Jun 2024. Features 6.7″  display, Dimensity 7050 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass Victus 2.",https://fdn2.gsmarena.com/vv/bigpic/oppo-a3-pro.jpg,https://www.gsmarena.com/oppo_f27_pro+-13126.php
Reno12 Pro (China),"Oppo Reno12 Pro (China) Android smartphone. Announced May 2024. Features 6.7″  display, Dimensity 9200+ chipset, 5000 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass (unspecified version).",https://fdn2.gsmarena.com/vv/bigpic/oppo-reno12-pro-cn.jpg,https://www.gsmarena.com/oppo_reno12_pro_(china)-13045.php
Reno12 (China),"Oppo Reno12 (China) Android smartphone. Announced May 2024. Features 6.7″  display, Dimensity 8250 chipset, 5000 mAh battery, 512 GB storage, 16 GB RAM, Corning Gorilla Glass (unspecified version).",https://fdn2.gsmarena.com/vv/bigpic/oppo-reno12-cn.jpg,https://www.gsmarena.com/oppo_reno12_(china)-13046.php
K12x (China),"Oppo K12x (China) Android smartphone. Announced Mar 2024. Features 6.67″  display, Snapdragon 695 5G chipset, 5500 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/oppo-k12x.jpg,https://www.gsmarena.com/oppo_k12x_(china)-13001.php
A60,"Oppo A60 Android smartphone. Announced Apr 2024. Features 6.67″  display, Snapdragon 680 4G chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/oppo-a60.jpg,https://www.gsmarena.com/oppo_a60-12964.php
K12,"Oppo K12 Android smartphone. Announced Apr 2024. Features 6.7″  display, Snapdragon 7 Gen 3 chipset, 5500 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/oppo-k12.jpg,https://www.gsmarena.com/oppo_k12-12949.php
A3 Pro (China),"Oppo A3 Pro (China) Android smartphone. Announced Apr 2024. Features 6.7″  display, Dimensity 7050 chipset, 5000 mAh battery, 512 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/oppo-a3-pro.jpg,https://www.gsmarena.com/oppo_a3_pro_(china)-12932.php
Watch X,"Oppo Watch X Android watch. Announced Feb 2024. Features 1.43″  display, Snapdragon W5 Gen 1 chipset, 500 mAh battery, 32 GB storage, 2 GB RAM, MIL-STD-810H compliant, Sapphire crystal glass.",https://fdn2.gsmarena.com/vv/bigpic/oppo-watch-x.jpg,https://www.gsmarena.com/oppo_watch_x-12855.php
F25 Pro,"Oppo F25 Pro Android smartphone. Announced Feb 2024. Features 6.7″  display, Dimensity 7050 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Panda glass.",https://fdn2.gsmarena.com/vv/bigpic/oppo-f25-pro.jpg,https://www.gsmarena.com/oppo_f25_pro-12854.php
Reno11 F,"Oppo Reno11 F Android smartphone. Announced Feb 2024. Features 6.7″  display, Dimensity 7050 chipset, 5000 mAh battery, 256 GB storage, 8 GB RAM, Panda glass.",https://fdn2.gsmarena.com/vv/bigpic/oppo-reno11-f-5g.jpg,https://www.gsmarena.com/oppo_reno11_f-12797.php
Pad Neo,"Oppo Pad Neo Android tablet. Announced Jan 2024. Features 11.4″  display, Helio G99 chipset, 8000 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/oppo-pad-air2.jpg,https://www.gsmarena.com/oppo_pad_neo-12796.php
Reno11 Pro,"Oppo Reno11 Pro Android smartphone. Announced Jan 2024. Features 6.7″  display, Dimensity 8200 chipset, 4600 mAh battery, 512 GB storage, 12 GB RAM, Asahi Glass AGC.",https://fdn2.gsmarena.com/vv/bigpic/oppo-reno11-china.jpg,https://www.gsmarena.com/oppo_reno11_pro-12790.php
Reno11,"Oppo Reno11 Android smartphone. Announced Jan 2024. Features 6.7″  display, Dimensity 7050 chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM, Asahi Glass AGC DT-Star2.",https://fdn2.gsmarena.com/vv/bigpic/oppo-reno11-international.jpg,https://www.gsmarena.com/oppo_reno11-12791.php
