title,extended_title,img_link,gsmarena_link
Neva jet 5G,"Orange Neva jet 5G Android smartphone. Announced Nov 2019. Features 6.47″  display, Snapdragon 855 chipset, 4000 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/orange-neva-jet-5g.jpg,https://www.gsmarena.com/orange_neva_jet_5g-9981.php
Rono,"Orange Rono Android smartphone. Announced  2014. Features 5.0″  display, 8 MP primary camera, 2300 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/orange-rono.jpg,https://www.gsmarena.com/orange_rono-6553.php
Gova,"Orange Gova Android smartphone. Announced Feb 2014. Features 4.5″  display, 5 MP primary camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/orange-gova.jpg,https://www.gsmarena.com/orange_gova-6142.php
Reyo,"Orange Reyo Android smartphone. Announced Feb 2014. Features 5.0″  display, MT6572M chipset, 5 MP primary camera, 2000 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/orange-reyo.jpg,https://www.gsmarena.com/orange_reyo-6143.php
Hiro,"Orange Hiro Android smartphone. Announced Q3 2013. Features 4.3″  display, MT6572 chipset, 5 MP primary camera, 1700 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/orange-hiro.jpg,https://www.gsmarena.com/orange_hiro-5857.php
San Diego,"Orange San Diego Android smartphone. Announced Feb 2012. Features 4.0″  display, Intel Atom Z2460 chipset, 8 MP primary camera, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/orange-san-diego.jpg,https://www.gsmarena.com/orange_san_diego-4588.php
Tahiti,"Orange Tahiti Android tablet. Announced Jan 2012. Features 7.0″  display, Snapdragon S3 chipset, 5 MP primary camera, 4000 mAh battery, 8 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/orange-tahiti.jpg,https://www.gsmarena.com/orange_tahiti-4427.php
Monte Carlo,"Orange Monte Carlo Android smartphone. Announced  2011. Features 4.3″  display, 5 MP primary camera, 1400 mAh battery, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/orange-monte-carlo.jpg,https://www.gsmarena.com/orange_monte_carlo-4619.php
San Francisco II,"Orange San Francisco II Android smartphone. Announced Nov 2011. Features 3.5″  display, 5 MP primary camera, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/Orange-San-Francisco-II.jpg,https://www.gsmarena.com/orange_san_francisco_ii-4330.php
Sydney,"Orange Sydney phone. Announced  2011. Features 3.2″  display, 3.15 MP primary camera, 34 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/orange-sydney.jpg,https://www.gsmarena.com/orange_sydney-4617.php
Miami,"Orange Miami phone. Announced  2011. Features 2.8″  display, 2 MP primary camera, 800 mAh battery, 10 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/orange-miami.jpg,https://www.gsmarena.com/orange_miami-4616.php
Malibu,"Orange Malibu phone. Announced  2011. Features 2.0″  display, 2 MP primary camera, 1000 mAh battery, 10 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/orange-malibu.jpg,https://www.gsmarena.com/orange_malibu-4407.php
Dallas,"Orange Dallas phone. Announced  2011. Features 2.4″  display, 1 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/orange-dallas.jpg,https://www.gsmarena.com/orange_dallas-4615.php
San Francisco,"Orange San Francisco Android smartphone. Announced Q2 2011. Features 3.5″  display, Snapdragon S1 chipset, 3.15 MP primary camera, 1250 mAh battery, 150 MB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/orange-san-francisco.jpg,https://www.gsmarena.com/orange_san_francisco-4081.php
Stockholm,"Orange Stockholm Android smartphone. Announced Q2 2011. Features 2.8″  display, 3.15 MP primary camera, 120 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/orange-stockholm.jpg,https://www.gsmarena.com/orange_stockholm-4082.php
Atlanta,"Orange Atlanta phone. Announced Q2 2011. Features 2.4″  display, 2 MP primary camera, 11 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/zte-orange-atlanta.jpg,https://www.gsmarena.com/orange_atlanta-4145.php
Rio II,"Orange Rio II phone. Announced Q2 2011. Features 2.4″  display, 3.15 MP primary camera, 80 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/orange-rio-ii.jpg,https://www.gsmarena.com/orange_rio_ii-4084.php
Barcelona,"Orange Barcelona Android smartphone. Announced Q2 2011. Features 2.6″  display, 3.15 MP primary camera.",https://fdn2.gsmarena.com/vv/bigpic/orange-barcelona.jpg,https://www.gsmarena.com/orange_barcelona-4083.php
Rio,"Orange Rio phone. Announced  2011. Features 2.4″  display, 2 MP primary camera, 1 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/orange-rio.jpg,https://www.gsmarena.com/orange_rio-4618.php
