title,extended_title,img_link,gsmarena_link
Elite 1,"Oscal Elite 1 Android tablet. Announced May 2024. Features 12.1″  display, Helio G99 chipset, 8800 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/oscal-elite.jpg,https://www.gsmarena.com/oscal_elite_1-13058.php
Pilot 2,"Oscal Pilot 2 Android smartphone. Announced May 2024. Features 6.5″  display, Helio G99 chipset, 8800 mAh battery, 256 GB storage, 8 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oscal-pilot2.jpg,https://www.gsmarena.com/oscal_pilot_2-13057.php
Modern 8,"Oscal Modern 8 Android smartphone. Announced May 2024. Features 6.75″  display, Unisoc Tiger T616 chipset, 6000 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/oscal-modern-8.jpg,https://www.gsmarena.com/oscal_modern_8-13051.php
Pad 16,"Oscal Pad 16 Android tablet. Announced Jan 2024. Features 10.5″  display, Unisoc T606 chipset, 8200 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-pad16.jpg,https://www.gsmarena.com/oscal_pad_16-12793.php
Pad 18,"Oscal Pad 18 Android tablet. Announced Dec 2023. Features 10.95″  display, Unisoc Tiger T616 chipset, 8800 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-pad-18.jpg,https://www.gsmarena.com/oscal_pad_18-12739.php
Tiger 12,"Oscal Tiger 12 Android smartphone. Announced Nov 2023. Features 6.78″  display, Helio G99 chipset, 5000 mAh battery, 256 GB storage, 12 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-tiger12.jpg,https://www.gsmarena.com/oscal_tiger_12-12701.php
Tiger 10,"Oscal Tiger 10 Android smartphone. Announced Nov 2023. Features 6.6″  display, Unisoc T606 chipset, 5180 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-tiger10.jpg,https://www.gsmarena.com/oscal_tiger_10-12681.php
S70 Pro,"Oscal S70 Pro Android smartphone. Announced Aug 2023. Features 6.1″  display, MT6765 Helio P35 chipset, 6580 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810H compliant.",https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-s70-pro.jpg,https://www.gsmarena.com/oscal_s70_pro-12592.php
Spider 8,"Oscal Spider 8 Android tablet. Announced Aug 2023. Features 10.1″  display, Unisoc Tiger T616 chipset, 13000 mAh battery, 128 GB storage, 8 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-spider8.jpg,https://www.gsmarena.com/oscal_spider_8-12594.php
Pad 15,"Oscal Pad 15 Android tablet. Announced Sep 2023. Features 10.36″  display, Unisoc T606 chipset, 8280 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackview-pad-15.jpg,https://www.gsmarena.com/oscal_pad_15-12595.php
C30 Pro,"Oscal C30 Pro Android smartphone. Announced Jun 2023. Features 6.5″  display, MT6765 Helio G35 chipset, 5080 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-c30-pro.jpg,https://www.gsmarena.com/oscal_c30_pro-12409.php
Pad 70,"Oscal Pad 70 Android tablet. Announced Jul 2023. Features 10.1″  display, 6580 mAh battery, 128 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-70.jpg,https://www.gsmarena.com/oscal_pad_70-12407.php
Pad 60,"Oscal Pad 60 Android tablet. Announced Jul 2023. Features 10.1″  display, 6580 mAh battery, 64 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-pad-60.jpg,https://www.gsmarena.com/oscal_pad_60-12406.php
C70,"Oscal C70 Android smartphone. Announced Apr 2023. Features 6.56″  display, Unisoc T606 chipset, 5180 mAh battery, 128 GB storage, 6 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-c70.jpg,https://www.gsmarena.com/oscal_c70-12267.php
Pad 13,"Oscal Pad 13 Android tablet. Announced Apr 2023. Features 10.1″  display, Unisoc T606 chipset, 7680 mAh battery, 256 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-pad-13.jpg,https://www.gsmarena.com/oscal_pad_13-12241.php
S80,"Oscal S80 Android smartphone. Announced Jan 2023. Features 6.58″  display, MT6769 Helio G85 chipset, 13000 mAh battery, 128 GB storage, 6 GB RAM, MIL-STD-810H compliant.",https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-s80.jpg,https://www.gsmarena.com/oscal_s80-12115.php
Pad 10,"Oscal Pad 10 Android tablet. Announced Dec 2022. Features 10.1″  display, Unisoc T606 chipset, 6580 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-pad-10.jpg,https://www.gsmarena.com/oscal_pad_10-12057.php
C80,"Oscal C80 Android smartphone. Announced Sep 2022. Features 6.5″  display, Unisoc T606 chipset, 5180 mAh battery, 128 GB storage, 8 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/blackview-oscal-c80.jpg,https://www.gsmarena.com/oscal_c80-11872.php
