title,extended_title,img_link,gsmarena_link
OT12,"Oukitel OT12 Android tablet. Announced Sep 2024. Features 11.0″  display, Unisoc T606 chipset, 8000 mAh battery, 256 GB storage, 4 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oukitel-ot12.jpg,https://www.gsmarena.com/oukitel_ot12-13313.php
G2,"Oukitel G2 Android smartphone. Announced Sep 2024. Features 6.0″  display, Unisoc T606 chipset, 6300 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oukitel-g2-.jpg,https://www.gsmarena.com/oukitel_g2-13312.php
G1,"Oukitel G1 Android smartphone. Announced Sep 2024. Features 6.52″  display, Unisoc T606 chipset, 10600 mAh battery, 256 GB storage, 6 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oukitel-g1.jpg,https://www.gsmarena.com/oukitel_g1-13311.php
WP28 S,"Oukitel WP28 S Android smartphone. Announced Jul 2024. Features 6.52″  display, Unisoc T606 chipset, 10600 mAh battery, 128 GB storage, 4 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp28s.jpg,https://www.gsmarena.com/oukitel_wp28_s-13230.php
WP28 E,"Oukitel WP28 E Android smartphone. Announced Jul 2024. Features 6.52″  display, Unisoc T606 chipset, 10600 mAh battery, 64 GB storage, 4 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp28e.jpg,https://www.gsmarena.com/oukitel_wp28_e-13229.php
C53,"Oukitel C53 Android smartphone. Announced Jun 2024. Features 6.6″  display, Unisoc SC9863A chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oukitel-c53.jpg,https://www.gsmarena.com/oukitel_c53-13228.php
OT11,"Oukitel OT11 Android tablet. Announced May 2024. Features 11.0″  display, Unisoc T606 chipset, 8000 mAh battery, 128 GB storage, 4 GB RAM, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oukitel-ot11.jpg,https://www.gsmarena.com/oukitel_ot11-13227.php
WP32 Pro,"Oukitel WP32 Pro Android smartphone. Announced May 2024. Features 6.0″  display, Unisoc T606 chipset, 6300 mAh battery, 256 GB storage, 6 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp32-pro-.jpg,https://www.gsmarena.com/oukitel_wp32_pro-13314.php
WP52,"Oukitel WP52 Android smartphone. Announced Jun 2024. Features 6.6″  display, Dimensity 6100+ chipset, 6500 mAh battery, 256 GB storage, 4 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp52.jpg,https://www.gsmarena.com/oukitel_wp52-13193.php
WP39,"Oukitel WP39 Android smartphone. Announced Jun 2024. Features 6.6″  display, Dimensity 6100+ chipset, 11000 mAh battery, 256 GB storage, 6 GB RAM, MIL-STD-810H compliant, Corning Gorilla Glass 5.",https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp39.jpg,https://www.gsmarena.com/oukitel_wp39-13189.php
