title,extended_title,img_link,gsmarena_link
Phone PVG100,"Palm Phone PVG100 Android smartphone. Announced Oct 2018. Features 3.3″  display, Snapdragon 435 chipset, 800 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/palm-pepito1.jpg,https://www.gsmarena.com/palm_phone_pvg100-9290.php
Pre 2,"Palm Pre 2 smartphone. Announced Oct 2010. Features 3.1″  display, 5 MP primary camera, 16 GB storage, 512 MB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg,https://www.gsmarena.com/palm_pre_2-3559.php
Pre 2 CDMA,"Palm Pre 2 CDMA smartphone. Announced Oct 2010. Features 3.1″  display, 5 MP primary camera, 16 GB storage, 512 MB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg,https://www.gsmarena.com/palm_pre_2_cdma-3589.php
Pixi Plus,"Palm Pixi Plus smartphone. Announced Mar 2010. Features 2.63″  display, MSM7627 chipset, 2 MP primary camera, 1150 mAh battery, 8 GB storage.",https://fdn2.gsmarena.com/vv/bigpic/palm-pixi-plus-ofic.jpg,https://www.gsmarena.com/palm_pixi_plus-3250.php
Pre Plus,"Palm Pre Plus smartphone. Announced Mar 2010. Features 3.1″  display, 3.15 MP primary camera, 1150 mAh battery, 16 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/palm-pre-plus-ofic.jpg,https://www.gsmarena.com/palm_pre_plus-3249.php
Pixi,"Palm Pixi smartphone. Announced Sep 2009. Features 2.63″  display, MSM7627 chipset, 2 MP primary camera, 1150 mAh battery, 8 GB storage.",https://fdn2.gsmarena.com/vv/bigpic/palm-pixi.jpg,https://www.gsmarena.com/palm_pixi-2937.php
Pre,"Palm Pre smartphone. Announced Feb 2009. Features 3.1″  display, 3.15 MP primary camera, 1150 mAh battery, 8 GB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/palm-pre.jpg,https://www.gsmarena.com/palm_pre-2726.php
Treo Pro,"Palm Treo Pro Windows Mobile smartphone. Announced Aug 2008. Features 2.5″  display, MSM7201 chipset, 2 MP primary camera, 1500 mAh battery, 100 MB storage, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/palm-treo-pro.jpg,https://www.gsmarena.com/palm_treo_pro-2494.php
Centro,"Palm Centro smartphone. Announced Feb 2008. Features 2.25″  display, 1.3 MP primary camera, 1150 mAh battery, 64 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/palm-centro.jpg,https://www.gsmarena.com/palm_centro-2241.php
Treo 500v,"Palm Treo 500v Windows Mobile smartphone. Announced Sep 2007. Features 2.4″  display, 2 MP primary camera, 1200 mAh battery, 150 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/palm-treo500v.gif,https://www.gsmarena.com/palm_treo_500v-2100.php
Treo 750,"Palm Treo 750 Windows Mobile smartphone. Announced Feb 2007. Features 2.5″  display, 1.3 MP primary camera, 1200 mAh battery, 60 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/palm-treo750.gif,https://www.gsmarena.com/palm_treo_750-1909.php
Treo 680,"Palm Treo 680 smartphone. Announced Oct 2006. Features 2.5″  display, 1000 mAh battery, 64 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/palm-treo680.gif,https://www.gsmarena.com/palm_treo_680-1741.php
Treo 750v,"Palm Treo 750v Windows Mobile smartphone. Announced Sep 2006. Features 2.5″  display, 1.3 MP primary camera, 1200 mAh battery, 60 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/palm-treo750v.gif,https://www.gsmarena.com/palm_treo_750v-1704.php
Treo 650,"Palm Treo 650 smartphone. Announced Q4 2004. Features 2.4″  display, 780 mAh battery, 23 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/hst650.gif,https://www.gsmarena.com/palm_treo_650-907.php
Treo 600,"Palm Treo 600 smartphone. Announced Q4 2003. Features 2.5″  display, TI OMAP 1510 chipset, 780 mAh battery, 32 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/hst600.gif,https://www.gsmarena.com/palm_treo_600-622.php
Treo 270,"Palm Treo 270 smartphone. Announced  2003. Features CSTN resistive touchscreen, 4096 colors display, 780 mAh battery, 16 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/hst270.gif,https://www.gsmarena.com/palm_treo_270-621.php
Treo 180,"Palm Treo 180 smartphone. Announced  2002. Features Monochrome resistive touchscreen, 16 shades display, 780 mAh battery, 16 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/hst180.gif,https://www.gsmarena.com/palm_treo_180-623.php
