title,extended_title,img_link,gsmarena_link
Eluga I7 (2019),"Panasonic Eluga I7 (2019) Android smartphone. Announced Jun 2019. Features 5.45″  display, 4000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-i7-2019-enterprise-edition.jpg,https://www.gsmarena.com/panasonic_eluga_i7_(2019)-9756.php
Eluga Ray 800,"Panasonic Eluga Ray 800 Android smartphone. Announced Mar 2019. Features 5.5″  display, 4000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-ray-800.jpg,https://www.gsmarena.com/panasonic_eluga_ray_800-9618.php
P85 Nxt,"Panasonic P85 Nxt Android smartphone. Announced Oct 2018. Features 5.0″  display, Snapdragon 210 chipset, 4000 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-p85-.jpg,https://www.gsmarena.com/panasonic_p85_nxt-9389.php
Eluga Z1 Pro,"Panasonic Eluga Z1 Pro Android smartphone. Announced Oct 2018. Features 6.19″  display, MT6762 Helio P22 chipset, 4000 mAh battery, 64 GB storage, 4 GB RAM, Asahi Dragontrail Pro Glass.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-z1-pro.jpg,https://www.gsmarena.com/panasonic_eluga_z1_pro-9383.php
Eluga Ray 530,"Panasonic Eluga Ray 530 Android smartphone. Announced Oct 2018. Features 5.7″  display, 3000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-530.jpg,https://www.gsmarena.com/panasonic_eluga_ray_530-9376.php
Eluga Ray 600,"Panasonic Eluga Ray 600 Android smartphone. Announced Oct 2018. Features 5.99″  display, MT6737H chipset, 4000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-600.jpg,https://www.gsmarena.com/panasonic_eluga_ray_600-9362.php
Eluga X1 Pro,"Panasonic Eluga X1 Pro Android smartphone. Announced Oct 2018. Features 6.18″  display, MT6771 Helio P60 chipset, 3000 mAh battery, 128 GB storage, 6 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-x1-pro.jpg,https://www.gsmarena.com/panasonic_eluga_x1_pro-9356.php
P90,"Panasonic P90 Android smartphone. Announced Jun 2018. Features 5.0″  display, MT6737 chipset, 5 MP primary camera, 5 MP front camera, 2400 mAh battery, 16 GB storage, 1000 MB RAM, Corning Gorilla Glass (unspecified version).",https://fdn2.gsmarena.com/vv/bigpic/panasonic-p90-.jpg,https://www.gsmarena.com/panasonic_p90-9245.php
P95,"Panasonic P95 Android smartphone. Announced May 2018. Features 5.0″  display, Snapdragon 210 chipset, 8 MP primary camera, 5 MP front camera, 2300 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-p95-.jpg,https://www.gsmarena.com/panasonic_p95-9192.php
Eluga I7,"Panasonic Eluga I7 Android smartphone. Announced Apr 2018. Features 5.45″  display, MT6737H chipset, 8 MP primary camera, 8 MP front camera, 4000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-l7-.jpg,https://www.gsmarena.com/panasonic_eluga_i7-9176.php
Eluga Ray 550,"Panasonic Eluga Ray 550 Android smartphone. Announced Apr 2018. Features 5.7″  display, MT6737H chipset, 13 MP primary camera, 8 MP front camera, 3250 mAh battery, 32 GB storage, 3 GB RAM, Asahi Glass.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-550-new.jpg,https://www.gsmarena.com/panasonic_eluga_ray_550-9149.php
P101,"Panasonic P101 Android smartphone. Announced Apr 2018. Features 5.45″  display, MT6739WA chipset, 8 MP primary camera, 5 MP front camera, 2500 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-p101.jpg,https://www.gsmarena.com/panasonic_p101-9172.php
P100,"Panasonic P100 Android smartphone. Announced Feb 2018. Features 5.0″  display, MT6737 chipset, 8 MP primary camera, 5 MP front camera, 2200 mAh battery, 16 GB storage, 2 GB RAM, Corning Gorilla Glass (unspecified version).",https://fdn2.gsmarena.com/vv/bigpic/panasonic-p100-.jpg,https://www.gsmarena.com/panasonic_p100-9062.php
Eluga I9,"Panasonic Eluga I9 Android smartphone. Announced Dec 2017. Features 5.0″  display, MT6737 chipset, 13 MP primary camera, 5 MP front camera, 2500 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-I9.jpg,https://www.gsmarena.com/panasonic_eluga_i9-8960.php
Eluga C,"Panasonic Eluga C Android smartphone. Announced Nov 2017. Features 5.5″  display, MT6750T chipset, Daul: 13 MP (f/2.2, AF) + 5 MP primary camera, 5 MP front camera, 3000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-c.jpg,https://www.gsmarena.com/panasonic_eluga_c-8954.php
P91,"Panasonic P91 Android smartphone. Announced Nov 2017. Features 5.0″  display, MT6737M chipset, 8 MP primary camera, 5 MP front camera, 2500 mAh battery, 16 GB storage, 1000 MB RAM, Asahi Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-p91.jpg,https://www.gsmarena.com/panasonic_p91-8939.php
Eluga I5,"Panasonic Eluga I5 Android smartphone. Announced Nov 2017. Features 5.0″  display, MT6737 chipset, 13 MP primary camera, 5 MP front camera, 2500 mAh battery, 16 GB storage, 2 GB RAM, Asahi Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-l5.jpg,https://www.gsmarena.com/panasonic_eluga_i5-8932.php
Eluga A4,"Panasonic Eluga A4 Android smartphone. Announced Nov 2017. Features 5.2″  display, MT6737 chipset, 13 MP primary camera, 5 MP front camera, 5000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-a4.jpg,https://www.gsmarena.com/panasonic_eluga_a4-8931.php
P99,"Panasonic P99 Android smartphone. Announced Sep 2017. Features 5.0″  display, 8 MP primary camera, 5 MP front camera, 2000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-p99.jpg,https://www.gsmarena.com/panasonic_p99-8878.php
Eluga I4,"Panasonic Eluga I4 Android smartphone. Announced Sep 2017. Features 5.0″  display, MT6737 chipset, 8 MP primary camera, 5 MP front camera, 3000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-i4.jpg,https://www.gsmarena.com/panasonic_eluga_i4-8875.php
Eluga Ray 500,"Panasonic Eluga Ray 500 Android smartphone. Announced Sep 2017. Features 5.0″  display, MT6737 chipset, Dual: 13 MP, f/2.0 + 8 MP primary camera, 5 MP front camera, 4000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-500.jpg,https://www.gsmarena.com/panasonic_eluga_ray_500-8870.php
Eluga Ray 700,"Panasonic Eluga Ray 700 Android smartphone. Announced Sep 2017. Features 5.5″  display, MT6753 chipset, 13 MP primary camera, 13 MP front camera, 5000 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-700.jpg,https://www.gsmarena.com/panasonic_eluga_ray_700-8869.php
P9,"Panasonic P9 Android smartphone. Announced Sep 2017. Features 5.0″  display, MT6737M chipset, 8 MP primary camera, 5 MP front camera, 2210 mAh battery, 8 GB storage, 1000 MB RAM, Asahi Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-p9.jpg,https://www.gsmarena.com/panasonic_p9-8851.php
Eluga I2 Activ,"Panasonic Eluga I2 Activ Android smartphone. Announced Aug 2017. Features 5.0″  display, MT6737 chipset, 8 MP primary camera, 5 MP front camera, 2200 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-l2-activ.jpg,https://www.gsmarena.com/panasonic_eluga_i2_activ-8816.php
Eluga A3 Pro,"Panasonic Eluga A3 Pro Android smartphone. Announced Aug 2017. Features 5.2″  display, MT6753 chipset, 13 MP primary camera, 8 MP front camera, 4000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-a3-pro.jpg,https://www.gsmarena.com/panasonic_eluga_a3_pro-8813.php
Eluga A3,"Panasonic Eluga A3 Android smartphone. Announced Aug 2017. Features 5.2″  display, MT6737 chipset, 13 MP primary camera, 8 MP front camera, 4000 mAh battery, 16 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-a3-2.jpg,https://www.gsmarena.com/panasonic_eluga_a3-8812.php
