title,extended_title,img_link,gsmarena_link
Breeze IV,"Pantech Breeze IV phone. Announced Nov 2013. Features 3.0″  display, QSC6270 chipset, 3.15 MP primary camera, 1030 mAh battery, 256 MB storage, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/pantech-breeze-4.jpg,https://www.gsmarena.com/pantech_breeze_iv-6504.php
Vega No 6,"Pantech Vega No 6 Android smartphone. Announced Jan 2013. Features 5.9″  display, Snapdragon S4 Pro chipset, 13 MP primary camera, 2 MP front camera, 3140 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-no-6.jpg,https://www.gsmarena.com/pantech_vega_no_6-5268.php
Discover,"Pantech Discover Android smartphone. Announced Jan 2013. Features 4.8″  display, Snapdragon S4 Plus chipset, 12.6 MP primary camera, 2 MP front camera, 2100 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/pantech-discover.jpg,https://www.gsmarena.com/pantech_discover-5238.php
Vega R3 IM-A850L,"Pantech Vega R3 IM-A850L Android smartphone. Announced Oct 2012. Features 5.3″  display, Snapdragon S4 Pro chipset, 13 MP primary camera, 2 MP front camera, 2600 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-r3.jpg,https://www.gsmarena.com/pantech_vega_r3_im_a850l-5021.php
Flex  P8010,"Pantech Flex  P8010 Android smartphone. Announced Sep 2012. Features 4.3″  display, Snapdragon S4 Plus chipset, 8 MP primary camera, 2 MP front camera, 1830 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/pantech-flex.jpg,https://www.gsmarena.com/pantech_flex__p8010-5008.php
Renue,"Pantech Renue phone. Announced Jul 2012. Features 3.2″  display, QSC 6270 chipset, 3.15 MP primary camera, 1000 mAh battery, 185 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/pantech-renue.jpg,https://www.gsmarena.com/pantech_renue-4896.php
Marauder,"Pantech Marauder Android smartphone. Announced Jul 2012. Features 3.8″  display, 5 MP primary camera, 1680 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/pantech-marauder.jpg,https://www.gsmarena.com/pantech_marauder-4895.php
Vega Racer 2 IM-A830L,"Pantech Vega Racer 2 IM-A830L Android smartphone. Announced May 2012. Features 4.8″  display, Snapdragon S4 Plus chipset, 8 MP primary camera, 2 MP front camera, 2020 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-racer-2.jpg,https://www.gsmarena.com/pantech_vega_racer_2_im_a830l-4738.php
Vega LTE EX IM-A820L,"Pantech Vega LTE EX IM-A820L Android smartphone. Announced Jan 2012. Features 4.5″  display, 8 MP primary camera, 1830 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/Pantech-Vega-LTE-EX.jpg,https://www.gsmarena.com/pantech_vega_lte_ex_im_a820l-4428.php
Burst,"Pantech Burst Android smartphone. Announced Jan 2012. Features 4.0″  display, Snapdragon S3 chipset, 5 MP primary camera, 1650 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/pantech-burst.jpg,https://www.gsmarena.com/pantech_burst-4429.php
