title,extended_title,img_link,gsmarena_link
Ram 10 LTE,"Plum Ram 10 LTE phone. Announced Jan 2022. Features 2.4″  display, Unisoc T107 chipset, 1700 mAh battery, 128 MB storage, 48 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/plum-ram10.jpg,https://www.gsmarena.com/plum_ram_10_lte-11345.php
Ram Plus LTE,"Plum Ram Plus LTE phone. Announced Feb 2022. Features 2.4″  display, Unisoc T107 chipset, 1200 mAh battery, 128 MB storage, 48 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/plum-ram-plus-.jpg,https://www.gsmarena.com/plum_ram_plus_lte-11346.php
Flipper LTE,"Plum Flipper LTE phone. Announced Feb 2022. Features 2.4″  display, 1000 mAh battery, 128 MB storage, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/plum-flipper.jpg,https://www.gsmarena.com/plum_flipper_lte-11347.php
Gator 6,"Plum Gator 6 Android smartphone. Announced Feb 2020. Features 5.5″  display, MT6580 chipset, 4400 mAh battery, 16 GB storage, 3 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/plum-gator-6.jpg,https://www.gsmarena.com/plum_gator_6-11132.php
Ram 9,"Plum Ram 9 smartphone. Announced Feb 2020. Features 2.4″  display, MT6572M chipset, 1700 mAh battery, 4 GB storage.",https://fdn2.gsmarena.com/vv/bigpic/plum-ram9.jpg,https://www.gsmarena.com/plum_ram_9-11131.php
Gator 7,"Plum Gator 7 Android smartphone. Announced Sep 2021. Features 5.7″  display, MT6761V chipset, 5580 mAh battery, 32 GB storage, 3 GB RAM, MIL-STD-810H compliant, Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/plum-gator7.jpg,https://www.gsmarena.com/plum_gator_7-11076.php
Tag 2 3G,"Plum Tag 2 3G phone. Announced Jan 2019. Features 2.4″  display, Spreadtrum 7715A chipset, 800 mAh battery, 512 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/plum-tag2-3g.jpg,https://www.gsmarena.com/plum_tag_2_3g-9503.php
Phantom 2,"Plum Phantom 2 Android smartphone. Announced Dec 2018. Features 5.72″  display, MT6580A chipset, 2700 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/plum-z621-phantom-2.jpg,https://www.gsmarena.com/plum_phantom_2-9495.php
Optimax 13,"Plum Optimax 13 Android tablet. Announced Dec 2018. Features 10.1″  display, Spreadtrum SC7731 chipset, 4700 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/plum-optimax13.jpg,https://www.gsmarena.com/plum_optimax_13-9494.php
Flipper 2,"Plum Flipper 2 phone. Announced Dec 2018. Features 2.4″  display, MT6261D chipset, 1.3 MP primary camera, 750 mAh battery, 32 MB storage, 32 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/plum-flipper-2.jpg,https://www.gsmarena.com/plum_flipper_2-9493.php
