title,extended_title,img_link,gsmarena_link
Memo Pro LTE L600,"Posh Memo Pro LTE L600 Android smartphone. Announced Aug 2016. Features 6.0″  display, MT6735 chipset, 8 MP primary camera, 5 MP front camera, 2700 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/posh-l600.jpg,https://www.gsmarena.com/posh_memo_pro_lte_l600-8537.php
Equal Plus X700,"Posh Equal Plus X700 Android smartphone. Announced Sep 2016. Features 7.0″  display, MT8321 chipset, 5 MP primary camera, 2 MP front camera, 2650 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/posh-x700.jpg,https://www.gsmarena.com/posh_equal_plus_x700-8536.php
Ultra Max LTE L550,"Posh Ultra Max LTE L550 Android smartphone. Announced Aug 2016. Features 5.5″  display, MT6737 chipset, 8 MP primary camera, 2 MP front camera, 2700 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/posh-um-l550.jpg,https://www.gsmarena.com/posh_ultra_max_lte_l550-8535.php
Kick Pro LTE L520,"Posh Kick Pro LTE L520 Android smartphone. Announced Nov 2015. Features 5.0″  display, MT6735P chipset, 8 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/posh-Kick_Pro_LTE_L520.jpg,https://www.gsmarena.com/posh_kick_pro_lte_l520-8179.php
Optima LTE L530,"Posh Optima LTE L530 Android smartphone. Announced Feb 2016. Features 5.0″  display, MT6753 chipset, 13 MP primary camera, 13 MP front camera, 3000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/posh-Optima_LTE_L530.jpg,https://www.gsmarena.com/posh_optima_lte_l530-8178.php
Icon HD X551,"Posh Icon HD X551 Android smartphone. Announced Nov 2015. Features 5.5″  display, MT6580A chipset, 8 MP primary camera, 2 MP front camera, 2100 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/posh-Icon_HD_X551.jpg,https://www.gsmarena.com/posh_icon_hd_x551-8177.php
Volt LTE L540,"Posh Volt LTE L540 Android smartphone. Announced Mar 2016. Features 5.0″  display, MT6735P chipset, 8 MP primary camera, 5 MP front camera, 4000 mAh battery, 16 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/posh-Volt_LTE_L540.jpg,https://www.gsmarena.com/posh_volt_lte_l540-8176.php
Volt Max LTE L640,"Posh Volt Max LTE L640 Android smartphone. Announced Mar 2016. Features 6.44″  display, MT6753 chipset, 13 MP primary camera, 8 MP front camera, 6000 mAh battery, 64 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/posh-Volt_Max_LTE_L640.jpg,https://www.gsmarena.com/posh_volt_max_lte_l640-8175.php
Equal Pro LTE L700,"Posh Equal Pro LTE L700 Android smartphone. Announced Feb 2016. Features 6.95″  display, MT8735P chipset, 5 MP primary camera, 2 MP front camera, 2800 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/posh-Equal_Pro_LTE_L700.jpg,https://www.gsmarena.com/posh_equal_pro_lte_l700-8174.php
Primo Plus C353,"Posh Primo Plus C353 Android smartphone. Announced May 2015. Features 3.5″  display, Spreadtrum SC7715 chipset, 1300 mAh battery, 512 MB storage, 256 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/posh-plus-c353.jpg,https://www.gsmarena.com/posh_primo_plus_c353-7622.php
