title,extended_title,img_link,gsmarena_link
MultiPhone 5508 Duo,"Prestigio MultiPhone 5508 Duo Android smartphone. Announced  2014. Features 5.0″  display, MT6592 chipset, 13 MP primary camera, 5 MP front camera, 2300 mAh battery, 16 GB storage, 1000 MB RAM, Asahi Dragontrail Glass.",https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5508-duo.jpg,https://www.gsmarena.com/prestigio_multiphone_5508_duo-6876.php
MultiPhone 5504 Duo,"Prestigio MultiPhone 5504 Duo Android smartphone. Announced  2014. Features 5.0″  display, MT6582M chipset, 8 MP primary camera, 2 MP front camera, 1950 mAh battery, 8 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5504-duo.jpg,https://www.gsmarena.com/prestigio_multiphone_5504_duo-6875.php
MultiPhone 5503 Duo,"Prestigio MultiPhone 5503 Duo Android smartphone. Announced  2014. Features 5.0″  display, MT6582 chipset, 8 MP primary camera, 2 MP front camera, 4000 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5503-duo.jpg,https://www.gsmarena.com/prestigio_multiphone_5503_duo-6874.php
MultiPhone 8500 Duo,"Prestigio MultiPhone 8500 Duo Windows Mobile smartphone. Announced Jul 2014. Features 5.0″  display, Snapdragon 200 chipset, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM, Corning Gorilla Glass.",https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-8500-duo.jpg,https://www.gsmarena.com/prestigio_multiphone_8500_duo-6526.php
MultiPhone 8400 Duo,"Prestigio MultiPhone 8400 Duo Windows Mobile smartphone. Announced Jul 2014. Features 4.0″  display, Snapdragon 200 chipset, 8 MP primary camera, 2000 mAh battery, 4 GB storage, 512 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-8400-duo.jpg,https://www.gsmarena.com/prestigio_multiphone_8400_duo-6527.php
MultiPad 4 Quantum 10.1 3G,"Prestigio MultiPad 4 Quantum 10.1 3G Android tablet. Announced Q1 2014. Features 10.1″  display, Rockchip RK3188 chipset, 2 MP primary camera, 7000 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quantum-101.jpg,https://www.gsmarena.com/prestigio_multipad_4_quantum_10_1_3g-6208.php
MultiPad 4 Quantum 9.7 Colombia,"Prestigio MultiPad 4 Quantum 9.7 Colombia Android tablet. Announced Q1 2014. Features 9.7″  display, Rockchip RK3188 chipset, 5 MP primary camera, 2 MP front camera, 8000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quantum-97.jpg,https://www.gsmarena.com/prestigio_multipad_4_quantum_9_7_colombia-6207.php
MultiPad 4 Ultra Quad 8.0 3G,"Prestigio MultiPad 4 Ultra Quad 8.0 3G Android tablet. Announced Q1 2014. Features 8.0″  display, MT8389 chipset, 5 MP primary camera, 2 MP front camera, 4600 mAh battery, 16 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quad-80-3g.jpg,https://www.gsmarena.com/prestigio_multipad_4_ultra_quad_8_0_3g-6206.php
MultiPhone 7600 Duo,"Prestigio MultiPhone 7600 Duo Android smartphone. Announced Q1 2014. Features 6.0″  display, 13 MP primary camera, 8 MP front camera, 2600 mAh battery, 4 GB storage, 1000 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-7600-duo.jpg,https://www.gsmarena.com/prestigio_multiphone_7600_duo-6205.php
MultiPhone 7500,"Prestigio MultiPhone 7500 Android smartphone. Announced Q1 2014. Features 5.0″  display, MT6589T chipset, 13 MP primary camera, 8 MP front camera, 2300 mAh battery, 32 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-7500.jpg,https://www.gsmarena.com/prestigio_multiphone_7500-6204.php
