title,extended_title,img_link,gsmarena_link
Noir A1,"QMobile Noir A1 Android smartphone. Announced Jun 2017. Features 5.5″  display, MT6755 Helio P10 chipset, 13 MP primary camera, 16 MP front camera, 4010 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass (unspecified version).",https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_A1.jpg,https://www.gsmarena.com/qmobile_noir_a1-8757.php
Noir E2,"QMobile Noir E2 Android smartphone. Announced Jun 2017. Features 5.2″  display, MT6755 Helio P10 chipset, 13 MP primary camera, 8 MP front camera, 4000 mAh battery, 16 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_E2-.jpg,https://www.gsmarena.com/qmobile_noir_e2-8758.php
J7 Pro,"QMobile J7 Pro Android smartphone. Announced May 2017. Features 5.5″  display, MT6737T chipset, 13 MP primary camera, 8 MP front camera, 3150 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass 3.",https://fdn2.gsmarena.com/vv/bigpic/QMobile_J7_Pro.jpg,https://www.gsmarena.com/qmobile_j7_pro-8759.php
M6,"QMobile M6 Android smartphone. Announced Mar 2017. Features 5.5″  display, MT6755 Helio P10 chipset, 13 MP primary camera, 8 MP front camera, 5000 mAh battery, 64 GB storage, 4 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/QMobile_M6.jpg,https://www.gsmarena.com/qmobile_m6-8760.php
M6 Lite,"QMobile M6 Lite Android smartphone. Announced Mar 2017. Features 5.0″  display, MT6737 chipset, 13 MP primary camera, 5 MP front camera, 4000 mAh battery, 16 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/QMobile_M6_Lite.jpg,https://www.gsmarena.com/qmobile_m6_lite-8761.php
King Kong Max,"QMobile King Kong Max Android smartphone. Announced Jan 2017. Features 5.3″  display, MT6750 chipset, 13 MP primary camera, 5 MP front camera, 4000 mAh battery, 32 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/QMobile_KING_KONG_MAX.jpg,https://www.gsmarena.com/qmobile_king_kong_max-8762.php
M350 Pro,"QMobile M350 Pro Android smartphone. Announced Feb 2017. Features 5.0″  display, MT6580M chipset, 8 MP primary camera, 5 MP front camera, 5000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/QMobile_M350_Pro.jpg,https://www.gsmarena.com/qmobile_m350_pro-8764.php
Energy X2,"QMobile Energy X2 Android smartphone. Announced Feb 2017. Features 5.0″  display, MT6580M chipset, 8 MP primary camera, 5 MP front camera, 5000 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/QMobile_Energy_X2.jpg,https://www.gsmarena.com/qmobile_energy_x2-8763.php
E1,"QMobile E1 Android smartphone. Announced Jan 2017. Features 5.0″  display, MT6735P chipset, 8 MP primary camera, 5 MP front camera, 4000 mAh battery, 16 GB storage, 3 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/QMobile_E1.jpg,https://www.gsmarena.com/qmobile_e1-8765.php
Noir S6 Plus,"QMobile Noir S6 Plus Android smartphone. Announced Jun 2016. Features 5.5″  display, MT6580 chipset, 8 MP primary camera, 5 MP front camera, 2500 mAh battery, 16 GB storage, 2 GB RAM.",https://fdn2.gsmarena.com/vv/bigpic/QMobile_S6_Plus.jpg,https://www.gsmarena.com/qmobile_noir_s6_plus-8766.php
