title,extended_title,img_link,gsmarena_link
9600,"Qtek 9600 Windows Mobile smartphone. Announced Jun 2006. Features 2.8″  display, 2 MP primary camera, 1350 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-9600.gif,https://www.gsmarena.com/qtek_9600-1588.php
8600,"Qtek 8600 Windows Mobile smartphone. Announced Jun 2006. Features 2.2″  display, 1.3 MP primary camera, 1190 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-8600.gif,https://www.gsmarena.com/qtek_8600-1585.php
A9100,"Qtek A9100 Windows Mobile smartphone. Announced Mar 2006. Features 2.8″  display, TI OMAP 850 chipset, 1.3 MP primary camera, 1250 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-a9100.jpg,https://www.gsmarena.com/qtek_a9100-2523.php
8500,"Qtek 8500 Windows Mobile smartphone. Announced Feb 2006. Features 2.2″  display, TI OMAP 850 chipset, 1.3 MP primary camera, 750 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-8500.gif,https://www.gsmarena.com/qtek_8500-1483.php
S200,"Qtek S200 Windows Mobile smartphone. Announced Q4 2005. Features 2.8″  display, TI OMAP 850 chipset, 2 MP primary camera, 1200 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-s200.gif,https://www.gsmarena.com/qtek_s200-1417.php
9000,"Qtek 9000 Windows Mobile smartphone. Announced Aug 2005. Features 3.6″  display, 1.3 MP primary camera, 1620 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-9000.gif,https://www.gsmarena.com/qtek_9000-1264.php
8310,"Qtek 8310 Windows Mobile smartphone. Announced Aug 2005. Features 2.2″  display, TI OMAP 850 chipset, 1.3 MP primary camera, 1150 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-8310.gif,https://www.gsmarena.com/qtek_8310-1253.php
8300,"Qtek 8300 Windows Mobile smartphone. Announced Aug 2005. Features 2.2″  display, TI OMAP 850 chipset, 1.3 MP primary camera, 1150 mAh battery, 32 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-8300.gif,https://www.gsmarena.com/qtek_8300-1252.php
9100,"Qtek 9100 Windows Mobile smartphone. Announced Q3 2005. Features 2.8″  display, TI OMAP 850 chipset, 1.3 MP primary camera, 1250 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-9100.gif,https://www.gsmarena.com/qtek_9100-1257.php
8100,"Qtek 8100 Windows Mobile smartphone. Announced Q1 2005. Features 2.2″  display, TI OMAP 730 chipset, 1050 mAh battery, 32 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-8100.gif,https://www.gsmarena.com/qtek_8100-1173.php
S110,"Qtek S110 Windows Mobile smartphone. Announced Q2 2005. Features 2.8″  display, 1.3 MP primary camera, 1200 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-s110.gif,https://www.gsmarena.com/qtek_s110-1255.php
S100,"Qtek S100 Windows Mobile smartphone. Announced Q4 2004. Features 2.8″  display, 1.3 MP primary camera, 1200 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-s100.gif,https://www.gsmarena.com/qtek_s100-1172.php
9090,"Qtek 9090 Windows Mobile smartphone. Announced Q3 2004. Features 3.5″  display, 1490 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-9090.gif,https://www.gsmarena.com/qtek_9090-1171.php
8020,"Qtek 8020 Windows Mobile smartphone. Announced Q3 2004. Features 2.2″  display, TI OMAP 730 chipset, 1050 mAh battery, 32 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-8020.gif,https://www.gsmarena.com/qtek_8020-1170.php
8010,"Qtek 8010 Windows Mobile smartphone. Announced Q2 2004. Features 2.2″  display, TI OMAP 730 chipset, 1050 mAh battery, 32 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-8010.gif,https://www.gsmarena.com/qtek_8010-1169.php
2020i,"Qtek 2020i Windows Mobile smartphone. Announced Q2 2004. Features 3.5″  display, 1.3 MP primary camera, 1300 mAh battery, 128 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-2020i.gif,https://www.gsmarena.com/qtek_2020i-1168.php
2020,"Qtek 2020 Windows Mobile smartphone. Announced Q2 2004. Features 3.5″  display, 1200 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-2020.gif,https://www.gsmarena.com/qtek_2020-1167.php
8080,"Qtek 8080 Windows Mobile smartphone. Announced Q1 2004. Features 2.2″  display, TI OMAP 710 chipset, 1000 mAh battery, 32 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-8080.gif,https://www.gsmarena.com/qtek_8080-1166.php
8060,"Qtek 8060 Windows Mobile smartphone. Announced Q1 2004. Features 2.2″  display, TI OMAP 710 chipset, 1000 mAh battery, 32 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-8060.gif,https://www.gsmarena.com/qtek_8060-1165.php
1010,"Qtek 1010 Windows Mobile smartphone. Announced  2003. Features 3.5″  display, 1500 mAh battery, 64 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-1010.gif,https://www.gsmarena.com/qtek_1010-1164.php
7070,"Qtek 7070 Windows Mobile smartphone. Announced Q1 2004. Features 2.2″  display, 1000 mAh battery, 16 MB RAM.",https://fdn2.gsmarena.com/vv/bigpic/qtek-7070.gif,https://www.gsmarena.com/qtek_7070-1163.php
