title,extended_title,img_link,gsmarena_link
Puma Phone,"Sagem Puma Phone phone. Announced Feb 2010. Features 2.8″  display, 3.15 MP primary camera, 880 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sagem-puma-phone.jpg,https://www.gsmarena.com/sagem_puma_phone-3140.php
my421z,"Sagem my421z phone. Announced Sep 2008. Features 2.0″  display, 1.3 MP primary camera, 810 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sagem-my421z.jpg,https://www.gsmarena.com/sagem_my421z-2563.php
Roland Garros,"Sagem Roland Garros phone. Announced Feb 2008. Features TFT, 65K colors display, 1.3 MP primary camera, 1300 mAh battery, 13 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/sagem-rg.jpg,https://www.gsmarena.com/sagem_roland_garros-2329.php
myMobileTV 2,"Sagem myMobileTV 2 phone. Announced Feb 2008. Features TFT, 256K colors display, 2 MP primary camera, 1300 mAh battery, 25 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/mymobile-tv.jpg,https://www.gsmarena.com/sagem_mymobiletv_2-2328.php
my411C Oxbow,"Sagem my411C Oxbow phone. Announced Feb 2008. Features CSTN, 65K colors display, 670 mAh battery, 10 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/sagem-my411c-oxbow.jpg,https://www.gsmarena.com/sagem_my411c_oxbow-2514.php
my855c,"Sagem my855c phone. Announced Feb 2008. Features 2.0″  display, 2 MP primary camera, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sagem-my855c.jpg,https://www.gsmarena.com/sagem_my855c-2304.php
my810x,"Sagem my810x phone. Announced Oct 2007. Features TFT, 256K colors display, 1.3 MP primary camera, 600 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sagem-my810x.jpg,https://www.gsmarena.com/sagem_my810x-2512.php
my750x,"Sagem my750x phone. Announced Feb 2008. Features 2.4″  display, 3.15 MP primary camera, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sagem-my750x.jpg,https://www.gsmarena.com/sagem_my750x-2303.php
my721x,"Sagem my721x phone. Announced Feb 2008. Features 2.0″  display, 3.15 MP primary camera, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sagem-my721x.jpg,https://www.gsmarena.com/sagem_my721x-2302.php
my721z,"Sagem my721z phone. Announced Feb 2008. Features 2.2″  display, 3.15 MP primary camera, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sagem-my721z.jpg,https://www.gsmarena.com/sagem_my721z-2301.php
my521x,"Sagem my521x phone. Announced Jul 2008. Features 1.9″  display, 1.3 MP primary camera, 1000 mAh battery, 10 MB storage.",https://fdn2.gsmarena.com/vv/bigpic/sagem-my521x.jpg,https://www.gsmarena.com/sagem_my521x-2300.php
my519x,"Sagem my519x phone. Announced Feb 2008. Features 2.0″  display, 3.15 MP primary camera, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sagem-my519x.jpg,https://www.gsmarena.com/sagem_my519x-2299.php
my421x,"Sagem my421x phone. Announced Feb 2008. Features 1.8″  display, 1.3 MP primary camera, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sagem-my421x.jpg,https://www.gsmarena.com/sagem_my421x-2298.php
my429x,"Sagem my429x phone. Announced Feb 2008. Features 1.8″  display, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sagem-my419x.jpg,https://www.gsmarena.com/sagem_my429x-2297.php
my419x,"Sagem my419x phone. Announced Feb 2008. Features 1.8″  display, 1000 mAh battery.",https://fdn2.gsmarena.com/vv/bigpic/sagem-my419x-new.jpg,https://www.gsmarena.com/sagem_my419x-2296.php
P9522 Porsche,"Sagem P9522 Porsche phone. Announced Oct 2008. Features 2.8″  display, 5 MP primary camera, 1350 mAh battery, Scratch-resistant glass.",https://fdn2.gsmarena.com/vv/bigpic/Sagem-Porsche-P9522.jpg,https://www.gsmarena.com/sagem_p9522_porsche-3210.php
